code,condition,worker_a,worker_b,method,role,ordinal,point_a,point_b,x_a,y_a,x_b,y_b,error_deg,dx_px,dy_px
b8cTxDM8gDG-07,semi,W010,W014,split_fixed,top,1,9,9,142.85207100591717,145.82248520710058,144.5730794092785,149.26450201382326,1.300725157769782,-1.7210084033613384,-3.442016806722677
b8cTxDM8gDG-07,semi,W010,W014,split_fixed,top,2,10,10,177.97041420118344,136.79289940828403,177.97041420118344,136.79289940828403,0.0,0.0,0.0
b8cTxDM8gDG-07,semi,W010,W014,split_fixed,top,3,1,1,217.14792899408283,174.94082840236686,217.14792899408283,174.94082840236686,0.0,0.0,0.0
b8cTxDM8gDG-07,semi,W010,W014,split_fixed,top,4,3,3,381.0,197.0,381.0,197.0,0.0,0.0,0.0
b8cTxDM8gDG-07,semi,W010,W014,split_fixed,top,5,5,5,548.0,178.0,548.0,178.0,0.0,0.0,0.0
b8cTxDM8gDG-07,semi,W010,W014,split_fixed,top,6,7,7,949.0,126.0,949.0,126.0,0.0,0.0,0.0
b8cTxDM8gDG-07,semi,W010,W014,split_fixed,bottom,1,12,12,145.88165680473372,362.1183431952663,142.43963999801105,367.28136840535035,2.0479322295150344,3.442016806722677,-5.163025210084072
b8cTxDM8gDG-07,semi,W010,W014,split_fixed,bottom,2,11,11,177.97041420118344,377.207100591716,177.97041420118344,377.207100591716,0.0,0.0,0.0
b8cTxDM8gDG-07,semi,W010,W014,split_fixed,bottom,3,2,2,214.11834319526628,328.9704142011835,214.11834319526628,328.9704142011835,0.0,0.0,0.0
b8cTxDM8gDG-07,semi,W010,W014,split_fixed,bottom,4,4,4,381.0,315.0,381.0,320.163025210084,1.8151260504201634,0.0,-5.163025210084015
b8cTxDM8gDG-07,semi,W010,W014,split_fixed,bottom,5,6,6,548.0,335.0,548.0,335.0,0.0,0.0,0.0
b8cTxDM8gDG-07,semi,W010,W014,split_fixed,bottom,6,8,8,949.0,387.0,949.0,387.0,0.0,0.0,0.0
