worker_id,language_group,group,number,image_id,difficulty,coarse,status
1,中文任务组,G179,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
2,中文任务组,G179,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
6,中文任务组,G179,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
10,中文任务组,G179,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
15,中文任务组,G179,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
17,中文任务组,G179,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
28,英文任务组,G179,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
30,英文任务组,G179,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
31,英文任务组,G179,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
32,英文任务组,G179,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
33,英文任务组,G179,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
34,英文任务组,G179,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
35,英文任务组,G179,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
36,英文任务组,G179,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
37,英文任务组,G179,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
6,中文任务组,G179,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
8,中文任务组,G179,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
10,中文任务组,G179,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
13,中文任务组,G179,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
