worker_id,image_id,tier,language,batch,source_groups,code,number,scene,difficulty,doorway,image_path,selection_state,baseline_credit,optional_kind,order
1,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,required,zh,G172,G172,uNb9QFRL6hY-12,12,起居与休闲,中等,否,data/mp3d_layout/test/img/uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f.png,已明确采用,1,,1
1,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,required,zh,G057,G057,VFuaQ6m2Qom-04,4,卫浴,困难,否,data/mp3d_layout/valid/img/VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85.png,已明确采用,1,,2
1,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,required,zh,G057,G057,VFuaQ6m2Qom-10,10,卫浴,困难,否,data/mp3d_layout/valid/img/VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8.png,已明确采用,1,,3
1,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,required,zh,G078,G078,Z6MFQCViBuw-02,2,厨房与用餐,简单,否,data/mp3d_layout/test/img/Z6MFQCViBuw_2008e72476f84104858e908beeac0193.png,已明确采用,1,,4
1,7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,required,zh,G015,G015,7y3sRwLe3Va-09,9,起居与休闲,中等,否,data/mp3d_layout/test/img/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.png,已明确采用,1,,5
1,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,required,zh,G015,G015,7y3sRwLe3Va-19,19,起居与休闲,中等,否,data/mp3d_layout/test/img/7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.png,已明确采用,1,,6
1,S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,required,zh,G047,G047,S9hNv5qa7GM-06,6,卧室,简单,否,data/mp3d_layout/valid/img/S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636.png,已明确采用,1,,7
1,S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54,required,zh,G047,G047,S9hNv5qa7GM-10,10,卧室,简单,否,data/mp3d_layout/valid/img/S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54.png,已明确采用,1,,8
1,yqstnuAEVhm_2b3fb4746d414cc6a31729b222ed79b2,required,zh,G237,G237,yqstnuAEVhm-05,5,厨房与用餐,简单,否,data/mp3d_layout/test/img/yqstnuAEVhm_2b3fb4746d414cc6a31729b222ed79b2.png,已明确采用,1,,9
1,wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,required,zh,G205,G205,wc2JMjhGNzB-03,3,卧室,简单,否,data/mp3d_layout/test/img/wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee.png,已明确采用,1,,10
1,wc2JMjhGNzB_02bbd23673904a6980dc0e22b11c6a35,required,zh,G202,G202,wc2JMjhGNzB-02,2,卫浴,中等,否,data/mp3d_layout/test/img/wc2JMjhGNzB_02bbd23673904a6980dc0e22b11c6a35.png,已明确采用,1,,11
1,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,required,zh,G202,G202,wc2JMjhGNzB-26,26,卫浴,困难,否,data/mp3d_layout/test/img/wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd.png,已明确采用,1,,12
1,2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,required,zh,G002,G002,2t7WUuJeko7-10,10,厨房与用餐,中等,否,data/mp3d_layout/valid/img/2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371.png,已明确采用,1,,13
1,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,required,zh,G109,G109,jtcxE69GiFV-05,5,卧室,中等,否,data/mp3d_layout/valid/img/jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037.png,已明确采用,1,,14
1,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,required,zh,G179,G179,uNb9QFRL6hY-19,19,卧室,中等,否,data/mp3d_layout/test/img/uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562.png,已明确采用,1,,15
1,rPc6DW4iMge_7316bf706e0d46368334c0c989210e09,required,zh,G165,G165,rPc6DW4iMge-14,14,卧室,简单,否,data/mp3d_layout/test/img/rPc6DW4iMge_7316bf706e0d46368334c0c989210e09.png,已明确采用,1,,16
1,uNb9QFRL6hY_9b675f28ab5f4345bf06ed5c77097426,required,zh,G178,G178,uNb9QFRL6hY-48,48,工作与学习,简单,否,data/mp3d_layout/test/img/uNb9QFRL6hY_9b675f28ab5f4345bf06ed5c77097426.png,已明确采用,1,,17
1,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,required,zh,G184,G184,uNb9QFRL6hY-26,26,卫浴,困难,否,data/mp3d_layout/test/img/uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab.png,已明确采用,1,,18
1,pa4otMbVnkk_82f4e9ccd0ef4351a3d814f1222b03cc,required,zh,G141,G141,pa4otMbVnkk-23,23,起居与休闲,中等,否,data/mp3d_layout/valid/img/pa4otMbVnkk_82f4e9ccd0ef4351a3d814f1222b03cc.png,已明确采用,1,,19
1,pa4otMbVnkk_b8245307c038459a9df432be2341ec27,required,zh,G141,G141,pa4otMbVnkk-37,37,起居与休闲,中等,否,data/mp3d_layout/valid/img/pa4otMbVnkk_b8245307c038459a9df432be2341ec27.png,已明确采用,1,,20
2,e9zR4mvMWw7_192fb2a16486430a96b34dffc2e8cbbc,required,zh,G090,G090,e9zR4mvMWw7-07,7,卧室,简单,否,data/mp3d_layout/test/img/e9zR4mvMWw7_192fb2a16486430a96b34dffc2e8cbbc.png,已明确采用,1,,1
2,e9zR4mvMWw7_1cbe7276fcee411c8695f5f11ac45eb5,required,zh,G090,G090,e9zR4mvMWw7-08,8,卧室,简单,否,data/mp3d_layout/test/img/e9zR4mvMWw7_1cbe7276fcee411c8695f5f11ac45eb5.png,已明确采用,1,,2
2,e9zR4mvMWw7_1f8ee74dbb254dff85771776279eae94,required,zh,G090,G090,e9zR4mvMWw7-11,11,卧室,简单,否,data/mp3d_layout/test/img/e9zR4mvMWw7_1f8ee74dbb254dff85771776279eae94.png,已明确采用,1,,3
2,uNb9QFRL6hY_9b675f28ab5f4345bf06ed5c77097426,required,zh,G178,G178,uNb9QFRL6hY-48,48,工作与学习,简单,否,data/mp3d_layout/test/img/uNb9QFRL6hY_9b675f28ab5f4345bf06ed5c77097426.png,已明确采用,1,,4
2,rPc6DW4iMge_7316bf706e0d46368334c0c989210e09,required,zh,G165,G165,rPc6DW4iMge-14,14,卧室,简单,否,data/mp3d_layout/test/img/rPc6DW4iMge_7316bf706e0d46368334c0c989210e09.png,已明确采用,1,,5
2,B6ByNegPMKs_dbc3c79b1ce74d209239b1572bd249bb,required,zh,G027,G027,B6ByNegPMKs-45,45,通行与连接,简单,否,data/mp3d_layout/test/img/B6ByNegPMKs_dbc3c79b1ce74d209239b1572bd249bb.png,已明确采用,1,,6
2,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,required,zh,G202,G202,wc2JMjhGNzB-26,26,卫浴,困难,否,data/mp3d_layout/test/img/wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd.png,已明确采用,1,,7
2,2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,required,zh,G002,G002,2t7WUuJeko7-10,10,厨房与用餐,中等,否,data/mp3d_layout/valid/img/2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371.png,已明确采用,1,,8
2,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,required,zh,G172,G172,uNb9QFRL6hY-12,12,起居与休闲,中等,否,data/mp3d_layout/test/img/uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f.png,已明确采用,1,,9
2,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,required,zh,G172,G172,uNb9QFRL6hY-40,40,起居与休闲,中等,否,data/mp3d_layout/test/img/uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62.png,已明确采用,1,,10
