condition,target,trait,positive,negative,adjustment,images,buildings,positive_images,negative_images,coefficient,lo,hi,status,pvalue,residual_df,largest_building,coefficient_without_largest_building,without_largest_status
manual,full_p_by_8,floor_boundary,partial,present,unadjusted,133,20,99,34,-0.0773351158645,-0.239698700479,0.0850284687497,descriptive_adjusted_association,0.350537601113,131,uNb9QFRL6hY,,
manual,full_p_by_8,floor_boundary,partial,present,n_scene,133,20,99,34,-0.383009775739,-0.504224962386,-0.261794589093,descriptive_adjusted_association,5.90306092284e-10,119,uNb9QFRL6hY,,
manual,full_p_by_8,floor_boundary,partial,present,n_scene_building,133,20,99,34,-0.393161353382,-0.543329274161,-0.242993432603,descriptive_adjusted_association,2.87488943074e-07,101,uNb9QFRL6hY,-0.406024305813,descriptive_adjusted_association
manual,full_p_by_8,ceiling_boundary,partial,present,unadjusted,133,20,18,115,0.1068647343,-0.169596174954,0.383325643553,descriptive_adjusted_association,0.448681283972,131,uNb9QFRL6hY,,
manual,full_p_by_8,ceiling_boundary,partial,present,n_scene,133,20,18,115,0.0971845730157,-0.0608775791228,0.255246725154,descriptive_adjusted_association,0.228170650149,119,uNb9QFRL6hY,,
manual,full_p_by_8,ceiling_boundary,partial,present,n_scene_building,133,20,18,115,-0.00265778532067,-0.28910174524,0.283786174599,descriptive_adjusted_association,0.985490767354,101,uNb9QFRL6hY,-0.185667476937,descriptive_adjusted_association
manual,full_p_by_8,reflection_glass,present,unknown,unadjusted,133,20,103,30,0.00930906148867,-0.1233930252,0.142011148177,descriptive_adjusted_association,0.8906422139,131,uNb9QFRL6hY,,
manual,full_p_by_8,reflection_glass,present,unknown,n_scene,133,20,103,30,-0.0462444361296,-0.216885614107,0.124396741848,descriptive_adjusted_association,0.595309284757,119,uNb9QFRL6hY,,
manual,full_p_by_8,reflection_glass,present,unknown,n_scene_building,133,20,103,30,-0.0485167609239,-0.231375089117,0.134341567269,descriptive_adjusted_association,0.603045380879,101,uNb9QFRL6hY,-0.0180286805879,descriptive_adjusted_association
manual,full_p_by_8,doorway,确认,否,unadjusted,128,20,8,120,-0.359875,-0.447939846004,-0.271810153996,descriptive_adjusted_association,1.15317734302e-15,126,uNb9QFRL6hY,,
manual,full_p_by_8,doorway,确认,否,n_scene,128,20,8,120,-0.308580284002,-0.502954188431,-0.114206379572,descriptive_adjusted_association,0.0018610107743,114,uNb9QFRL6hY,,
manual,full_p_by_8,doorway,确认,否,n_scene_building,128,20,8,120,-0.400778018156,-0.738558815472,-0.0629972208386,descriptive_adjusted_association,0.0200450442888,96,uNb9QFRL6hY,-0.608048363747,descriptive_adjusted_association
manual,full_p_by_8,doorway,疑似,否,unadjusted,124,20,4,120,-0.161125,-0.466465452995,0.144215452995,descriptive_adjusted_association,0.301018029105,122,uNb9QFRL6hY,,
manual,full_p_by_8,doorway,疑似,否,n_scene,124,20,4,120,-0.00856701575315,-0.222193510462,0.205059478956,descriptive_adjusted_association,0.93735078811,110,uNb9QFRL6hY,,
manual,full_p_by_8,doorway,疑似,否,n_scene_building,124,20,4,120,0.0110906973855,-0.585759027846,0.607940422617,descriptive_adjusted_association,0.970947332874,92,uNb9QFRL6hY,0.0151317764901,descriptive_adjusted_association
manual,core10_p_by_19,floor_boundary,partial,present,unadjusted,133,20,99,34,-0.000196078431373,-0.127716514102,0.127324357239,descriptive_adjusted_association,0.997595429409,131,uNb9QFRL6hY,,
