worker_id,language_group,task_1,task_2
1,Chinese,pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,jtcxE69GiFV_67790605390f4d439c3c59395967ec84
2,Chinese,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3
6,Chinese,jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8
8,Chinese,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602
11,Chinese,S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec
12,Chinese,pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037
13,Chinese,jtcxE69GiFV_44661972414d44fabc0799f237e4d7f0,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037
15,Chinese,zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec
17,Chinese,jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602
28,English,jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3
29,English,pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1
30,English,pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902
31,English,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85
32,English,zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78
33,English,pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,jtcxE69GiFV_67790605390f4d439c3c59395967ec84
34,English,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,jtcxE69GiFV_67790605390f4d439c3c59395967ec84
35,English,pa4otMbVnkk_fc4ee7e59f32491d9817b3a9a5b5e9b1,jtcxE69GiFV_67790605390f4d439c3c59395967ec84
36,English,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1
37,English,jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902
