source_row,analysis_lane,image_id,worker_id,canonical_annotation_id,mapping_status
2,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,12,0545d5cfd8fca3b793bc,matched
3,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,27,0f006ad814591f20f1d7,matched
4,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,10,1aa87c4e8b0db18c1ccd,matched
5,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,35,3e053dc275632e30f220,matched
6,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,6,432d23215497f235714b,matched
7,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,8,58fcb37f432cd01e22a1,matched
8,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,2,6037abe04bcfa1d308ed,matched
9,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,30,762aad63d41c0473582f,matched
10,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,34,779f777343654b55ad95,matched
11,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,31,944fc693a5243b08b5ee,matched
12,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,33,9e082eaf47377454a352,matched
13,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,28,a5582527e1e55759fca4,matched
14,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,13,a899e204555a9b64f4b5,matched
15,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,18,b26eb0a9d329d8a255fd,matched
16,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,15,b52612c32e32fb20b8c2,matched
17,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,17,bbe40bd3ad25e4383c92,matched
18,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,1,c71f04cf03f04f83010c,matched
19,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,32,d37f314fba3b67c55956,matched
20,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,29,ddc38d03eaf0ed686dbe,matched
21,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,11,efdd3af8bbe9661a922f,matched
22,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,36,beebb1979f052693f701,matched
23,legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,37,1623fbedf957f0be9421,matched
24,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,18,0309b9293bdaeefba16c,matched
25,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,11,13de41d9ab1a6f93dc75,matched
26,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,36,1b0b4076d43ab5586a3f,matched
27,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,35,225002de699658941ca0,matched
28,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,30,2425c99671ebf414b359,matched
29,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,28,2669e20e43502bcf1419,matched
30,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,17,40b1ddacfbaf05a362ac,matched
31,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,29,68b9de98f158c481d82a,matched
32,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,8,6f501a02450b80edfacb,matched
33,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,27,7392408a228d29c44684,matched
34,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,37,73e2d1fca7e2ec1b2b59,matched
35,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,13,75727d4b2511f36fa2ce,matched
36,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,15,775744097a41d254df7f,matched
37,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,12,8775b9adcf68f1324409,matched
38,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,33,a9bf98b8cc8fbfa40f5c,matched
39,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,31,bce7044b348685668b71,matched
40,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,34,bdf544ff5d0a4bfacc09,matched
41,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,10,c214f6ddad6c484d9ead,matched
42,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,6,d4f265a1a24e286d2575,matched
43,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,2,fcdfb6cd62ff1d9b2b4a,matched
44,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,1,8cc976464d74ba775b9e,matched
45,legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,32,9a0a83ba9247dbf61861,matched
46,legacy_q095_k22_evaluable_9,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,30,1318278d00548b081ebc,matched
47,legacy_q095_k22_evaluable_9,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,1,14346fa7f625df2e92da,matched
48,legacy_q095_k22_evaluable_9,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,29,20f0af1735ba9f7c5a2e,matched
49,legacy_q095_k22_evaluable_9,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,13,2d83aaed5161b7904cdd,matched
50,legacy_q095_k22_evaluable_9,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,36,3e5c4fe6cfe523059d12,matched
51,legacy_q095_k22_evaluable_9,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,35,43266379df129a98dcd9,matched
52,legacy_q095_k22_evaluable_9,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,6,65cf5a2a652ba9b3ca95,matched
53,legacy_q095_k22_evaluable_9,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,28,6c5161e9261e0ba5f8b1,matched
54,legacy_q095_k22_evaluable_9,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,15,6d2129c626d211543587,matched
55,legacy_q095_k22_evaluable_9,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,31,73a83925776f8e35ed8a,matched
56,legacy_q095_k22_evaluable_9,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,34,82255f7bb022fd1cd129,matched
57,legacy_q095_k22_evaluable_9,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,33,86e6614af35eccb013ac,matched
58,legacy_q095_k22_evaluable_9,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,11,a02304edf778c294c6fb,matched
