序号,案例类型,案例标题,base_task_id,worker_ids,选例规则,数据来源,指标变量,HTML锚点,PNG文件
1,Manual/Semi 不确定性变化,Manual/Semi：典型收敛,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,,在熵下降任务中选择最接近下降幅度中位数的任务,SEMI_25_CONVERGENCE_EXPANSION_ALL_IMAGES.csv;RAW_ANNOTATION_LEDGER_ALL_2513.csv,delta_shannon_entropy;manual_shannon_entropy;semi_shannon_entropy;manual_mode_count;semi_mode_count,#case-01,单图/01_B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9.png
2,Manual/Semi 不确定性变化,Manual/Semi：极端扩张,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,,在熵上升任务中选择 delta_shannon_entropy 最大的任务,SEMI_25_CONVERGENCE_EXPANSION_ALL_IMAGES.csv;RAW_ANNOTATION_LEDGER_ALL_2513.csv,delta_shannon_entropy;manual_shannon_entropy;semi_shannon_entropy;manual_mode_count;semi_mode_count,#case-02,单图/02_q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.png
3,模型预标注响应,模型提案：高保留,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,,在高提案保留任务中选择编辑比例最接近该组中位数的任务,PROPOSAL_TASK_ANCHORING_AND_DISCOVERY.csv;PROPOSAL_GEOMETRY_RECORDS.csv,edit_rate;edit_rmse_median;topology_change_count;delta_shannon_entropy,#case-03,单图/03_wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f.png
4,模型预标注响应,模型提案：大幅修正,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,,先按拓扑变化记录数、再按编辑 RMSE 选择修正幅度最大的任务,PROPOSAL_TASK_ANCHORING_AND_DISCOVERY.csv;PROPOSAL_GEOMETRY_RECORDS.csv,edit_rate;edit_rmse_median;topology_change_count;delta_shannon_entropy,#case-04,单图/04_q9vSo1VnCiC_a424533651804a38a55b1252daccc81e.png
5,Crowd–GT 关系,Crowd–GT：非最大支持模式更接近 GT,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,,在有支持的非最大模式更接近 GT 的任务中选择 GT 差值最大的任务,CROWD_GT_101_GEOMETRIC_CAUSE_AUDIT.csv;C1_CROWD_GT_CLUSTER_METRICS.CSV,crowd_gt_gap_best_minus_largest;largest_cluster_support;second_cluster_support,#case-05,单图/05_UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de.png
6,Crowd–GT 关系,Crowd–GT：分散分歧或低 GT 对齐,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,,在全部单例或低 GT 对齐任务中选择最大模式支持最弱的任务,CROWD_GT_101_GEOMETRIC_CAUSE_AUDIT.csv;C1_CROWD_GT_CLUSTER_METRICS.CSV,crowd_gt_gap_best_minus_largest;largest_cluster_support;second_cluster_support,#case-06,单图/06_q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.png
7,双标注者几何差异,双标注者：同拓扑坐标差异最大,pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,36;37,在相同拓扑双人任务中选择循环对齐 RMSE 最大的任务,DUAL_ANNOTATOR_GEOMETRY_SENSITIVITY_ALL.csv;RAW_ANNOTATION_LEDGER_ALL_2513.csv,cyclic_rmse_diagonal_normalized;n_corners_left;n_corners_right,#case-07,单图/07_pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930.png
8,双标注者几何差异,双标注者：拓扑不同,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,11;37,在拓扑不同任务中选择角点数差异最大的任务,DUAL_ANNOTATOR_GEOMETRY_SENSITIVITY_ALL.csv;RAW_ANNOTATION_LEDGER_ALL_2513.csv,cyclic_rmse_diagonal_normalized;n_corners_left;n_corners_right,#case-08,单图/08_VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8.png
9,持续多峰,持续多峰：重放中稳定分裂,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,,选择全部前缀重放中支持多峰比例最高的任务,C1_K22_PREFIX_REPLAY.csv;PERSISTENT_DISAGREEMENT_TASKS.CSV,supported_replay_rate;k5_supported_rate,#case-09,单图/09_uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97.png
10,持续多峰,持续多峰：增加标注后暴露,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,,在完整样本支持多峰的任务中选择 k=5 支持多峰比例最低者,C1_K22_PREFIX_REPLAY.csv;PERSISTENT_DISAGREEMENT_TASKS.CSV,supported_replay_rate;k5_supported_rate,#case-10,单图/10_rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3.png
