group,building,source_review_state,source_physical_same,registered_images,current_manual_images,current_high_support_manual_images,image_ids,high_support_ids,independent_room_identity_not_newly_adjudicated
G001,2t7WUuJeko7,explicit_confirmed,支持,4,1,0,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,,True
G002,2t7WUuJeko7,viewed_per_user_statement,支持,5,0,0,,,True
G003,2t7WUuJeko7,viewed_per_user_statement,支持,2,1,0,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,,True
G004,2t7WUuJeko7,explicit_discussion,支持,4,0,0,,,True
G005,2t7WUuJeko7,explicit_confirmed,支持,2,1,0,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,,True
G006,7y3sRwLe3Va,viewed_per_user_statement,不支持,2,0,0,,,True
G007,7y3sRwLe3Va,viewed_per_user_statement,不支持,2,1,0,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,,True
G008,7y3sRwLe3Va,viewed_per_user_statement,待定,2,1,1,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,True
G009,7y3sRwLe3Va,explicit_confirmed,支持,2,1,0,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,,True
G010,7y3sRwLe3Va,viewed_per_user_statement,待定,2,1,0,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,,True
G011,7y3sRwLe3Va,viewed_per_user_statement,待定,2,2,0,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211|7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,,True
G012,7y3sRwLe3Va,viewed_per_user_statement,不支持,2,1,1,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,True
G013,7y3sRwLe3Va,explicit_confirmed,支持,2,0,0,,,True
G014,7y3sRwLe3Va,explicit_discussion,支持,4,2,0,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e|7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,,True
G015,7y3sRwLe3Va,explicit_confirmed,支持,4,1,0,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,,True
G016,7y3sRwLe3Va,explicit_confirmed,支持,2,1,0,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,,True
G017,7y3sRwLe3Va,viewed_per_user_statement,支持,3,1,0,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,,True
G018,B6ByNegPMKs,viewed_per_user_statement,待定,2,0,0,,,True
G019,B6ByNegPMKs,explicit_confirmed,支持,2,0,0,,,True
G020,B6ByNegPMKs,explicit_confirmed,支持,2,0,0,,,True
G021,B6ByNegPMKs,viewed_per_user_statement,不支持,2,0,0,,,True
G022,B6ByNegPMKs,viewed_per_user_statement,待定,2,0,0,,,True
G023,B6ByNegPMKs,viewed_per_user_statement,不支持,2,0,0,,,True
G024,B6ByNegPMKs,viewed_per_user_statement,待定,2,1,0,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,,True
G025,B6ByNegPMKs,explicit_confirmed,支持,2,0,0,,,True
G026,B6ByNegPMKs,viewed_per_user_statement,待定,2,1,1,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,True
G027,B6ByNegPMKs,viewed_per_user_statement,支持,2,1,1,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,True
G028,B6ByNegPMKs,viewed_per_user_statement,待定,2,0,0,,,True
G029,B6ByNegPMKs,viewed_per_user_statement,待定,2,0,0,,,True
G030,B6ByNegPMKs,viewed_per_user_statement,待定,2,0,0,,,True
G031,B6ByNegPMKs,viewed_per_user_statement,不支持,2,0,0,,,True
G032,B6ByNegPMKs,explicit_confirmed,支持,2,0,0,,,True
G033,B6ByNegPMKs,viewed_per_user_statement,待定,2,0,0,,,True
