condition,scene,image_a,image_b,relation,grade_a,grade_b,n_a,n_b,main_a,main_b,singleton_a,singleton_b,late_new_a,late_new_b,cdf_early_a,cdf_early_b
manual,卧室,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,same_category_different_building,medium,simple,20,6,sleep,sleep,0.05,0,0,0,0.09,1
manual,卧室,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,same_category_different_building,medium,simple,20,5,sleep,sleep,0.05,0,0,0,0.09,1
manual,卧室,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,same_category_different_building,medium,simple,20,6,sleep,unknown,0.05,0,0,0,0.09,1
manual,卧室,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,same_category_different_building,medium,simple,20,5,sleep,sleep,0.05,0,0,0,0.09,1
manual,卧室,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,same_category_different_building,medium,simple,20,5,sleep,sleep,0.05,0,0,0,0.09,1
manual,卧室,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,same_category_different_building,medium,difficult_candidate,20,24,sleep,sleep,0.05,0.5,0,0.523333333333,0.09,0
manual,卧室,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,same_category_different_building,simple,difficult_candidate,6,24,sleep,sleep,0,0.5,0,0.523333333333,1,0
manual,卧室,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,same_category_different_building,simple,difficult_candidate,5,24,sleep,sleep,0,0.5,0,0.523333333333,1,0
manual,卧室,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,same_category_different_building,simple,difficult_candidate,6,24,unknown,sleep,0,0.5,0,0.523333333333,1,0
manual,卧室,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,same_category_different_building,simple,difficult_candidate,5,24,sleep,sleep,0,0.5,0,0.523333333333,1,0
