image_id,code,condition,building,N_observed,N_geometry,N_unavailable,development_image,method,id,worker,cluster,density_unassigned,effective_points,imputed_point
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A0_legacy,b7ad646fe3dc3b0d378e,W008,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A0_legacy,3651a92290f6ddca5577,W031,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A0_legacy,17be19782ab6f1fa54ca,W034,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A1_mask,b7ad646fe3dc3b0d378e,W008,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A1_mask,3651a92290f6ddca5577,W031,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A1_mask,17be19782ab6f1fa54ca,W034,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A2_local,b7ad646fe3dc3b0d378e,W008,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A2_local,3651a92290f6ddca5577,W031,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A2_local,17be19782ab6f1fa54ca,W034,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic,b7ad646fe3dc3b0d378e,W008,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic,3651a92290f6ddca5577,W031,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic,17be19782ab6f1fa54ca,W034,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A4_adaptive,b7ad646fe3dc3b0d378e,W008,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A4_adaptive,3651a92290f6ddca5577,W031,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A4_adaptive,17be19782ab6f1fa54ca,W034,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A5_density,b7ad646fe3dc3b0d378e,W008,2,True,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A5_density,3651a92290f6ddca5577,W031,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A5_density,17be19782ab6f1fa54ca,W034,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A6_spectral,b7ad646fe3dc3b0d378e,W008,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A6_spectral,3651a92290f6ddca5577,W031,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A6_spectral,17be19782ab6f1fa54ca,W034,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A7_event,b7ad646fe3dc3b0d378e,W008,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A7_event,3651a92290f6ddca5577,W031,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A7_event,17be19782ab6f1fa54ca,W034,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut06,b7ad646fe3dc3b0d378e,W008,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut06,3651a92290f6ddca5577,W031,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut06,17be19782ab6f1fa54ca,W034,2,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut08,b7ad646fe3dc3b0d378e,W008,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut08,3651a92290f6ddca5577,W031,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut08,17be19782ab6f1fa54ca,W034,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut10,b7ad646fe3dc3b0d378e,W008,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut10,3651a92290f6ddca5577,W031,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut10,17be19782ab6f1fa54ca,W034,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut14,b7ad646fe3dc3b0d378e,W008,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut14,3651a92290f6ddca5577,W031,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut14,17be19782ab6f1fa54ca,W034,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut16,b7ad646fe3dc3b0d378e,W008,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut16,3651a92290f6ddca5577,W031,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut16,17be19782ab6f1fa54ca,W034,1,False,8,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A1_mask_cut0.050,b7ad646fe3dc3b0d378e,W008,1,False,8,False
