version,image_id,code,condition,method,id,worker,points,cluster
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,9fc7e8e2d9d6bcc3,W001,16,7
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,57c9e6d18d1e8441,W002,24,10
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,e6cf4672ca0a98e0,W006,20,11
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,f3dddcec6bd52333,W008,8,21
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,0def5b6fa7a8c943,W010,12,6
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,6751bda596ab6aa3,W011,14,3
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,870b797b2c22b194,W012,8,16
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,842bcbbca90674ae,W013,8,14
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,ebf6a238abbded76,W014,8,14
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,164460ea4b39a74c,W015,20,8
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,ea3d5e0fe3227ffd,W017,22,9
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,df9f72a9643f2a2e,W018,10,17
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,68f273f5934bd5d6,W021,20,8
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,f89be7fd70fc65db,W027,16,13
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,55515d4fbe62f3d7,W028,14,5
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,caa6d658732cb9af,W029,10,18
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,3a772c253f77d4b7,W030,9,20
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,9c8fbc4acb8cacca,W031,14,4
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,OSPA30_c3_gate0,d98e0f6e768e3029,W032,14,1
