task_id,base_task_id,building_id,building_registry_status,risk_design_stratum,risk_design_score_A,risk_route_source_value,risk_route_status,d_cal_F_source_value,family_scores_source_value,risk_route_active,active_family,task_activation_status,overall_fallback,activation_blockers,v1_candidate_eligible
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,,unresolved_scene_mapping,ordinary,4.306786167833992,,deferred_until_post_c2_profile,,,,,not_evaluable,,risk_route_deferred;risk_route_missing;d_cal_F_missing;family_scores_missing;building_registry_unresolved;full_scoring_manifest_missing,false
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,,unresolved_scene_mapping,stress,6.642520966457357,,deferred_until_post_c2_profile,,,,,not_evaluable,,risk_route_deferred;risk_route_missing;d_cal_F_missing;family_scores_missing;building_registry_unresolved;full_scoring_manifest_missing,false
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,approved,ordinary,4.7024455111689285,,deferred_until_post_c2_profile,,,,,not_evaluable,,risk_route_deferred;risk_route_missing;d_cal_F_missing;family_scores_missing;full_scoring_manifest_missing,false
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,,unresolved_scene_mapping,ordinary,4.220703843326358,,deferred_until_post_c2_profile,,,,,not_evaluable,,risk_route_deferred;risk_route_missing;d_cal_F_missing;family_scores_missing;building_registry_unresolved;full_scoring_manifest_missing,false
7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,,unresolved_scene_mapping,ordinary,4.681193449831888,,deferred_until_post_c2_profile,,,,,not_evaluable,,risk_route_deferred;risk_route_missing;d_cal_F_missing;family_scores_missing;building_registry_unresolved;full_scoring_manifest_missing,false
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,,unresolved_scene_mapping,stress,6.589131348797308,,deferred_until_post_c2_profile,,,,,not_evaluable,,risk_route_deferred;risk_route_missing;d_cal_F_missing;family_scores_missing;building_registry_unresolved;full_scoring_manifest_missing,false
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,,unresolved_scene_mapping,ordinary,4.962671502529529,,deferred_until_post_c2_profile,,,,,not_evaluable,,risk_route_deferred;risk_route_missing;d_cal_F_missing;family_scores_missing;building_registry_unresolved;full_scoring_manifest_missing,false
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,,unresolved_scene_mapping,stress,6.9273327634917345,,deferred_until_post_c2_profile,,,,,not_evaluable,,risk_route_deferred;risk_route_missing;d_cal_F_missing;family_scores_missing;building_registry_unresolved;full_scoring_manifest_missing,false
7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,,unresolved_scene_mapping,ordinary,3.649300052989677,,deferred_until_post_c2_profile,,,,,not_evaluable,,risk_route_deferred;risk_route_missing;d_cal_F_missing;family_scores_missing;building_registry_unresolved;full_scoring_manifest_missing,false
7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,,unresolved_scene_mapping,stress,6.332277245747987,,deferred_until_post_c2_profile,,,,,not_evaluable,,risk_route_deferred;risk_route_missing;d_cal_F_missing;family_scores_missing;building_registry_unresolved;full_scoring_manifest_missing,false
