analysis_role,base_task_id,block3_generated,canonical_status,canonical_submission_id,decision_source_file,decision_source_sha256,decision_time,exclusion_reason,formal_policy_frozen,formal_profile_frozen,geometry_status,reconciliation_status,reference_status,reported_chain,risk_eligibility,scientific_conclusion_prohibited,worker_id
diagnostic_pre_stage3,jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,False,false,f8c20f06811c7321e708,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,not_joined_in_this_processing_package,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,canonical_invalid,True,28
diagnostic_pre_stage3,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,False,true,72c13a6178d8de165b2b,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,28
diagnostic_pre_stage3,pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,False,true,92407a16ffcb520b2e41,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,29
diagnostic_pre_stage3,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,False,false,cfed132b0fc918765220,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,canonical_invalid,True,29
diagnostic_pre_stage3,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,False,true,3bb435208d6ac7f802e0,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,32
diagnostic_pre_stage3,pa4otMbVnkk_eac7bdc24b24474ba38b8b0b5acd62f6,False,false,7b7850ca77d4e6921006,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,not_joined_in_this_processing_package,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,canonical_invalid,True,30
diagnostic_pre_stage3,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,False,false,6b330560608f60b295bf,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,canonical_invalid,True,30
diagnostic_pre_stage3,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,False,true,3651a92290f6ddca5577,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,31
diagnostic_pre_stage3,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,False,true,17be19782ab6f1fa54ca,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,34
diagnostic_pre_stage3,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,False,true,22f5ceb1b91de9daaa48,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,31
diagnostic_pre_stage3,zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,False,true,0671823b060edef4c4ef,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,32
diagnostic_pre_stage3,pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,False,true,e9ce7b4a420c89e79e68,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,33
diagnostic_pre_stage3,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,False,true,6d71defb42ff13413fb3,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,33
diagnostic_pre_stage3,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,False,true,8d2fb23ccf6644962fa7,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,34
diagnostic_pre_stage3,zsNo4HB9uLZ_2caadd7bc71c43d5ad10f4e7f10a3455,False,true,4f1effa8aeec2f6ca224,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,35
