analysis_role,block3_generated,family,formal_policy_frozen,formal_profile_frozen,procedure,required_input,scientific_conclusion_prohibited,source_statuses,status
diagnostic_pre_stage3,False,undercoverage,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,P1 family integrity,True,not_evaluable_missing_family_level_input,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,undercoverage,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,C1 predictive validation,True,not_materialized,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,undercoverage,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,C2B confirmation,True,not_materialized,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,undercoverage,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,direction consistency,True,not_evaluable,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,undercoverage,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,leave-task stability,True,not_materialized_in_source_artifact,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,undercoverage,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,leave-block stability,True,not_materialized_in_source_artifact,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,undercoverage,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,frozen family threshold/activation,True,threshold_manifest_not_approved,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,adjacent_space_overextension,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,P1 family integrity,True,not_evaluable_missing_family_level_input,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,adjacent_space_overextension,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,C1 predictive validation,True,not_materialized,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,adjacent_space_overextension,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,C2B confirmation,True,not_materialized,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,adjacent_space_overextension,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,direction consistency,True,not_evaluable,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,adjacent_space_overextension,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,leave-task stability,True,not_materialized_in_source_artifact,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,adjacent_space_overextension,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,leave-block stability,True,not_materialized_in_source_artifact,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,adjacent_space_overextension,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,frozen family threshold/activation,True,threshold_manifest_not_approved,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,corner_topology_instability,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,P1 family integrity,True,not_evaluable_missing_family_level_input,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,corner_topology_instability,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,C1 predictive validation,True,not_materialized,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,corner_topology_instability,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,C2B confirmation,True,not_materialized,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,corner_topology_instability,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,direction consistency,True,not_evaluable,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,corner_topology_instability,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,leave-task stability,True,not_materialized_in_source_artifact,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,corner_topology_instability,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,leave-block stability,True,not_materialized_in_source_artifact,source_absent_or_not_materialized_not_negative_evidence
diagnostic_pre_stage3,False,corner_topology_instability,False,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,frozen family threshold/activation,True,threshold_manifest_not_approved,source_absent_or_not_materialized_not_negative_evidence
