all_gates_status,analysis_role,block3_generated,c1_predictive_status,c2b_confirmation_status,direction_gate_status,disable_reason,family,formal_policy_frozen,formal_profile_frozen,p1_family_integrity_status,required_chain,required_chain_status_json,routing_activation_allowed,scientific_conclusion_prohibited,sha256,shrinkage_status,source,support_gate_status,worker_id
not_ready_missing_inputs,diagnostic_pre_stage3,False,not_materialized,not_materialized,not_evaluable,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,undercoverage,False,False,not_evaluable_missing_family_level_input,P1_integrity_eligible;C1_predictive_validated;C2B_confirmed;direction_consistent;leave_one_task_out_stable;leave_one_block_out_stable;routing_activation_allowed,"{""C1_predictive_validated"": ""not_materialized"", ""C2B_confirmed"": ""not_materialized"", ""P1_integrity_eligible"": ""not_evaluable_missing_family_level_input"", ""direction_consistent"": ""not_evaluable"", ""leave_one_block_out_stable"": ""not_materialized_in_source_artifact"", ""leave_one_task_out_stable"": ""not_materialized_in_source_artifact"", ""routing_activation_allowed"": ""false""}",false,True,0d4cb0e4c267952c50a5c7239e6a767574d33e2a94e78cb63ca98791a84178b8,not_materialized,analysis_results\full_materialization_pre_v1_audit_20260810_v1\worker_p1_family_component_eligibility.csv,not_evaluable,1
not_ready_missing_inputs,diagnostic_pre_stage3,False,not_materialized,not_materialized,not_evaluable,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,adjacent_space_overextension,False,False,not_evaluable_missing_family_level_input,P1_integrity_eligible;C1_predictive_validated;C2B_confirmed;direction_consistent;leave_one_task_out_stable;leave_one_block_out_stable;routing_activation_allowed,"{""C1_predictive_validated"": ""not_materialized"", ""C2B_confirmed"": ""not_materialized"", ""P1_integrity_eligible"": ""not_evaluable_missing_family_level_input"", ""direction_consistent"": ""not_evaluable"", ""leave_one_block_out_stable"": ""not_materialized_in_source_artifact"", ""leave_one_task_out_stable"": ""not_materialized_in_source_artifact"", ""routing_activation_allowed"": ""false""}",false,True,0d4cb0e4c267952c50a5c7239e6a767574d33e2a94e78cb63ca98791a84178b8,not_materialized,analysis_results\full_materialization_pre_v1_audit_20260810_v1\worker_p1_family_component_eligibility.csv,not_evaluable,1
not_ready_missing_inputs,diagnostic_pre_stage3,False,not_materialized,not_materialized,not_evaluable,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,corner_topology_instability,False,False,not_evaluable_missing_family_level_input,P1_integrity_eligible;C1_predictive_validated;C2B_confirmed;direction_consistent;leave_one_task_out_stable;leave_one_block_out_stable;routing_activation_allowed,"{""C1_predictive_validated"": ""not_materialized"", ""C2B_confirmed"": ""not_materialized"", ""P1_integrity_eligible"": ""not_evaluable_missing_family_level_input"", ""direction_consistent"": ""not_evaluable"", ""leave_one_block_out_stable"": ""not_materialized_in_source_artifact"", ""leave_one_task_out_stable"": ""not_materialized_in_source_artifact"", ""routing_activation_allowed"": ""false""}",false,True,0d4cb0e4c267952c50a5c7239e6a767574d33e2a94e78cb63ca98791a84178b8,not_materialized,analysis_results\full_materialization_pre_v1_audit_20260810_v1\worker_p1_family_component_eligibility.csv,not_evaluable,1
not_ready_missing_inputs,diagnostic_pre_stage3,False,not_materialized,not_materialized,not_evaluable,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,undercoverage,False,False,not_evaluable_missing_family_level_input,P1_integrity_eligible;C1_predictive_validated;C2B_confirmed;direction_consistent;leave_one_task_out_stable;leave_one_block_out_stable;routing_activation_allowed,"{""C1_predictive_validated"": ""not_materialized"", ""C2B_confirmed"": ""not_materialized"", ""P1_integrity_eligible"": ""not_evaluable_missing_family_level_input"", ""direction_consistent"": ""not_evaluable"", ""leave_one_block_out_stable"": ""not_materialized_in_source_artifact"", ""leave_one_task_out_stable"": ""not_materialized_in_source_artifact"", ""routing_activation_allowed"": ""false""}",false,True,0d4cb0e4c267952c50a5c7239e6a767574d33e2a94e78cb63ca98791a84178b8,not_materialized,analysis_results\full_materialization_pre_v1_audit_20260810_v1\worker_p1_family_component_eligibility.csv,not_evaluable,2
not_ready_missing_inputs,diagnostic_pre_stage3,False,not_materialized,not_materialized,not_evaluable,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,adjacent_space_overextension,False,False,not_evaluable_missing_family_level_input,P1_integrity_eligible;C1_predictive_validated;C2B_confirmed;direction_consistent;leave_one_task_out_stable;leave_one_block_out_stable;routing_activation_allowed,"{""C1_predictive_validated"": ""not_materialized"", ""C2B_confirmed"": ""not_materialized"", ""P1_integrity_eligible"": ""not_evaluable_missing_family_level_input"", ""direction_consistent"": ""not_evaluable"", ""leave_one_block_out_stable"": ""not_materialized_in_source_artifact"", ""leave_one_task_out_stable"": ""not_materialized_in_source_artifact"", ""routing_activation_allowed"": ""false""}",false,True,0d4cb0e4c267952c50a5c7239e6a767574d33e2a94e78cb63ca98791a84178b8,not_materialized,analysis_results\full_materialization_pre_v1_audit_20260810_v1\worker_p1_family_component_eligibility.csv,not_evaluable,2
not_ready_missing_inputs,diagnostic_pre_stage3,False,not_materialized,not_materialized,not_evaluable,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,corner_topology_instability,False,False,not_evaluable_missing_family_level_input,P1_integrity_eligible;C1_predictive_validated;C2B_confirmed;direction_consistent;leave_one_task_out_stable;leave_one_block_out_stable;routing_activation_allowed,"{""C1_predictive_validated"": ""not_materialized"", ""C2B_confirmed"": ""not_materialized"", ""P1_integrity_eligible"": ""not_evaluable_missing_family_level_input"", ""direction_consistent"": ""not_evaluable"", ""leave_one_block_out_stable"": ""not_materialized_in_source_artifact"", ""leave_one_task_out_stable"": ""not_materialized_in_source_artifact"", ""routing_activation_allowed"": ""false""}",false,True,0d4cb0e4c267952c50a5c7239e6a767574d33e2a94e78cb63ca98791a84178b8,not_materialized,analysis_results\full_materialization_pre_v1_audit_20260810_v1\worker_p1_family_component_eligibility.csv,not_evaluable,2
not_ready_missing_inputs,diagnostic_pre_stage3,False,not_materialized,not_materialized,not_evaluable,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,undercoverage,False,False,not_evaluable_missing_family_level_input,P1_integrity_eligible;C1_predictive_validated;C2B_confirmed;direction_consistent;leave_one_task_out_stable;leave_one_block_out_stable;routing_activation_allowed,"{""C1_predictive_validated"": ""not_materialized"", ""C2B_confirmed"": ""not_materialized"", ""P1_integrity_eligible"": ""not_evaluable_missing_family_level_input"", ""direction_consistent"": ""not_evaluable"", ""leave_one_block_out_stable"": ""not_materialized_in_source_artifact"", ""leave_one_task_out_stable"": ""not_materialized_in_source_artifact"", ""routing_activation_allowed"": ""false""}",false,True,0d4cb0e4c267952c50a5c7239e6a767574d33e2a94e78cb63ca98791a84178b8,not_materialized,analysis_results\full_materialization_pre_v1_audit_20260810_v1\worker_p1_family_component_eligibility.csv,not_evaluable,6
not_ready_missing_inputs,diagnostic_pre_stage3,False,not_materialized,not_materialized,not_evaluable,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,adjacent_space_overextension,False,False,not_evaluable_missing_family_level_input,P1_integrity_eligible;C1_predictive_validated;C2B_confirmed;direction_consistent;leave_one_task_out_stable;leave_one_block_out_stable;routing_activation_allowed,"{""C1_predictive_validated"": ""not_materialized"", ""C2B_confirmed"": ""not_materialized"", ""P1_integrity_eligible"": ""not_evaluable_missing_family_level_input"", ""direction_consistent"": ""not_evaluable"", ""leave_one_block_out_stable"": ""not_materialized_in_source_artifact"", ""leave_one_task_out_stable"": ""not_materialized_in_source_artifact"", ""routing_activation_allowed"": ""false""}",false,True,0d4cb0e4c267952c50a5c7239e6a767574d33e2a94e78cb63ca98791a84178b8,not_materialized,analysis_results\full_materialization_pre_v1_audit_20260810_v1\worker_p1_family_component_eligibility.csv,not_evaluable,6
not_ready_missing_inputs,diagnostic_pre_stage3,False,not_materialized,not_materialized,not_evaluable,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,corner_topology_instability,False,False,not_evaluable_missing_family_level_input,P1_integrity_eligible;C1_predictive_validated;C2B_confirmed;direction_consistent;leave_one_task_out_stable;leave_one_block_out_stable;routing_activation_allowed,"{""C1_predictive_validated"": ""not_materialized"", ""C2B_confirmed"": ""not_materialized"", ""P1_integrity_eligible"": ""not_evaluable_missing_family_level_input"", ""direction_consistent"": ""not_evaluable"", ""leave_one_block_out_stable"": ""not_materialized_in_source_artifact"", ""leave_one_task_out_stable"": ""not_materialized_in_source_artifact"", ""routing_activation_allowed"": ""false""}",false,True,0d4cb0e4c267952c50a5c7239e6a767574d33e2a94e78cb63ca98791a84178b8,not_materialized,analysis_results\full_materialization_pre_v1_audit_20260810_v1\worker_p1_family_component_eligibility.csv,not_evaluable,6
not_ready_missing_inputs,diagnostic_pre_stage3,False,not_materialized,not_materialized,not_evaluable,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,undercoverage,False,False,not_evaluable_missing_family_level_input,P1_integrity_eligible;C1_predictive_validated;C2B_confirmed;direction_consistent;leave_one_task_out_stable;leave_one_block_out_stable;routing_activation_allowed,"{""C1_predictive_validated"": ""not_materialized"", ""C2B_confirmed"": ""not_materialized"", ""P1_integrity_eligible"": ""not_evaluable_missing_family_level_input"", ""direction_consistent"": ""not_evaluable"", ""leave_one_block_out_stable"": ""not_materialized_in_source_artifact"", ""leave_one_task_out_stable"": ""not_materialized_in_source_artifact"", ""routing_activation_allowed"": ""false""}",false,True,0d4cb0e4c267952c50a5c7239e6a767574d33e2a94e78cb63ca98791a84178b8,not_materialized,analysis_results\full_materialization_pre_v1_audit_20260810_v1\worker_p1_family_component_eligibility.csv,not_evaluable,8
