analysis_role,base_task_id,block3_generated,canonical_submission_id,case,evidence_stage,formal_policy_frozen,formal_profile_frozen,reference_status,scientific_conclusion_prohibited,sha256,source,worker_id
diagnostic_pre_stage3,jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,False,,reference_unavailable,C2B,False,False,reference_unavailable,True,52d64840f187b10d9dac1204521f8b8d0fb01d68d71f45035db0f853511a73c8,analysis_results\c2a_rp_block2_diagnostics_20260814_v1\reference_registry_crosswalk.csv,aggregate_workers=2
diagnostic_pre_stage3,jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,False,,reference_unavailable,C2B,False,False,reference_unavailable,True,52d64840f187b10d9dac1204521f8b8d0fb01d68d71f45035db0f853511a73c8,analysis_results\c2a_rp_block2_diagnostics_20260814_v1\reference_registry_crosswalk.csv,aggregate_workers=2
diagnostic_pre_stage3,zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,False,95625df034393995804f,crosswalk_not_joined,C2B,False,False,not_joined_in_this_processing_package,True,52d64840f187b10d9dac1204521f8b8d0fb01d68d71f45035db0f853511a73c8,analysis_results\c2a_rp_block2_diagnostics_20260814_v1\reference_registry_crosswalk.csv,1
diagnostic_pre_stage3,zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,False,52cf50ccdad93af27c5d,crosswalk_not_joined,C2B,False,False,not_joined_in_this_processing_package,True,52d64840f187b10d9dac1204521f8b8d0fb01d68d71f45035db0f853511a73c8,analysis_results\c2a_rp_block2_diagnostics_20260814_v1\reference_registry_crosswalk.csv,10
diagnostic_pre_stage3,jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,False,f8c20f06811c7321e708,crosswalk_not_joined,C2A_RP,False,False,not_joined_in_this_processing_package,True,52d64840f187b10d9dac1204521f8b8d0fb01d68d71f45035db0f853511a73c8,analysis_results\c2a_rp_block2_diagnostics_20260814_v1\reference_registry_crosswalk.csv,28
diagnostic_pre_stage3,pa4otMbVnkk_eac7bdc24b24474ba38b8b0b5acd62f6,False,7b7850ca77d4e6921006,crosswalk_not_joined,C2A_RP,False,False,not_joined_in_this_processing_package,True,52d64840f187b10d9dac1204521f8b8d0fb01d68d71f45035db0f853511a73c8,analysis_results\c2a_rp_block2_diagnostics_20260814_v1\reference_registry_crosswalk.csv,30
diagnostic_pre_stage3,zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,False,970482034011870740d6,crosswalk_not_joined,C2A_RP,False,False,not_joined_in_this_processing_package,True,52d64840f187b10d9dac1204521f8b8d0fb01d68d71f45035db0f853511a73c8,analysis_results\c2a_rp_block2_diagnostics_20260814_v1\reference_registry_crosswalk.csv,35
diagnostic_pre_stage3,zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,False,682625e3d592552bf5a1,crosswalk_not_joined,C2A_RP,False,False,not_joined_in_this_processing_package,True,52d64840f187b10d9dac1204521f8b8d0fb01d68d71f45035db0f853511a73c8,analysis_results\c2a_rp_block2_diagnostics_20260814_v1\reference_registry_crosswalk.csv,2
diagnostic_pre_stage3,pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,False,acf40c242b1e8bb29e98,crosswalk_not_joined,C2A_RP,False,False,not_joined_in_this_processing_package,True,52d64840f187b10d9dac1204521f8b8d0fb01d68d71f45035db0f853511a73c8,analysis_results\c2a_rp_block2_diagnostics_20260814_v1\reference_registry_crosswalk.csv,29
diagnostic_pre_stage3,zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,False,95625df034393995804f,C2B_157_to_155_researcher_confirmed_bad_gt,,False,False,researcher_confirmed_bad_gt,True,0b56a4821896ac2248e93091518dc056b3fe6fe1fe222c80e1dc53a800d26e37,analysis_results\c2a_rp_block2_diagnostics_20260814_v1\source_evidence_snapshot.csv,1
diagnostic_pre_stage3,zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,False,52cf50ccdad93af27c5d,C2B_157_to_155_researcher_confirmed_bad_gt,,False,False,researcher_confirmed_bad_gt,True,0b56a4821896ac2248e93091518dc056b3fe6fe1fe222c80e1dc53a800d26e37,analysis_results\c2a_rp_block2_diagnostics_20260814_v1\source_evidence_snapshot.csv,10
