analysis_role,block3_generated,evidence_path,evidence_sha256,formal_policy_frozen,formal_profile_frozen,item,reason,scientific_conclusion_prohibited,status
diagnostic_pre_stage3,False,analysis_results\c1_a_batch_freeze_20260802_v17\c1_a_batch_inputs\c1_three_track_worker_state_formal.csv,975e62cb7d0020887cff9c7912e4c9864215eccf463cfa12c28db9a9d1df2a18,False,False,C1 current-contract recursive binding,v17 snapshot predates current recursive binding,True,conflict
diagnostic_pre_stage3,False,analysis_results\c2a_rp_block2_reestimate_20260814_v1\c2a_rp_block2_reestimate_summary.json,ce43382f3037bbd0a7d2cf72c81eae4239c2a164bf6c98991ee833b0cd8bff73,False,False,C2-A-RP terminal closeout,latest Block2 collection_closed=true; model_status=multiple_variance_components_unidentifiable; formal terminal state not materialized,True,not_ready
diagnostic_pre_stage3,False,analysis_results\c2a_rp_block2_reestimate_20260814_v1\c2a_rp_block2_reestimate_summary.json,ce43382f3037bbd0a7d2cf72c81eae4239c2a164bf6c98991ee833b0cd8bff73,False,False,final pooled profile,latest Block2 is closed but FINAL_POOLED_PROFILE_FROZEN is not materialized,True,source_absent
diagnostic_pre_stage3,False,analysis_results\c2b_closeout_20260806_final\post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,False,False,Strong Global,snapshot is not STRONG_GLOBAL_FROZEN,True,not_ready
diagnostic_pre_stage3,False,analysis_results\full_materialization_pre_v1_audit_20260810_v1\worker_p1_family_component_eligibility.csv,0d4cb0e4c267952c50a5c7239e6a767574d33e2a94e78cb63ca98791a84178b8,False,False,undercoverage Full component,required chain missing,True,not_ready
diagnostic_pre_stage3,False,analysis_results\full_materialization_pre_v1_audit_20260810_v1\worker_p1_family_component_eligibility.csv,0d4cb0e4c267952c50a5c7239e6a767574d33e2a94e78cb63ca98791a84178b8,False,False,adjacent_space_overextension Full component,required chain missing,True,not_ready
diagnostic_pre_stage3,False,analysis_results\full_materialization_pre_v1_audit_20260810_v1\worker_p1_family_component_eligibility.csv,0d4cb0e4c267952c50a5c7239e6a767574d33e2a94e78cb63ca98791a84178b8,False,False,corner_topology_instability Full component,required chain missing,True,not_ready
diagnostic_pre_stage3,False,analysis_results\c2a_rp_block2_reestimate_20260814_v1\c2a_rp_block2_reestimate_summary.json,ce43382f3037bbd0a7d2cf72c81eae4239c2a164bf6c98991ee833b0cd8bff73,False,False,risk component,latest Block2 model_status=multiple_variance_components_unidentifiable; worker CI/precision gate and B_u_risk_shrunk not materialized,True,not_ready
diagnostic_pre_stage3,False,docs\thesis_main\FULL_MATERIALIZATION_PROCEDURE_v1.json,9fab69f9a36a7866295ef63836b1a70a7061c6deedbb772f23a292368639d9e3,False,False,V1 task activation/support,requires terminal calibration artifacts,True,source_absent
diagnostic_pre_stage3,False,docs\thesis_main\PAPER_A_METHOD_CONTRACT_CURRENT.json,f3c1ea58d0857a40aa2240b4680b674c76fe2cec8f048f61a643d9e4b74b0588,False,False,delivery-adjusted quality definition,normative definition present,True,ready
diagnostic_pre_stage3,False,docs\thesis_main\PAPER_A_METHOD_CONTRACT_CURRENT.json,f3c1ea58d0857a40aa2240b4680b674c76fe2cec8f048f61a643d9e4b74b0588,False,False,structural/severe failure outcome definition,normative definition present,True,ready
