anchor_task_id,base_task_id,source_pool,dataset_group,planned_stage,has_expert_ref,init_type,registry_uids,registry_row_count,joinable_for_prescreen_anchor_counting,range_collected_status,expert_annotation_status,status_field_source,notes
stage1_prescreen_manual_anchor:8,7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,prescreen_manual;prescreen_manual_anchor,PreScreen_manual,prescreen_manual,True,,stage1_prescreen_manual:8;stage1_prescreen_manual_anchor:8,2,True,collected,in_progress,current_status_annotation,Current joinable PreScreen expert anchor row.
stage1_prescreen_manual_anchor:3,B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5,prescreen_manual;prescreen_manual_anchor,PreScreen_manual,prescreen_manual,True,,stage1_prescreen_manual:3;stage1_prescreen_manual_anchor:3,2,True,collected,in_progress,current_status_annotation,Current joinable PreScreen expert anchor row.
stage1_prescreen_manual_anchor:7,B6ByNegPMKs_59cbdf96b19c4cc4a576e6658c5f67d6,prescreen_manual;prescreen_manual_anchor,PreScreen_manual,prescreen_manual,True,,stage1_prescreen_manual:7;stage1_prescreen_manual_anchor:7,2,True,collected,in_progress,current_status_annotation,Current joinable PreScreen expert anchor row.
stage1_prescreen_manual_anchor:1,B6ByNegPMKs_9c62e22ac161400e969f5962b748c3e8,prescreen_manual;prescreen_manual_anchor,PreScreen_manual,prescreen_manual,True,,stage1_prescreen_manual:1;stage1_prescreen_manual_anchor:1,2,True,collected,in_progress,current_status_annotation,Current joinable PreScreen expert anchor row.
stage1_prescreen_manual_anchor:2,B6ByNegPMKs_d7ade8d217fe4d068fc3629dd2510898,prescreen_manual;prescreen_manual_anchor,PreScreen_manual,prescreen_manual,True,,stage1_prescreen_manual:2;stage1_prescreen_manual_anchor:2,2,True,collected,in_progress,current_status_annotation,Current joinable PreScreen expert anchor row.
stage1_prescreen_manual_anchor:6,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,prescreen_manual;prescreen_manual_anchor,PreScreen_manual,prescreen_manual,True,,stage1_prescreen_manual:6;stage1_prescreen_manual_anchor:6,2,True,collected,in_progress,current_status_annotation,Current joinable PreScreen expert anchor row.
stage1_prescreen_manual_anchor:11,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,prescreen_manual;prescreen_manual_anchor,PreScreen_manual,prescreen_manual,True,,stage1_prescreen_manual:11;stage1_prescreen_manual_anchor:11,2,True,collected,in_progress,current_status_annotation,Current joinable PreScreen expert anchor row.
stage1_prescreen_manual_anchor:9,rPc6DW4iMge_1b4824ffdfc44d08aa648e90241289e4,prescreen_manual;prescreen_manual_anchor,PreScreen_manual,prescreen_manual,True,,stage1_prescreen_manual:9;stage1_prescreen_manual_anchor:9,2,True,collected,in_progress,current_status_annotation,Current joinable PreScreen expert anchor row.
stage1_prescreen_manual_anchor:12,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,prescreen_manual;prescreen_manual_anchor,PreScreen_manual,prescreen_manual,True,,stage1_prescreen_manual:12;stage1_prescreen_manual_anchor:12,2,True,collected,in_progress,current_status_annotation,Current joinable PreScreen expert anchor row.
stage1_prescreen_manual_anchor:5,wc2JMjhGNzB_36f4749077674307bce31998171e96ef,prescreen_manual;prescreen_manual_anchor,PreScreen_manual,prescreen_manual,True,,stage1_prescreen_manual:5;stage1_prescreen_manual_anchor:5,2,True,collected,in_progress,current_status_annotation,Current joinable PreScreen expert anchor row.
stage1_prescreen_manual_anchor:10,yqstnuAEVhm_559e923d612748dd8dce2557c3b4b675,prescreen_manual;prescreen_manual_anchor,PreScreen_manual,prescreen_manual,True,,stage1_prescreen_manual:10;stage1_prescreen_manual_anchor:10,2,True,collected,in_progress,current_status_annotation,Current joinable PreScreen expert anchor row.
stage1_prescreen_manual_anchor:4,yqstnuAEVhm_6f4d197078d14d6e944ed6533598a6f9,prescreen_manual;prescreen_manual_anchor,PreScreen_manual,prescreen_manual,True,,stage1_prescreen_manual:4;stage1_prescreen_manual_anchor:4,2,True,collected,in_progress,current_status_annotation,Current joinable PreScreen expert anchor row.
,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,trap_collection,PreScreen_manual,prescreen_manual,True,,,0,False,collected,in_progress,current_status_annotation,Collected manual-bank supplement candidate; not yet joinable in the current PreScreen anchor registry.
,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,trap_collection,PreScreen_manual,prescreen_manual,True,,,0,False,collected,in_progress,current_status_annotation,Collected manual-bank supplement candidate; not yet joinable in the current PreScreen anchor registry.
,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,trap_collection,PreScreen_manual,prescreen_manual,True,,,0,False,collected,in_progress,current_status_annotation,Collected manual-bank supplement candidate; not yet joinable in the current PreScreen anchor registry.
,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,trap_collection,PreScreen_manual,prescreen_manual,True,,,0,False,collected,in_progress,current_status_annotation,Collected manual-bank supplement candidate; not yet joinable in the current PreScreen anchor registry.
