stage,base_task_id,condition,producer,parameters_sha256,input_artifact,input_sha256,frozen_reference_artifact,frozen_reference_sha256,consistency_test_status,mismatch_fields,recomputed_medoid_geometry_sha256,frozen_medoid_geometry_sha256,reconstruction_rule,formula_source,historical_binding_status
C1,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,historical_c1_producer_source_absent,50dcfaaeb9a60ca50a96b6d2fc5e7a67ab102aa2de5525721cb8218e7eddd3cf,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/geometry_task_crowd_structure_C1.csv,5aa04db57efd9606a27d94d7718a62df52302854d5bc5de7d89d5edca0c2f090,version-bound reconstruction_not_evaluable/source_absent,none,0d608476bd0fd144a97e6216bcfc5cea2838d46354afabb88a5400277a71e767,0d608476bd0fd144a97e6216bcfc5cea2838d46354afabb88a5400277a71e767,complete_link_partition_and_contractual_medoid,tools/thesis_main/analysis/geometry_cluster_v2.py,version-bound reconstruction_not_evaluable/source_absent
C1,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,historical_c1_producer_source_absent,50dcfaaeb9a60ca50a96b6d2fc5e7a67ab102aa2de5525721cb8218e7eddd3cf,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,not_applicable,not_applicable,version-bound reconstruction_not_evaluable/source_absent,none,not_identifiable,not_applicable,complete_link_partition_and_contractual_medoid,tools/thesis_main/analysis/geometry_cluster_v2.py,version-bound reconstruction_not_evaluable/source_absent
C1,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,historical_c1_producer_source_absent,50dcfaaeb9a60ca50a96b6d2fc5e7a67ab102aa2de5525721cb8218e7eddd3cf,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/geometry_task_crowd_structure_C1.csv,5aa04db57efd9606a27d94d7718a62df52302854d5bc5de7d89d5edca0c2f090,version-bound reconstruction_not_evaluable/source_absent,none,a19921411a9087676166a98f39a6f8f0cabd74e1565af0e296081b6d3b024edc,a19921411a9087676166a98f39a6f8f0cabd74e1565af0e296081b6d3b024edc,complete_link_partition_and_contractual_medoid,tools/thesis_main/analysis/geometry_cluster_v2.py,version-bound reconstruction_not_evaluable/source_absent
C1,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,historical_c1_producer_source_absent,50dcfaaeb9a60ca50a96b6d2fc5e7a67ab102aa2de5525721cb8218e7eddd3cf,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/geometry_task_crowd_structure_C1.csv,5aa04db57efd9606a27d94d7718a62df52302854d5bc5de7d89d5edca0c2f090,version-bound reconstruction_not_evaluable/source_absent,none,98198db9182417588f46a686f8c1747d1789f7ba4918f3cc516195bd30e3db88,98198db9182417588f46a686f8c1747d1789f7ba4918f3cc516195bd30e3db88,complete_link_partition_and_contractual_medoid,tools/thesis_main/analysis/geometry_cluster_v2.py,version-bound reconstruction_not_evaluable/source_absent
C1,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,historical_c1_producer_source_absent,50dcfaaeb9a60ca50a96b6d2fc5e7a67ab102aa2de5525721cb8218e7eddd3cf,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/geometry_task_crowd_structure_C1.csv,5aa04db57efd9606a27d94d7718a62df52302854d5bc5de7d89d5edca0c2f090,version-bound reconstruction_not_evaluable/source_absent,none,62ee6455e71112908e3d880721c6d481f9fa88000124de0519511341328ef821,62ee6455e71112908e3d880721c6d481f9fa88000124de0519511341328ef821,complete_link_partition_and_contractual_medoid,tools/thesis_main/analysis/geometry_cluster_v2.py,version-bound reconstruction_not_evaluable/source_absent
C1,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,historical_c1_producer_source_absent,50dcfaaeb9a60ca50a96b6d2fc5e7a67ab102aa2de5525721cb8218e7eddd3cf,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/geometry_task_crowd_structure_C1.csv,5aa04db57efd9606a27d94d7718a62df52302854d5bc5de7d89d5edca0c2f090,version-bound reconstruction_not_evaluable/source_absent,none,533369d10ad70c9048ac58f755ba2e0b2627bc3269a7849f608a2fe4327e5689,533369d10ad70c9048ac58f755ba2e0b2627bc3269a7849f608a2fe4327e5689,complete_link_partition_and_contractual_medoid,tools/thesis_main/analysis/geometry_cluster_v2.py,version-bound reconstruction_not_evaluable/source_absent
C1,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,historical_c1_producer_source_absent,50dcfaaeb9a60ca50a96b6d2fc5e7a67ab102aa2de5525721cb8218e7eddd3cf,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/geometry_task_crowd_structure_C1.csv,5aa04db57efd9606a27d94d7718a62df52302854d5bc5de7d89d5edca0c2f090,version-bound reconstruction_not_evaluable/source_absent,none,9d9c3b0a9405e1649069b567bc78d6bd3a3766d33e77e0dc1d2c2164ce5d1e9a,9d9c3b0a9405e1649069b567bc78d6bd3a3766d33e77e0dc1d2c2164ce5d1e9a,complete_link_partition_and_contractual_medoid,tools/thesis_main/analysis/geometry_cluster_v2.py,version-bound reconstruction_not_evaluable/source_absent
C1,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,historical_c1_producer_source_absent,50dcfaaeb9a60ca50a96b6d2fc5e7a67ab102aa2de5525721cb8218e7eddd3cf,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,not_applicable,not_applicable,version-bound reconstruction_not_evaluable/source_absent,none,not_identifiable,not_applicable,complete_link_partition_and_contractual_medoid,tools/thesis_main/analysis/geometry_cluster_v2.py,version-bound reconstruction_not_evaluable/source_absent
C1,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,historical_c1_producer_source_absent,50dcfaaeb9a60ca50a96b6d2fc5e7a67ab102aa2de5525721cb8218e7eddd3cf,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/geometry_task_crowd_structure_C1.csv,5aa04db57efd9606a27d94d7718a62df52302854d5bc5de7d89d5edca0c2f090,version-bound reconstruction_not_evaluable/source_absent,none,d4051caaf0d6f56fcb95282cdc04fa0990320c82e2a9be4c8b2b9e3a7f0df22b,d4051caaf0d6f56fcb95282cdc04fa0990320c82e2a9be4c8b2b9e3a7f0df22b,complete_link_partition_and_contractual_medoid,tools/thesis_main/analysis/geometry_cluster_v2.py,version-bound reconstruction_not_evaluable/source_absent
C1,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,historical_c1_producer_source_absent,50dcfaaeb9a60ca50a96b6d2fc5e7a67ab102aa2de5525721cb8218e7eddd3cf,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/geometry_task_crowd_structure_C1.csv,5aa04db57efd9606a27d94d7718a62df52302854d5bc5de7d89d5edca0c2f090,version-bound reconstruction_not_evaluable/source_absent,none,64b74d3e3bf32bba756b270e1452683aea4fe1c0618652257855a5407fe36985,64b74d3e3bf32bba756b270e1452683aea4fe1c0618652257855a5407fe36985,complete_link_partition_and_contractual_medoid,tools/thesis_main/analysis/geometry_cluster_v2.py,version-bound reconstruction_not_evaluable/source_absent
