round_id,worker_id,task_id,base_task_id,dataset_group,assignment_batch,assignment_reason,is_common_anchor,expected_completion_order,manifest_version,watch_flag,used_for_r_u,used_for_rq2,semi_family
C1,29,487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,True,false,true,模型标注质量好
C1,13,487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,True,false,true,模型标注质量好
C1,2,487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,False,false,true,模型标注质量好
C1,32,487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,True,false,true,模型标注质量好
C1,27,708,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,False,false,true,模型标注质量好
C1,30,708,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,False,false,true,模型标注质量好
C1,1,708,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,False,false,true,模型标注质量好
C1,28,708,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,True,false,true,模型标注质量好
C1,17,679,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,False,false,true,模型标注质量好
C1,18,679,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,False,false,true,模型标注质量好
C1,14,679,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,True,false,true,模型标注质量好
C1,6,679,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,True,false,true,模型标注质量好
C1,36,597,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,True,false,true,模型标注质量好
C1,31,597,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,True,false,true,模型标注质量好
C1,11,597,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,False,false,true,模型标注质量好
C1,33,597,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,True,false,true,模型标注质量好
C1,15,500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,False,false,true,跨门扩张
C1,35,500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,True,false,true,跨门扩张
C1,8,500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,True,false,true,跨门扩张
C1,10,500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,False,false,true,跨门扩张
C1,34,499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,True,false,true,跨门扩张
C1,12,499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v3_1_draft,True,false,true,跨门扩张
