task_id,base_task_id,image_id,image_stem,source_path,image_path,source_pool,source_files,used_in_prescreen,used_in_random_c1_deprecated,has_final_gold,geometry_gold_ready,scope_gold_ready,gt_keypoint_count,gt_pair_count,corner_count_bin,old_manual_scope_raw,old_manual_difficulty_raw,old_semi_model_issue_raw,legacy_label_status,expert_review_status,latest_human_reviewed,scope_difficulty_reviewed,legacy_proxy,unreviewed,expert_scope_confirmed,expert_proxy_family_primary,expert_proxy_family_secondary,model_issue_only,semi_only,scope_gate_only,requires_gt_fix,requires_gt_review,hard_exclude,exclude_reason,eligible_for_manual_calibration,eligible_for_core_proxy_sampling,eligible_for_anchor_candidate,eligible_for_reserve_candidate,eligible_for_semi_candidate,core_candidate_type,proxy_confidence,notes,used_in_existing_manual_or_old_label,legacy_labeled_proxy,unreviewed_pool,source_status,eligible_after_exclusion,full_pool_order,full_pool_source,calibration_split,selection_rank,selection_reason,used_for_r_u
460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,data\mp3d_layout\img_v\X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;亲自复核整理;旧标注补充清单;校准semi模型问题整理,false,true,false,true,true,8,4,pairs_le_4,oos_geometry,residual,overextend_adjacent,legacy_proxy,latest_human_reviewed,true,false,true,false,inscope,简单，过度解析-跨门扩张,跨门扩张,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,confirmed,必入 manual；后续可优先抽入 semi,true,true,false,latest_human_reviewed,true,119,data/mp3d_layout/img_v,core,1,v3_full_pool_proxy_balanced;non_anchor_core_semi_counterpart,false_non_reliability_core
473,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,data\mp3d_layout\img_v\q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;亲自复核整理;旧标注补充清单;校准semi模型问题整理,false,true,false,true,true,16,8,pairs_7_8,oos_geometry,occlusion;residual,corner_drift;topology_failure;over_parsing;fail,legacy_proxy,latest_human_reviewed,true,false,true,false,inscope,遮挡明显，跨门扩张,模型预标注失败/拓扑失败,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,confirmed,已进入 manual 候选；后续可优先抽入 semi,true,true,false,latest_human_reviewed,true,201,data/mp3d_layout/img_v,core,2,v3_full_pool_proxy_balanced;non_anchor_core_semi_counterpart,false_non_reliability_core
q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,data\mp3d_layout\img_v\q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry,false,false,false,true,true,12,6,pairs_5_6,,,,none,unreviewed_pool,false,false,false,true,,,,false,false,false,false,false,false,,true,true,false,true,false,core_reliability_candidate,weak_proxy,,false,false,true,unreviewed_pool,true,228,data/mp3d_layout/img_v,core,3,v3_full_pool_proxy_balanced,true
uNb9QFRL6hY_fcba704f80a04361842c0fdcb776becc,uNb9QFRL6hY_fcba704f80a04361842c0fdcb776becc,uNb9QFRL6hY_fcba704f80a04361842c0fdcb776becc,uNb9QFRL6hY_fcba704f80a04361842c0fdcb776becc,data\mp3d_layout\img_v\uNb9QFRL6hY_fcba704f80a04361842c0fdcb776becc.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_fcba704f80a04361842c0fdcb776becc.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry,false,false,false,true,true,16,8,pairs_7_8,,,,none,unreviewed_pool,false,false,false,true,,,,false,false,false,false,false,false,,true,true,false,true,false,core_reliability_candidate,weak_proxy,,false,false,true,unreviewed_pool,true,340,data/mp3d_layout/img_v,core,4,v3_full_pool_proxy_balanced,true
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,data\mp3d_layout\img_v\e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry,false,true,false,true,true,20,10,pairs_ge_9,,,,none,unreviewed_pool,false,false,false,true,,,,false,false,false,false,false,false,,true,true,false,true,false,core_reliability_candidate,weak_proxy,,false,false,true,unreviewed_pool,true,164,data/mp3d_layout/img_v,core,5,v3_full_pool_proxy_balanced,true
e9zR4mvMWw7_5f9b1db7cc1748c2a71d9924bd1f4fa3,e9zR4mvMWw7_5f9b1db7cc1748c2a71d9924bd1f4fa3,e9zR4mvMWw7_5f9b1db7cc1748c2a71d9924bd1f4fa3,e9zR4mvMWw7_5f9b1db7cc1748c2a71d9924bd1f4fa3,data\mp3d_layout\img_v\e9zR4mvMWw7_5f9b1db7cc1748c2a71d9924bd1f4fa3.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_5f9b1db7cc1748c2a71d9924bd1f4fa3.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry,false,true,false,true,true,8,4,pairs_le_4,,,,none,unreviewed_pool,false,false,false,true,,,,false,false,false,false,false,false,,true,true,false,true,false,core_reliability_candidate,weak_proxy,,false,false,true,unreviewed_pool,true,178,data/mp3d_layout/img_v,core,6,v3_full_pool_proxy_balanced,true
e9zR4mvMWw7_5d711de78dbd400aa4cfd51fc05dfbee,e9zR4mvMWw7_5d711de78dbd400aa4cfd51fc05dfbee,e9zR4mvMWw7_5d711de78dbd400aa4cfd51fc05dfbee,e9zR4mvMWw7_5d711de78dbd400aa4cfd51fc05dfbee,data\mp3d_layout\img_v\e9zR4mvMWw7_5d711de78dbd400aa4cfd51fc05dfbee.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_5d711de78dbd400aa4cfd51fc05dfbee.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry,false,false,false,true,true,12,6,pairs_5_6,,,,none,unreviewed_pool,false,false,false,true,,,,false,false,false,false,false,false,,true,true,false,true,false,core_reliability_candidate,weak_proxy,,false,false,true,unreviewed_pool,true,177,data/mp3d_layout/img_v,core,7,v3_full_pool_proxy_balanced,true
q9vSo1VnCiC_a823913d661144d4ad3d609e1e085fb1,q9vSo1VnCiC_a823913d661144d4ad3d609e1e085fb1,q9vSo1VnCiC_a823913d661144d4ad3d609e1e085fb1,q9vSo1VnCiC_a823913d661144d4ad3d609e1e085fb1,data\mp3d_layout\img_v\q9vSo1VnCiC_a823913d661144d4ad3d609e1e085fb1.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_a823913d661144d4ad3d609e1e085fb1.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry,false,false,false,true,true,16,8,pairs_7_8,,,,none,unreviewed_pool,false,false,false,true,,,,false,false,false,false,false,false,,true,true,false,true,false,core_reliability_candidate,weak_proxy,,false,false,true,unreviewed_pool,true,216,data/mp3d_layout/img_v,core,8,v3_full_pool_proxy_balanced,true
uNb9QFRL6hY_d11f14ddecbe406681d4980365ea5a43,uNb9QFRL6hY_d11f14ddecbe406681d4980365ea5a43,uNb9QFRL6hY_d11f14ddecbe406681d4980365ea5a43,uNb9QFRL6hY_d11f14ddecbe406681d4980365ea5a43,data\mp3d_layout\img_v\uNb9QFRL6hY_d11f14ddecbe406681d4980365ea5a43.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_d11f14ddecbe406681d4980365ea5a43.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry,false,false,false,true,true,20,10,pairs_ge_9,,,,none,unreviewed_pool,false,false,false,true,,,,false,false,false,false,false,false,,true,true,false,true,false,core_reliability_candidate,weak_proxy,,false,false,true,unreviewed_pool,true,326,data/mp3d_layout/img_v,core,9,v3_full_pool_proxy_balanced,true
yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526,yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526,yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526,yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526,data\mp3d_layout\img_v\yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry,false,false,false,true,true,8,4,pairs_le_4,,,,none,unreviewed_pool,false,false,false,true,,,,false,false,false,false,false,false,,true,true,false,true,false,core_reliability_candidate,weak_proxy,,false,false,true,unreviewed_pool,true,432,data/mp3d_layout/img_v,core,10,v3_full_pool_proxy_balanced,true
