task_id,base_task_id,image_id,image_stem,source_path,image_path,source_pool,source_files,used_in_prescreen,used_in_random_c1_deprecated,has_final_gold,geometry_gold_ready,scope_gold_ready,gt_keypoint_count,gt_pair_count,corner_count_bin,old_manual_scope_raw,old_manual_difficulty_raw,old_semi_model_issue_raw,legacy_label_status,expert_review_status,latest_human_reviewed,scope_difficulty_reviewed,legacy_proxy,unreviewed,expert_scope_confirmed,expert_proxy_family_primary,expert_proxy_family_secondary,model_issue_only,semi_only,scope_gate_only,requires_gt_fix,requires_gt_review,hard_exclude,exclude_reason,eligible_for_manual_calibration,eligible_for_core_proxy_sampling,eligible_for_anchor_candidate,eligible_for_reserve_candidate,eligible_for_semi_candidate,core_candidate_type,proxy_confidence,notes,used_in_existing_manual_or_old_label,legacy_labeled_proxy,unreviewed_pool,source_status,eligible_after_exclusion,full_pool_order,full_pool_source,calibration_split,selection_rank,selection_reason,used_for_r_u
460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,data\mp3d_layout\img_v\X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;亲自复核整理;旧标注补充清单;校准semi模型问题整理,false,true,false,true,true,8,4,pairs_le_4,oos_geometry,residual,overextend_adjacent,legacy_proxy,latest_human_reviewed,true,false,true,false,inscope,简单，过度解析-跨门扩张,跨门扩张,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,confirmed,必入 manual；后续可优先抽入 semi,true,true,false,latest_human_reviewed,true,119,data/mp3d_layout/img_v,core,1,v3_1_full_pool_source_quota;non_anchor_core_semi_counterpart,false_non_reliability_core
473,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,data\mp3d_layout\img_v\q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;亲自复核整理;旧标注补充清单;校准semi模型问题整理,false,true,false,true,true,16,8,pairs_7_8,oos_geometry,occlusion;residual,corner_drift;topology_failure;over_parsing;fail,legacy_proxy,latest_human_reviewed,true,false,true,false,inscope,遮挡明显，跨门扩张,模型预标注失败/拓扑失败,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,confirmed,已进入 manual 候选；后续可优先抽入 semi,true,true,false,latest_human_reviewed,true,201,data/mp3d_layout/img_v,core,2,v3_1_full_pool_source_quota;non_anchor_core_semi_counterpart,false_non_reliability_core
487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,data\mp3d_layout\img_v\uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;旧标注补充清单;校准semi模型问题整理,false,false,false,true,true,12,6,pairs_5_6,normal,trivial;occlusion,acceptable,legacy_proxy,legacy_labeled_proxy,false,false,true,true,,模型标注质量好,模型标注质量好,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,299,data/mp3d_layout/img_v,core,3,v3_1_full_pool_source_quota,true
700,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,data\mp3d_layout\img_v\wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;旧标注补充清单;校准semi模型问题整理,false,false,false,true,true,12,6,pairs_5_6,normal,low_texture,corner_duplicate,legacy_proxy,legacy_labeled_proxy,false,false,true,true,,角点重复,角点重复,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,389,data/mp3d_layout/img_v,core,4,v3_1_full_pool_source_quota,true
701,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,data\mp3d_layout\img_v\uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;旧标注补充清单;校准semi模型问题整理,false,true,false,true,true,12,6,pairs_5_6,normal,occlusion;seam,corner_drift,legacy_proxy,legacy_labeled_proxy,false,false,true,true,,角点错位/飘移,角点错位/飘移,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,323,data/mp3d_layout/img_v,core,5,v3_1_full_pool_source_quota,true
542,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,data\mp3d_layout\img_v\wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;旧标注补充清单;校准semi模型问题整理,false,false,false,true,true,12,6,pairs_5_6,normal,occlusion;reflection,overextend_adjacent;over_parsing,legacy_proxy,legacy_labeled_proxy,false,false,true,true,,跨门扩张,跨门扩张,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,369,data/mp3d_layout/img_v,core,6,v3_1_full_pool_source_quota,true
535,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,data\mp3d_layout\img_v\b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;旧标注补充清单;校准semi模型问题整理,false,false,false,true,true,12,6,pairs_5_6,normal,occlusion;reflection,over_parsing,legacy_proxy,legacy_labeled_proxy,false,false,true,true,,过度解析,过度解析,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,153,data/mp3d_layout/img_v,core,7,v3_1_full_pool_source_quota,true
695,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,data\mp3d_layout\img_v\7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;亲自复核整理;旧标注补充清单;校准semi模型问题整理,false,false,false,true,true,12,6,pairs_5_6,oos_split_level,low_texture,acceptable,legacy_proxy,latest_human_reviewed,true,false,true,false,oos 错层多平面,错层多平面,模型标注质量好,false,false,true,false,false,false,,true,true,false,true,true,core_scope_gate_audit_candidate,confirmed,可作 OOS 错层/多平面候选,true,true,false,latest_human_reviewed,true,17,data/mp3d_layout/img_v,core,8,v3_1_full_pool_source_quota,false_non_reliability_core
597,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,data\mp3d_layout\img_v\yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;旧标注补充清单;校准semi模型问题整理,false,false,false,true,true,16,8,pairs_7_8,normal,trivial,acceptable,legacy_proxy,legacy_labeled_proxy,false,false,true,true,,模型标注质量好,模型标注质量好,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,449,data/mp3d_layout/img_v,core,9,v3_1_full_pool_source_quota,true
710,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,data\mp3d_layout\img_v\e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;旧标注补充清单;校准semi模型问题整理,false,false,false,true,true,16,8,pairs_7_8,normal,occlusion,corner_drift,legacy_proxy,legacy_labeled_proxy,false,false,true,true,,角点错位/飘移,角点错位/飘移,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,172,data/mp3d_layout/img_v,core,10,v3_1_full_pool_source_quota,true
