worker_id,public_worker_code,task_id,base_task_id,inner_id,task_url,dataset_group,assignment_batch,expected_completion_order,source_manifest,internal_only
1,W001,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,103,http://175.178.71.217:8000/projects/45/data?task=3284,Calibration_anchor,anchor_all,1,assignment_manifest_C1_manual_draft_v3_1.csv,true
1,W001,708,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,250,http://175.178.71.217:8000/projects/45/data?task=3431,Calibration_semi,semi_rr_k4,1,assignment_manifest_C1_semi_draft_v3_1.csv,true
1,W001,621,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,163,http://175.178.71.217:8000/projects/45/data?task=3344,Calibration_anchor,anchor_all,2,assignment_manifest_C1_manual_draft_v3_1.csv,true
1,W001,460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,2,http://175.178.71.217:8000/projects/45/data?task=3183,Calibration_semi,semi_rr_k4,2,assignment_manifest_C1_semi_draft_v3_1.csv,true
1,W001,683,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,225,http://175.178.71.217:8000/projects/45/data?task=3406,Calibration_anchor,anchor_all,3,assignment_manifest_C1_manual_draft_v3_1.csv,true
1,W001,504,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,46,http://175.178.71.217:8000/projects/45/data?task=3227,Calibration_semi,semi_rr_k4,3,assignment_manifest_C1_semi_draft_v3_1.csv,true
1,W001,474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,16,http://175.178.71.217:8000/projects/45/data?task=3197,Calibration_anchor,anchor_all,4,assignment_manifest_C1_manual_draft_v3_1.csv,true
1,W001,716,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,258,http://175.178.71.217:8000/projects/45/data?task=3439,Calibration_semi,semi_rr_k4,4,assignment_manifest_C1_semi_draft_v3_1.csv,true
1,W001,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,369,http://175.178.71.217:8000/projects/45/data?task=3550,Calibration_semi,semi_rr_k4,5,assignment_manifest_C1_semi_draft_v3_1.csv,true
1,W001,547,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,89,http://175.178.71.217:8000/projects/45/data?task=3270,Calibration_anchor,anchor_all,5,assignment_manifest_C1_manual_draft_v3_1.csv,true
