task_id,base_task_id,image_id,image_stem,source_path,image_path,source_pool,source_files,used_in_prescreen,used_in_random_c1_deprecated,has_final_gold,geometry_gold_ready,scope_gold_ready,gt_keypoint_count,gt_pair_count,corner_count_bin,old_manual_scope_raw,old_manual_difficulty_raw,old_semi_model_issue_raw,legacy_label_status,expert_review_status,expert_scope_confirmed,expert_proxy_family_primary,expert_proxy_family_secondary,model_issue_only,semi_only,hard_exclude,exclude_reason,eligible_for_manual_calibration,eligible_for_core_proxy_sampling,eligible_for_anchor_candidate,eligible_for_reserve_candidate,eligible_for_semi_candidate,proxy_confidence,notes,calibration_split,selection_rank,selection_reason,used_for_r_u
558,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,export_label/project-2-at-2026-03-25-10-52-c04c6496.json,http://106.53.106.49:8000/data/mp3d_layout/test/img/uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e.png,legacy_project2_full_annotation,old_label_json;亲自复核整理;范围难度人工分层候选;校准semi模型问题整理,false,true,false,true,true,8,4,pairs_le_4,normal,occlusion;reflection,acceptable,legacy_proxy,reviewed,inscope,遮挡明显-纯色墙,模型标注质量好,false,false,false,,true,true,true,true,true,confirmed,可作低难遮挡+纯色墙样本,anchor,1,draft_proxy_balanced,true
561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,export_label/project-2-at-2026-03-25-10-52-c04c6496.json,http://106.53.106.49:8000/data/mp3d_layout/test/img/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.png,legacy_project2_full_annotation,old_label_json;亲自复核整理;范围难度人工分层候选;校准semi模型问题整理,false,false,false,true,true,8,4,pairs_le_4,normal,occlusion;reflection,acceptable,legacy_proxy,reviewed,inscope,遮挡明显/玻璃干扰,模型标注质量好,false,false,false,,true,true,true,true,true,confirmed,可作低难玻璃/遮挡样本,anchor,2,draft_proxy_balanced,true
672,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,export_label/project-2-at-2026-03-25-10-52-c04c6496.json,http://106.53.106.49:8000/data/mp3d_layout/test/img/uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d.png,legacy_project2_full_annotation,old_label_json;亲自复核整理;范围难度人工分层候选;校准semi模型问题整理,false,false,false,true,true,12,6,pairs_5_6,normal,trivial,corner_duplicate,legacy_proxy,reviewed,oos 边界不可判断,拉伸明显,角点重复,false,false,false,,true,true,true,true,true,confirmed,可作 OOS 边界候选,anchor,3,draft_proxy_balanced,false_scope_gate_audit
705,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,export_label/project-2-at-2026-03-25-10-52-c04c6496.json,http://106.53.106.49:8000/data/mp3d_layout/test/img/X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302.png,legacy_project2_full_annotation,old_label_json;亲自复核整理;旧标注补充清单;校准semi模型问题整理,false,false,false,true,true,12,6,pairs_5_6,oos_open_boundary,occlusion,over_parsing,legacy_proxy,reviewed,oos 边界不可判定,拉伸明显/遮挡明显,过度解析,false,false,false,,true,true,true,true,true,confirmed,可作典型 OOS 边界候选,anchor,4,draft_proxy_balanced,false_scope_gate_audit
499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,export_label/project-2-at-2026-03-25-10-52-c04c6496.json,http://106.53.106.49:8000/data/mp3d_layout/test/img/q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.png,legacy_project2_full_annotation,old_label_json;范围难度人工分层候选;旧标注补充清单;校准semi模型问题整理,false,true,true,true,true,10,5,pairs_5_6,normal,occlusion;low_texture,overextend_adjacent;corner_duplicate;corner_drift,legacy_proxy,reviewed,,跨门扩张,跨门扩张,false,false,false,,true,true,true,true,true,legacy_proxy,,anchor,5,draft_proxy_balanced,true
716,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,export_label/project-2-at-2026-03-25-10-52-c04c6496.json,http://106.53.106.49:8000/data/mp3d_layout/test/img/B6ByNegPMKs_7018ca302c584d0d85024187f3568460.png,legacy_project2_full_annotation,old_label_json;亲自复核整理;范围难度人工分层候选;校准semi模型问题整理,false,false,false,true,true,12,6,pairs_5_6,normal,occlusion,over_parsing,legacy_proxy,reviewed,inscope,遮挡明显,过度解析,false,false,false,,true,true,true,true,true,confirmed,可作偏简单遮挡样本,anchor,6,draft_proxy_balanced,true
474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,export_label/project-2-at-2026-03-25-10-52-c04c6496.json,http://106.53.106.49:8000/data/mp3d_layout/test/img/uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97.png,legacy_project2_full_annotation,old_label_json;亲自复核整理;范围难度人工分层候选;旧标注补充清单;校准semi模型问题整理,false,true,true,true,true,12,6,pairs_5_6,normal;oos_insufficient,occlusion;residual;low_texture,corner_drift;corner_duplicate,legacy_proxy,reviewed,inscope,遮挡明显/玻璃干扰,角点错位/飘移,false,false,false,,true,true,true,true,true,confirmed,可作中等玻璃/遮挡样本,anchor,7,draft_proxy_balanced,true
695,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,export_label/project-2-at-2026-03-25-10-52-c04c6496.json,http://106.53.106.49:8000/data/mp3d_layout/test/img/7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.png,legacy_project2_full_annotation,old_label_json;亲自复核整理;旧标注补充清单;校准semi模型问题整理,false,false,false,true,true,12,6,pairs_5_6,oos_split_level,low_texture,acceptable,legacy_proxy,reviewed,oos 错层多平面,错层多平面,模型标注质量好,false,false,false,,true,true,true,true,true,confirmed,可作 OOS 错层/多平面候选,anchor,8,draft_proxy_balanced,false_scope_gate_audit
547,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,export_label/project-2-at-2026-03-25-10-52-c04c6496.json,http://106.53.106.49:8000/data/mp3d_layout/test/img/yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56.png,legacy_project2_full_annotation,old_label_json;亲自复核整理;旧标注补充清单;校准semi模型问题整理,false,false,false,true,true,16,8,pairs_7_8,oos_split_level,occlusion;reflection;residual,corner_duplicate;topology_failure;over_parsing;fail,legacy_proxy,reviewed,inscope,拉伸明显-玻璃干扰,模型预标注失败/拓扑失败,false,false,false,,true,true,true,true,true,confirmed,可作拉伸+scope 歧义候选,anchor,9,draft_proxy_balanced,false_scope_gate_audit
518,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,export_label/project-2-at-2026-03-25-10-52-c04c6496.json,http://106.53.106.49:8000/data/mp3d_layout/test/img/uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8.png,legacy_project2_full_annotation,old_label_json;亲自复核整理;旧标注补充清单;校准semi模型问题整理,false,true,false,true,true,16,8,pairs_7_8,oos_geometry,seam;reflection;residual,overextend_adjacent;corner_drift;corner_duplicate,legacy_proxy,reviewed,inscope,遮挡明显-玻璃干扰,跨门扩张,false,false,false,,true,true,true,true,true,confirmed,可作高难遮挡+玻璃样本,anchor,10,draft_proxy_balanced,false_scope_gate_audit
