task_id,base_task_id,worker_id,manual_semi_same_image_overlap
478,q9vSo1VnCiC_5deeec8cee844e6e9899bfff35b06f5d,27,false
478,q9vSo1VnCiC_5deeec8cee844e6e9899bfff35b06f5d,29,false
478,q9vSo1VnCiC_5deeec8cee844e6e9899bfff35b06f5d,13,false
478,q9vSo1VnCiC_5deeec8cee844e6e9899bfff35b06f5d,2,false
648,uNb9QFRL6hY_e24473d2b8a24568b89c1c4c2a4a9bf1,32,false
648,uNb9QFRL6hY_e24473d2b8a24568b89c1c4c2a4a9bf1,30,false
648,uNb9QFRL6hY_e24473d2b8a24568b89c1c4c2a4a9bf1,1,false
648,uNb9QFRL6hY_e24473d2b8a24568b89c1c4c2a4a9bf1,28,false
695,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,17,false
695,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,18,false
695,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,14,false
695,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,6,false
515,uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd,36,false
515,uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd,31,false
515,uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd,11,false
515,uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd,33,false
500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,34,false
500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,12,false
500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,8,false
500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,10,false
511,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,15,false
511,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,35,false
511,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,37,false
511,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,27,false
665,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,13,false
665,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,2,false
665,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,32,false
665,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,30,false
460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,1,false
460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,28,false
460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,17,false
460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,18,false
541,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,14,false
541,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,6,false
541,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,31,false
541,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,11,false
699,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,29,false
699,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,36,false
699,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,33,false
699,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,34,false
480,e9zR4mvMWw7_0977162f6d4e47f7b3764379ba68d8db,12,false
480,e9zR4mvMWw7_0977162f6d4e47f7b3764379ba68d8db,15,false
480,e9zR4mvMWw7_0977162f6d4e47f7b3764379ba68d8db,35,false
480,e9zR4mvMWw7_0977162f6d4e47f7b3764379ba68d8db,13,false
595,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,8,false
595,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,10,false
595,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,37,false
595,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,27,false
600,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,29,false
600,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,2,false
600,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,1,false
600,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,28,false
504,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,32,false
504,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,30,false
504,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,36,false
504,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,31,false
700,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,17,false
700,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,18,false
700,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,14,false
700,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,6,false
596,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,12,false
596,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,15,false
596,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,35,false
596,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,10,false
672,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,11,false
672,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,33,false
672,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,34,false
672,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,8,false
652,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,37,false
652,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,27,false
652,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,29,false
652,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,13,false
667,uNb9QFRL6hY_5fc8f0e230eb49eca81fdfb0398d824b,2,false
667,uNb9QFRL6hY_5fc8f0e230eb49eca81fdfb0398d824b,32,false
667,uNb9QFRL6hY_5fc8f0e230eb49eca81fdfb0398d824b,30,false
667,uNb9QFRL6hY_5fc8f0e230eb49eca81fdfb0398d824b,1,false
548,b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e,28,false
548,b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e,17,false
548,b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e,18,false
548,b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e,14,false
481,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,6,false
481,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,36,false
481,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,31,false
481,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,11,false
618,wc2JMjhGNzB_36f4749077674307bce31998171e96ef,33,false
618,wc2JMjhGNzB_36f4749077674307bce31998171e96ef,34,false
618,wc2JMjhGNzB_36f4749077674307bce31998171e96ef,12,false
618,wc2JMjhGNzB_36f4749077674307bce31998171e96ef,8,false
594,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,15,false
594,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,35,false
594,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,10,false
594,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,37,false
653,wc2JMjhGNzB_9d8a625f48194382a0bfb748b1126069,27,false
653,wc2JMjhGNzB_9d8a625f48194382a0bfb748b1126069,29,false
653,wc2JMjhGNzB_9d8a625f48194382a0bfb748b1126069,13,false
653,wc2JMjhGNzB_9d8a625f48194382a0bfb748b1126069,2,false
479,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,32,false
479,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,30,false
479,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,1,false
479,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,28,false
