task_id,base_task_id,inner_id,intended_project_group,has_image,has_title,has_task_id,has_base_task_id,intended_group_matches_source,appears_in_worker_distribution,mapping_status
561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,103,Calibration_anchor,true,true,true,true,true,true,ok
621,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,163,Calibration_anchor,true,true,true,true,true,true,ok
683,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,225,Calibration_anchor,true,true,true,true,true,true,ok
474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,16,Calibration_anchor,true,true,true,true,true,true,ok
547,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,89,Calibration_anchor,true,true,true,true,true,true,ok
518,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,60,Calibration_anchor,true,true,true,true,true,true,ok
626,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,168,Calibration_anchor,true,true,true,true,true,true,ok
482,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,24,Calibration_anchor,true,true,true,true,true,true,ok
580,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,122,Calibration_anchor,true,true,true,true,true,true,ok
563,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,105,Calibration_anchor,true,true,true,true,true,true,ok
557,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,99,Calibration_anchor,true,true,true,true,true,true,ok
558,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,Calibration_anchor,true,true,true,true,true,true,ok
460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,2,Calibration_core,true,true,true,true,true,true,ok
473,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,15,Calibration_core,true,true,true,true,true,true,ok
487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,29,Calibration_core,true,true,true,true,true,true,ok
700,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,242,Calibration_core,true,true,true,true,true,true,ok
701,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,243,Calibration_core,true,true,true,true,true,true,ok
542,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,84,Calibration_core,true,true,true,true,true,true,ok
535,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,77,Calibration_core,true,true,true,true,true,true,ok
695,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,237,Calibration_core,true,true,true,true,true,true,ok
597,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,139,Calibration_core,true,true,true,true,true,true,ok
710,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,252,Calibration_core,true,true,true,true,true,true,ok
499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,41,Calibration_core,true,true,true,true,true,true,ok
528,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,70,Calibration_core,true,true,true,true,true,true,ok
705,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,247,Calibration_core,true,true,true,true,true,true,ok
613,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,155,Calibration_core,true,true,true,true,true,true,ok
587,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,129,Calibration_core,true,true,true,true,true,true,ok
603,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,145,Calibration_core,true,true,true,true,true,true,ok
