round_id,worker_id,task_id,base_task_id,dataset_group,assignment_batch,assignment_reason,is_common_anchor,expected_completion_order,manifest_version,watch_flag,used_for_r_u,used_for_rq2,semi_family
C1,37,689,UwV83HsGsw3_cfe01e0f074a4a2cb892c6052bce550f,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v2_draft,True,false,true,模型标注质量好
C1,2,689,UwV83HsGsw3_cfe01e0f074a4a2cb892c6052bce550f,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v2_draft,False,false,true,模型标注质量好
C1,8,689,UwV83HsGsw3_cfe01e0f074a4a2cb892c6052bce550f,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v2_draft,True,false,true,模型标注质量好
C1,10,689,UwV83HsGsw3_cfe01e0f074a4a2cb892c6052bce550f,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v2_draft,False,false,true,模型标注质量好
C1,6,653,wc2JMjhGNzB_9d8a625f48194382a0bfb748b1126069,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v2_draft,True,false,true,模型标注质量好
C1,11,653,wc2JMjhGNzB_9d8a625f48194382a0bfb748b1126069,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v2_draft,False,false,true,模型标注质量好
C1,12,653,wc2JMjhGNzB_9d8a625f48194382a0bfb748b1126069,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v2_draft,True,false,true,模型标注质量好
C1,13,653,wc2JMjhGNzB_9d8a625f48194382a0bfb748b1126069,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v2_draft,True,false,true,模型标注质量好
C1,14,648,uNb9QFRL6hY_e24473d2b8a24568b89c1c4c2a4a9bf1,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v2_draft,True,false,true,模型标注质量好
C1,15,648,uNb9QFRL6hY_e24473d2b8a24568b89c1c4c2a4a9bf1,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v2_draft,False,false,true,模型标注质量好
C1,18,648,uNb9QFRL6hY_e24473d2b8a24568b89c1c4c2a4a9bf1,Calibration_semi,semi_rr_k4,rq2_paired_audit,false,1,C1_semi_v2_draft,False,false,true,模型标注质量好
