task_id,base_task_id,image_stem,planned_project_name,task_code,inner_id,task_url,intended_project_group,appears_in_assignment_manual,appears_in_assignment_semi,appears_in_worker_distribution,mapping_status
460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,C1_core_all,B-001,1,planned://C1_core_all/1,Calibration_core,true,true,true,planned_import_order
460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,C1_semi,C-008,8,planned://C1_semi/8,Calibration_semi,false,true,true,planned_import_order
465,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,C1_core_all,B-020,20,planned://C1_core_all/20,Calibration_core,true,false,true,planned_import_order
473,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,C1_core_all,B-002,2,planned://C1_core_all/2,Calibration_core,true,false,true,planned_import_order
474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1_anchor_all,A-004,4,planned://C1_anchor_all/4,Calibration_anchor,true,false,true,planned_import_order
475,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,C1_core_all,B-042,42,planned://C1_core_all/42,Calibration_core,true,false,true,planned_import_order
479,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,C1_core_all,B-021,21,planned://C1_core_all/21,Calibration_core,true,false,true,planned_import_order
481,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,C1_core_all,B-041,41,planned://C1_core_all/41,Calibration_core,true,true,true,planned_import_order
481,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,C1_semi,C-021,21,planned://C1_semi/21,Calibration_semi,false,true,true,planned_import_order
482,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,C1_anchor_all,A-008,8,planned://C1_anchor_all/8,Calibration_anchor,true,false,true,planned_import_order
487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,C1_core_all,B-003,3,planned://C1_core_all/3,Calibration_core,true,true,true,planned_import_order
487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,C1_semi,C-001,1,planned://C1_semi/1,Calibration_semi,false,true,true,planned_import_order
499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,C1_core_all,B-011,11,planned://C1_core_all/11,Calibration_core,true,true,true,planned_import_order
499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,C1_semi,C-006,6,planned://C1_semi/6,Calibration_semi,false,true,true,planned_import_order
500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,C1_core_all,B-024,24,planned://C1_core_all/24,Calibration_core,true,true,true,planned_import_order
500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,C1_semi,C-005,5,planned://C1_semi/5,Calibration_semi,false,true,true,planned_import_order
503,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,C1_core_all,B-028,28,planned://C1_core_all/28,Calibration_core,true,false,true,planned_import_order
504,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,C1_core_all,B-032,32,planned://C1_core_all/32,Calibration_core,true,true,true,planned_import_order
504,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,C1_semi,C-013,13,planned://C1_semi/13,Calibration_semi,false,true,true,planned_import_order
511,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,C1_core_all,B-033,33,planned://C1_core_all/33,Calibration_core,true,true,true,planned_import_order
511,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,C1_semi,C-009,9,planned://C1_semi/9,Calibration_semi,false,true,true,planned_import_order
