task_id,base_task_id,worker_id,manual_semi_same_image_overlap
487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,29,false
487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,13,false
487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,2,false
487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,32,false
708,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,27,false
708,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,30,false
708,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,1,false
708,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,28,false
679,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,17,false
679,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,18,false
679,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,14,false
679,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,6,false
597,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,36,false
597,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,31,false
597,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,11,false
597,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,33,false
500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,15,false
500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,35,false
500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,8,false
500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,10,false
499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,34,false
499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,12,false
499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,37,false
499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,27,false
541,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,29,false
541,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,13,false
541,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,32,false
541,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,30,false
460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,2,false
460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,1,false
460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,28,false
460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,17,false
511,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,6,false
511,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,36,false
511,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,11,false
511,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,33,false
701,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,18,false
701,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,14,false
701,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,31,false
701,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,12,false
603,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,15,false
603,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,35,false
603,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,8,false
603,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,10,false
678,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,34,false
678,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,37,false
678,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,27,false
