selection_rank,task_id,base_task_id,image_id,image_path,corner_count_bin,gt_pair_count,expert_proxy_family_primary,notes
1,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,http://106.53.106.49:8000/data/mp3d_layout/test/img/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.png,pairs_le_4,4,遮挡明显/玻璃干扰,可作低难玻璃/遮挡样本
2,621,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,http://106.53.106.49:8000/data/mp3d_layout/test/img/yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2.png,pairs_5_6,5,遮挡明显-玻璃干扰,可作中高难遮挡+玻璃样本
3,683,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,http://106.53.106.49:8000/data/mp3d_layout/test/img/wc2JMjhGNzB_dda6efcba51c40de8552408953719515.png,pairs_5_6,6,遮挡明显,可作中等遮挡样本
4,474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,http://106.53.106.49:8000/data/mp3d_layout/test/img/uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97.png,pairs_5_6,6,遮挡明显/玻璃干扰,可作中等玻璃/遮挡样本
5,547,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,http://106.53.106.49:8000/data/mp3d_layout/test/img/yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56.png,pairs_7_8,8,拉伸明显-玻璃干扰,可作拉伸+scope 歧义候选
6,518,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,http://106.53.106.49:8000/data/mp3d_layout/test/img/uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8.png,pairs_7_8,8,遮挡明显-玻璃干扰,可作高难遮挡+玻璃样本
7,626,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,http://106.53.106.49:8000/data/mp3d_layout/test/img/uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622.png,pairs_7_8,7,遮挡明显/遮罩干扰-玻璃干扰,可作高难遮挡/遮罩/玻璃样本
8,482,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,http://106.53.106.49:8000/data/mp3d_layout/test/img/uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d.png,pairs_ge_9,14,玻璃干扰-遮挡明显/纯色墙,可作高难玻璃+纯色墙样本
9,580,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,http://106.53.106.49:8000/data/mp3d_layout/test/img/wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6.png,pairs_le_4,4,玻璃干扰/遮挡明显,可作高难玻璃/遮挡样本
10,563,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,http://106.53.106.49:8000/data/mp3d_layout/test/img/rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3.png,pairs_le_4,4,简单,可作简单基线样本
11,557,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,http://106.53.106.49:8000/data/mp3d_layout/test/img/rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd.png,pairs_le_4,4,遮挡明显,可作低难遮挡样本
12,558,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,http://106.53.106.49:8000/data/mp3d_layout/test/img/uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e.png,pairs_le_4,4,遮挡明显-纯色墙,可作低难遮挡+纯色墙样本
