selection_rank,task_id,base_task_id,image_id,source_path,selection_reason,source_manifest_sha256,formal_selection_priority
1,B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5,B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5,B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5,data/mp3d_layout/img_v/B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5.jpg,v3_1_full_pool_c2_only_reserve,4666C167EC831F3B7B3C045652F64B4ED8878DFFFBB98C9851F561079B795BC7,false
2,485,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,data/mp3d_layout/img_v/wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be.jpg,v3_1_full_pool_c2_only_reserve,4666C167EC831F3B7B3C045652F64B4ED8878DFFFBB98C9851F561079B795BC7,false
3,590,wc2JMjhGNzB_12757e972ea64bbfbeb14f7cf5ccaf8b,wc2JMjhGNzB_12757e972ea64bbfbeb14f7cf5ccaf8b,data/mp3d_layout/img_v/wc2JMjhGNzB_12757e972ea64bbfbeb14f7cf5ccaf8b.jpg,v3_1_full_pool_c2_only_reserve,4666C167EC831F3B7B3C045652F64B4ED8878DFFFBB98C9851F561079B795BC7,false
4,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,data/mp3d_layout/img_v/kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4.jpg,v3_1_full_pool_c2_only_reserve,4666C167EC831F3B7B3C045652F64B4ED8878DFFFBB98C9851F561079B795BC7,false
5,654,yqstnuAEVhm_700c8b94ab594ac1910e650da9f93c18,yqstnuAEVhm_700c8b94ab594ac1910e650da9f93c18,data/mp3d_layout/img_v/yqstnuAEVhm_700c8b94ab594ac1910e650da9f93c18.jpg,v3_1_full_pool_c2_only_reserve,4666C167EC831F3B7B3C045652F64B4ED8878DFFFBB98C9851F561079B795BC7,false
6,uNb9QFRL6hY_6adff04b1e974c72a81b54fa8f15e7a2,uNb9QFRL6hY_6adff04b1e974c72a81b54fa8f15e7a2,uNb9QFRL6hY_6adff04b1e974c72a81b54fa8f15e7a2,data/mp3d_layout/img_v/uNb9QFRL6hY_6adff04b1e974c72a81b54fa8f15e7a2.jpg,v3_1_full_pool_c2_only_reserve,4666C167EC831F3B7B3C045652F64B4ED8878DFFFBB98C9851F561079B795BC7,false
7,646,q9vSo1VnCiC_ca6944f5dd334193bb86058ba5ab5dc3,q9vSo1VnCiC_ca6944f5dd334193bb86058ba5ab5dc3,data/mp3d_layout/img_v/q9vSo1VnCiC_ca6944f5dd334193bb86058ba5ab5dc3.jpg,v3_1_full_pool_c2_only_reserve,4666C167EC831F3B7B3C045652F64B4ED8878DFFFBB98C9851F561079B795BC7,false
8,514,wc2JMjhGNzB_649ef3674e0f4e7c9eac67f94d237573,wc2JMjhGNzB_649ef3674e0f4e7c9eac67f94d237573,data/mp3d_layout/img_v/wc2JMjhGNzB_649ef3674e0f4e7c9eac67f94d237573.jpg,v3_1_full_pool_c2_only_reserve,4666C167EC831F3B7B3C045652F64B4ED8878DFFFBB98C9851F561079B795BC7,false
9,rPc6DW4iMge_2264f5b2a6e8450ab090e278ea8d1e0a,rPc6DW4iMge_2264f5b2a6e8450ab090e278ea8d1e0a,rPc6DW4iMge_2264f5b2a6e8450ab090e278ea8d1e0a,data/mp3d_layout/img_v/rPc6DW4iMge_2264f5b2a6e8450ab090e278ea8d1e0a.jpg,v3_1_full_pool_c2_only_reserve,4666C167EC831F3B7B3C045652F64B4ED8878DFFFBB98C9851F561079B795BC7,false
10,692,q9vSo1VnCiC_60bae76d896345bfa783ebdd78f1cc71,q9vSo1VnCiC_60bae76d896345bfa783ebdd78f1cc71,data/mp3d_layout/img_v/q9vSo1VnCiC_60bae76d896345bfa783ebdd78f1cc71.jpg,v3_1_full_pool_c2_only_reserve,4666C167EC831F3B7B3C045652F64B4ED8878DFFFBB98C9851F561079B795BC7,false
11,702,wc2JMjhGNzB_5b147d7f689a410baca131f29c8a9515,wc2JMjhGNzB_5b147d7f689a410baca131f29c8a9515,data/mp3d_layout/img_v/wc2JMjhGNzB_5b147d7f689a410baca131f29c8a9515.jpg,v3_1_full_pool_c2_only_reserve,4666C167EC831F3B7B3C045652F64B4ED8878DFFFBB98C9851F561079B795BC7,false
12,651,x8F5xyUWy9e_9077f8ffceb943808934837db41e5616,x8F5xyUWy9e_9077f8ffceb943808934837db41e5616,data/mp3d_layout/img_v/x8F5xyUWy9e_9077f8ffceb943808934837db41e5616.jpg,v3_1_full_pool_c2_only_reserve,4666C167EC831F3B7B3C045652F64B4ED8878DFFFBB98C9851F561079B795BC7,false
13,617,rPc6DW4iMge_e7f5cf7434824a0ab0b4cc060e863c9a,rPc6DW4iMge_e7f5cf7434824a0ab0b4cc060e863c9a,data/mp3d_layout/img_v/rPc6DW4iMge_e7f5cf7434824a0ab0b4cc060e863c9a.jpg,v3_1_full_pool_c2_only_reserve,4666C167EC831F3B7B3C045652F64B4ED8878DFFFBB98C9851F561079B795BC7,false
