image_id,building_id,split,population_role,image_url,image_url_provenance,local_image_source,room_instance_id,room_identity_status,region_class_values_json,room_mapping_status,coordinate_width,coordinate_height,model_count,reference_count,reference_floor_available,bi_equal,bi_floor,bi_band,bi_linear,bi_solid,hoho_E_floor,hoho_X_floor,historical_rows,historical_workers,historical_contexts,human_floor_mean,floor_count,human30_id,ai50_id,extended73_partitions,historical42_partitions
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,val,historical_annotated,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f.jpg,historical_registry,,,unknown_not_inferred_from_building_or_class,"[""12""]",region_class_only,1024,512,3,1,1,False,0.006161733993663598,0.0006850532389672814,0.0009638436045864562,0.00044591264493043514,0.06272453819842494,0.05693556150375767,3,3,2,,2.0,,,0,0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,val,historical_annotated,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/2t7WUuJeko7_7b017f053981438a9c075e599f2c5866.jpg,historical_registry,,,unknown_not_inferred_from_building_or_class,"[""11""]",region_class_only,1024,512,3,1,1,True,0.0,0.0,0.0,0.0,0.06491988028859264,0.06491988028859264,3,3,2,0.3803468932075037,2.0,,,0,0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,val,historical_annotated,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a.jpg,historical_registry,,,unknown_not_inferred_from_building_or_class,"[""11""]",region_class_only,1024,512,3,1,1,True,0.0,0.0,0.0,0.0,0.08677063809346963,0.08677063809346963,1,1,1,,1.0,,,0,0
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,7y3sRwLe3Va,test,candidate_without_historical_annotation,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.jpg,public_GT_import,data/mp3d_layout/test/img/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.png,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512,4,2,2,False,0.007394621650847366,,,,0.06333684148888463,0.06409921348758418,0,0,0,,,,,0,0
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va,test,candidate_without_historical_annotation,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.jpg,public_GT_import,data/mp3d_layout/test/img/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.png,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512,4,2,2,False,0.038522876849400034,,,,0.05662920477930833,0.06009324661188242,0,0,0,,,,R50-001,0,0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,test,historical_annotated,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.jpg,historical_registry,,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512,3,1,1,False,0.012139144685237024,0.011896113560082022,0.0033817158965453453,0.00929987468759208,0.1493666966880931,0.15401361019710402,5,5,1,0.16969469023378617,5.0,,,0,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,test,historical_annotated,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.jpg,historical_registry,,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512,3,2,2,True,0.0,0.0,0.0,0.0,0.016651509759114114,0.016651509759114114,26,26,1,0.060746949743917734,24.0,,,1,1
7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,7y3sRwLe3Va,test,candidate_without_historical_annotation,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.jpg,public_GT_import,data/mp3d_layout/test/img/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.png,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512,4,2,2,False,0.01315014013080984,,,,0.10695799476933543,0.10304029283187122,0,0,0,,,P30-001,,0,0
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,7y3sRwLe3Va,test,candidate_without_historical_annotation,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.jpg,public_GT_import,data/mp3d_layout/test/img/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.png,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512,4,2,2,False,0.11134158958281026,,,,0.5143631141340728,0.480940190149849,0,0,0,,,,,0,0
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,7y3sRwLe3Va,test,candidate_without_historical_annotation,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.jpg,public_GT_import,data/mp3d_layout/test/img/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.png,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512,4,2,2,False,0.005275287352327518,0.006862325521413859,0.000857602724276707,0.005277431625490325,0.07240965844662894,0.07702936913679326,0,0,0,,,,,0,0
