image_id,code,building,scene,scene_source,display_groups,supported_groups,room_state,manual_people,manual_band,semi_people,submitters_all_ids,no_saved_submission_or_draft,unseen_english,in_original_112,in_any_current_candidate_pool,in_required,in_H,in_followup_proposal,oos_status,image_path,group_physical_same_states
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,7y3sRwLe3Va-01,7y3sRwLe3Va,卫浴,current_coarse_review；不采用未确认的新模型建议,"[""G006"", ""G007""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.png,"{""G006"": ""不支持"", ""G007"": ""不支持""}"
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va-02,7y3sRwLe3Va,储藏与家务辅助,current_coarse_review；不采用未确认的新模型建议,"[""G008""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.png,"{""G008"": ""待定""}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,7y3sRwLe3Va,,current_coarse_review；不采用未确认的新模型建议,"[""G008"", ""G012""]",[],仅待定或不支持同房关系,24,8+,0,26,False,[],False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.png,"{""G008"": ""待定"", ""G012"": ""不支持""}"
7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,7y3sRwLe3Va-05,7y3sRwLe3Va,卫浴,current_coarse_review；不采用未确认的新模型建议,"[""G006""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.png,"{""G006"": ""不支持""}"
7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187,7y3sRwLe3Va-15,7y3sRwLe3Va,,current_coarse_review；不采用未确认的新模型建议,"[""G012""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187.png,"{""G012"": ""不支持""}"
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,7y3sRwLe3Va,开放复合空间,current_coarse_review；不采用未确认的新模型建议,"[""G011""]",[],仅待定或不支持同房关系,6,3—7,0,6,False,"[28, 29, 32, 33, 34, 36, 37]",False,True,False,True,False,未见人工OOS记录,data/mp3d_layout/test/img/7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e.png,"{""G011"": ""待定""}"
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va-23,7y3sRwLe3Va,卫浴,current_coarse_review；不采用未确认的新模型建议,"[""G007""]",[],仅待定或不支持同房关系,5,3—7,0,5,False,"[28, 30, 31, 32, 33, 34, 35, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b.png,"{""G007"": ""不支持""}"
B6ByNegPMKs_0e5ba44387774783903fea2a1b8f53dd,B6ByNegPMKs-02,B6ByNegPMKs,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G018""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_0e5ba44387774783903fea2a1b8f53dd.png,"{""G018"": ""待定""}"
B6ByNegPMKs_1c21814e7e7447d5b650afdff65c287e,B6ByNegPMKs-05,B6ByNegPMKs,工作与学习,current_coarse_review；不采用未确认的新模型建议,"[""G021"", ""G022"", ""G023""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_1c21814e7e7447d5b650afdff65c287e.png,"{""G021"": ""不支持"", ""G022"": ""待定"", ""G023"": ""不支持""}"
B6ByNegPMKs_29138c57da06404d8a009f0deb20537f,B6ByNegPMKs-06,B6ByNegPMKs,起居与休闲,current_coarse_review；不采用未确认的新模型建议,"[""G024""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_29138c57da06404d8a009f0deb20537f.png,"{""G024"": ""待定""}"
