group,building,tier,n_images,numbers,review_state,original_judgment,rationale,review_issue,historical_sources,review_first,alternatives,current19_same_room_seen,current19_same_room_semi,current19_same_room_semi_workers,coarse_types
G179,uNb9QFRL6hY,先审高历史价值组,9,"[8, 10, 19, 29, 55, 65, 68, 81, 86]",explicit_discussion,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""待定"", ""difficulty_similarity"": ""可能出现小幅歧义"", ""decision"": ""优先候选"", ""status"": ""仍需讨论"", ""note"": ""uNb9QFRL6hY · 02 / 28 / 44 / 80  和这个是极其类似的房间,甚至可以放在一起预测.可能就是门口那里标不标有点歧义,29优先级低""}",8、65号已有两个密集来源，可比较一源/双源，不需先重采来源。,确认门口范围如何处理；原extent_alignment仍待定，29已被评论列为低优先。不能擅自合并相似的G174房间。,"[8, 65]","[10, 19, 55, 81, 86]","[29, 68]",19,3,"[1, 12, 31]","{""卧室"": 9}"
G184,uNb9QFRL6hY,先审高历史价值组,9,"[18, 26, 41, 50, 59, 60, 66, 67, 88]",explicit_discussion,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""待定"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""可能出现小幅歧义"", ""decision"": ""基础候选"", ""status"": ""仍需讨论"", ""note"": ""这标注难度很高,我记得有标过. 67的标注空间和剩余的不一致,它是站在浴室里了,但是我记得也有人标了外面的空间""}",50、60号均有23人；26、66、88各有5人，具备双源和低成本补齐条件。,67主空间与其余不同；排除67后的8图组仍待确认。原main_visual_alignment待定；高难度不自动等于OOS。,"[50, 60]","[26, 66, 88, 18, 41, 59]",[67],19,0,[],"{""卫浴"": 9}"
G172,uNb9QFRL6hY,先审高历史价值组,12,"[1, 3, 4, 9, 12, 20, 40, 43, 45, 53, 58, 71]",viewed_per_user_statement,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""可能出现小幅歧义"", ""decision"": ""优先候选"", ""status"": """", ""note"": ""71是站在门洞交界处了""}",45号已有23人；可从中心、钢琴、壁炉、镜墙等不同信息条件选新视点，避免只增加卧室。,71门洞交界应单列；内部子集仍未正式确认。40存在Manual/Semi历史，需要人员级暴露核对。,[45],"[3, 9, 12, 20, 43, 53, 58]","[1, 4, 40, 71]",19,3,"[12, 15, 34]","{""起居与休闲"": 12}"
G047,S9hNv5qa7GM,已有密集来源的多视点,5,"[6, 10, 15, 17, 19]",explicit_confirmed,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""预期相近"", ""decision"": ""优先候选"", ""status"": ""已确认"", ""note"": ""5张图一间房""}",15号已有20人，4个目标无同图历史；可比较床侧、墙侧、入口侧的变化。,主卧有床、镜面及入口；组内预期相近不等于每张简单。,[15],"[6, 10, 17, 19]",[],19,0,[],"{""卧室"": 5}"
G057,VFuaQ6m2Qom,已有密集来源的多视点,6,"[1, 2, 4, 7, 10, 11]",explicit_confirmed,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""可能出现小幅歧义"", ""decision"": ""优先候选"", ""status"": ""已确认"", ""note"": ""这个房间,有可能有些认真的标注的细,把凹进去的地方标了,有些可能忽略了.  我记得之前有张图的标注就是这样子的""}",07号19人；04号7人、10号5人，先补可节约成本；其余视点用于观察凹入细节/开口可见度变化。,07号当前19人中只有18份可用，另1人已有同图记录不能补作独立第19票；范围与细节合理性需区分。,[7],"[4, 10, 1, 2, 11]",[],19,0,[],"{""卫浴"": 6}"
G237,yqstnuAEVhm,已有密集来源的多视点,4,"[2, 5, 10, 26]",explicit_confirmed,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""预期相近"", ""decision"": ""优先候选"", ""status"": ""已确认"", ""note"": """"}",26号已有25人；05/10室内视点与02靠厨房门视点构成可审查的对照。,02的厨房门信息更多，不应与内部视点不加区分地合并。,[26],"[5, 10]",[2],19,0,[],"{""厨房与用餐"": 4}"
G165,rPc6DW4iMge,已有密集来源的多视点,3,"[2, 14, 15]",explicit_confirmed,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""预期相近"", ""decision"": ""优先候选"", ""status"": ""已确认"", ""note"": """"}",15号已有23人；02/14两个新目标可补另一个building的卧室证据。,仅3图，无法像5图组保留同样多的独立评价目标；是否值得投入由覆盖预算决定。,[15],"[2, 14]",[],19,0,[],"{""卧室"": 3}"
G207,wc2JMjhGNzB,已有密集来源的多视点,4,"[4, 15, 40, 45]",explicit_confirmed,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""预期相近"", ""decision"": ""优先候选"", ""status"": ""已确认"", ""note"": """"}",15号已有24人；04/45可比较空房与近衣柜/卫浴门的信息变化。,19人全部接触过同房40号Semi；04/15/40粗类在v2为null，45为无法判断，文字称卧室不能代替采用分类。,[15],"[4, 45]",[40],19,19,"[1, 2, 6, 8, 10, 12, 13, 15, 17, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]","{""待定"": 3, ""无法判断"": 1}"
G141,pa4otMbVnkk,稀疏历史补齐与类型覆盖,6,"[17, 23, 25, 29, 37, 41]",explicit_confirmed,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""可能出现小幅歧义"", ""decision"": ""基础候选"", ""status"": ""已确认"", ""note"": ""突出的墙体可能有点难标""}",17号已有3人；红墙客厅、突出墙体、窗侧与入口视点，可补起居类与另一building。,没有密集来源，需要把来源本身的新增采集计入预算。,[17],"[23, 25, 29, 37, 41]",[],3,0,[],"{""起居与休闲"": 6}"
G205,wc2JMjhGNzB,稀疏历史补齐与类型覆盖,5,"[3, 22, 29, 54, 61]",explicit_confirmed,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""预期相近"", ""decision"": ""优先候选"", ""status"": ""已确认"", ""note"": """"}",03与54各有5人；03先补到15更节约，22/29/61提供床侧/书桌/短廊口变化。,54另有Semi接触，当前19人清洁Manual容量为16，不承诺19。组内预期相近仍含短廊范围解释。,[3],"[22, 29, 61]",[54],10,3,"[1, 28, 30]","{""卧室"": 5}"
