group,building,number,image_id,path,tier,review_role,review_decision,difficulty_review,rationale,group_issue,group_review_state,group_original_note,adopted_coarse_type,coarse_source,legacy_coarse_type,ai_coarse_type,spatial_conflicts,doorway,oos_evidence,main_visual_space,extent,information,manual_raw,manual_included,manual_active19,manual_other,semi,semi_active19,seen_active19,clean_new_active19,max_pooled_manual,max_active19_manual,manual_workers,semi_workers,clean_workers,group_semi_active19,raw_url,github_url,new_to_6_pooled,feasible_6_pooled,new_to_6_active19,feasible_6_active19,new_to_8_pooled,feasible_8_pooled,new_to_8_active19,feasible_8_active19,new_to_15_pooled,feasible_15_pooled,new_to_15_active19,feasible_15_active19,new_to_19_pooled,feasible_19_pooled,new_to_19_active19,feasible_19_active19
G179,uNb9QFRL6hY,8,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,data/mp3d_layout/test/img/uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e.png,先审高历史价值组,已有来源，优先复用,待审,未定,8、65号已有两个密集来源，可比较一源/双源，不需先重采来源。,确认门口范围如何处理；原extent_alignment仍待定，29已被评论列为低优先。不能擅自合并相似的G174房间。,explicit_discussion,"uNb9QFRL6hY · 02 / 28 / 44 / 80  和这个是极其类似的房间,甚至可以放在一起预测.可能就是门口那里标不标有点歧义,29优先级低",卧室,早期争议复核导出.user_type,卧室,卧室,[],否,[],灰床头客卧,床、双壁龛外门与入口围合,近床头，床遮挡墙脚,23,23,19,4,0,0,19,0,23,19,"[1, 2, 6, 8, 10, 11, 12, 13, 14, 15, 17, 18, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",[],[],3,https://raw.githubusercontent.com/Sparkling-Flames/3D_Manhattan_label/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e.png,https://github.com/Sparkling-Flames/3D_Manhattan_label/blob/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e.png,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True
G179,uNb9QFRL6hY,10,uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58,data/mp3d_layout/test/img/uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58.png,先审高历史价值组,优先审查目标（未选定）,待审,未定,8、65号已有两个密集来源，可比较一源/双源，不需先重采来源。,确认门口范围如何处理；原extent_alignment仍待定，29已被评论列为低优先。不能擅自合并相似的G174房间。,explicit_discussion,"uNb9QFRL6hY · 02 / 28 / 44 / 80  和这个是极其类似的房间,甚至可以放在一起预测.可能就是门口那里标不标有点歧义,29优先级低",卧室,早期争议复核导出.user_type,卧室,卧室,[],否,[],灰床头客卧入口侧,床区与外门的卧室围合,近入口，外走廊可见,0,0,0,0,0,0,0,19,19,19,[],[],"[1, 2, 6, 8, 10, 12, 13, 15, 17, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",3,https://raw.githubusercontent.com/Sparkling-Flames/3D_Manhattan_label/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58.png,https://github.com/Sparkling-Flames/3D_Manhattan_label/blob/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58.png,6,True,6,True,8,True,8,True,15,True,15,True,19,True,19,True
G179,uNb9QFRL6hY,19,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,data/mp3d_layout/test/img/uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562.png,先审高历史价值组,优先审查目标（未选定）,待审,未定,8、65号已有两个密集来源，可比较一源/双源，不需先重采来源。,确认门口范围如何处理；原extent_alignment仍待定，29已被评论列为低优先。不能擅自合并相似的G174房间。,explicit_discussion,"uNb9QFRL6hY · 02 / 28 / 44 / 80  和这个是极其类似的房间,甚至可以放在一起预测.可能就是门口那里标不标有点歧义,29优先级低",卧室,早期争议复核导出.user_type,卧室,卧室,[],否,[],灰床头客卧壁龛侧,床区、双壁龛与外门围合,壁龛近景，床区远端,0,0,0,0,0,0,0,19,19,19,[],[],"[1, 2, 6, 8, 10, 12, 13, 15, 17, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",3,https://raw.githubusercontent.com/Sparkling-Flames/3D_Manhattan_label/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562.png,https://github.com/Sparkling-Flames/3D_Manhattan_label/blob/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562.png,6,True,6,True,8,True,8,True,15,True,15,True,19,True,19,True
G179,uNb9QFRL6hY,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,data/mp3d_layout/test/img/uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd.png,先审高历史价值组,替代/特殊视点，另审,待审,未定,8、65号已有两个密集来源，可比较一源/双源，不需先重采来源。,确认门口范围如何处理；原extent_alignment仍待定，29已被评论列为低优先。不能擅自合并相似的G174房间。,explicit_discussion,"uNb9QFRL6hY · 02 / 28 / 44 / 80  和这个是极其类似的房间,甚至可以放在一起预测.可能就是门口那里标不标有点歧义,29优先级低",卧室,早期争议复核导出.user_type,卧室,卧室,[],否,[],灰床头客卧入口,床、外门及双壁龛围合,外廊和局部入口墙突出,5,5,4,1,0,0,4,15,20,19,"[1, 2, 12, 27, 30]",[],"[6, 8, 10, 13, 15, 17, 28, 29, 31, 32, 33, 34, 35, 36, 37]",3,https://raw.githubusercontent.com/Sparkling-Flames/3D_Manhattan_label/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd.png,https://github.com/Sparkling-Flames/3D_Manhattan_label/blob/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd.png,1,True,2,True,3,True,4,True,10,True,11,True,14,True,15,True
G179,uNb9QFRL6hY,55,uNb9QFRL6hY_ab84a27288034713b2c24e41b31acc78,data/mp3d_layout/test/img/uNb9QFRL6hY_ab84a27288034713b2c24e41b31acc78.png,先审高历史价值组,优先审查目标（未选定）,待审,未定,8、65号已有两个密集来源，可比较一源/双源，不需先重采来源。,确认门口范围如何处理；原extent_alignment仍待定，29已被评论列为低优先。不能擅自合并相似的G174房间。,explicit_discussion,"uNb9QFRL6hY · 02 / 28 / 44 / 80  和这个是极其类似的房间,甚至可以放在一起预测.可能就是门口那里标不标有点歧义,29优先级低",卧室,早期争议复核导出.user_type,卧室,卧室,[],否,[],灰床头客卧外门旁,床区、壁龛、外门与入口围合,近外门，床区侧视,0,0,0,0,0,0,0,19,19,19,[],[],"[1, 2, 6, 8, 10, 12, 13, 15, 17, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",3,https://raw.githubusercontent.com/Sparkling-Flames/3D_Manhattan_label/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_ab84a27288034713b2c24e41b31acc78.png,https://github.com/Sparkling-Flames/3D_Manhattan_label/blob/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_ab84a27288034713b2c24e41b31acc78.png,6,True,6,True,8,True,8,True,15,True,15,True,19,True,19,True
G179,uNb9QFRL6hY,65,uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,data/mp3d_layout/test/img/uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7.png,先审高历史价值组,已有来源，优先复用,待审,未定,8、65号已有两个密集来源，可比较一源/双源，不需先重采来源。,确认门口范围如何处理；原extent_alignment仍待定，29已被评论列为低优先。不能擅自合并相似的G174房间。,explicit_discussion,"uNb9QFRL6hY · 02 / 28 / 44 / 80  和这个是极其类似的房间,甚至可以放在一起预测.可能就是门口那里标不标有点歧义,29优先级低",卧室,早期争议复核导出.user_type,卧室,卧室,[],否,[],灰床头客卧床前,床、双壁龛与外门围合,床与座椅遮挡墙脚,26,25,19,6,0,0,19,0,25,19,"[1, 2, 6, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",[],[],3,https://raw.githubusercontent.com/Sparkling-Flames/3D_Manhattan_label/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7.png,https://github.com/Sparkling-Flames/3D_Manhattan_label/blob/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7.png,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True
G179,uNb9QFRL6hY,68,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,data/mp3d_layout/test/img/uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d.png,先审高历史价值组,替代/特殊视点，另审,待审,未定,8、65号已有两个密集来源，可比较一源/双源，不需先重采来源。,确认门口范围如何处理；原extent_alignment仍待定，29已被评论列为低优先。不能擅自合并相似的G174房间。,explicit_discussion,"uNb9QFRL6hY · 02 / 28 / 44 / 80  和这个是极其类似的房间,甚至可以放在一起预测.可能就是门口那里标不标有点歧义,29优先级低",卧室,早期争议复核导出.user_type,卧室,卧室,[],否,[],灰床头客卧床前,双壁龛、床与外门围合,与65相近位置但仍为不同图，不视作独立房,5,5,4,1,5,3,7,12,17,16,"[11, 15, 33, 34, 37]","[1, 12, 14, 18, 31]","[2, 6, 8, 10, 13, 17, 28, 29, 30, 32, 35, 36]",3,https://raw.githubusercontent.com/Sparkling-Flames/3D_Manhattan_label/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d.png,https://github.com/Sparkling-Flames/3D_Manhattan_label/blob/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d.png,1,True,2,True,3,True,4,True,10,True,11,True,14,False,15,False
G179,uNb9QFRL6hY,81,uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd,data/mp3d_layout/test/img/uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd.png,先审高历史价值组,优先审查目标（未选定）,待审,未定,8、65号已有两个密集来源，可比较一源/双源，不需先重采来源。,确认门口范围如何处理；原extent_alignment仍待定，29已被评论列为低优先。不能擅自合并相似的G174房间。,explicit_discussion,"uNb9QFRL6hY · 02 / 28 / 44 / 80  和这个是极其类似的房间,甚至可以放在一起预测.可能就是门口那里标不标有点歧义,29优先级低",卧室,早期争议复核导出.user_type,卧室,卧室,[],否,[],灰床头客卧床边壁龛,双壁龛、床及外门围合,近壁龛，床体遮挡,0,0,0,0,0,0,0,19,19,19,[],[],"[1, 2, 6, 8, 10, 12, 13, 15, 17, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",3,https://raw.githubusercontent.com/Sparkling-Flames/3D_Manhattan_label/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd.png,https://github.com/Sparkling-Flames/3D_Manhattan_label/blob/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd.png,6,True,6,True,8,True,8,True,15,True,15,True,19,True,19,True
G179,uNb9QFRL6hY,86,uNb9QFRL6hY_fd10460fd2bc4c52af84e36e89357269,data/mp3d_layout/test/img/uNb9QFRL6hY_fd10460fd2bc4c52af84e36e89357269.png,先审高历史价值组,优先审查目标（未选定）,待审,未定,8、65号已有两个密集来源，可比较一源/双源，不需先重采来源。,确认门口范围如何处理；原extent_alignment仍待定，29已被评论列为低优先。不能擅自合并相似的G174房间。,explicit_discussion,"uNb9QFRL6hY · 02 / 28 / 44 / 80  和这个是极其类似的房间,甚至可以放在一起预测.可能就是门口那里标不标有点歧义,29优先级低",卧室,早期争议复核导出.user_type,卧室,卧室,[],否,[],灰床头客卧入口墙旁,床、双壁龛和外门围合,近黑镜墙，外廊部分可见,0,0,0,0,0,0,0,19,19,19,[],[],"[1, 2, 6, 8, 10, 12, 13, 15, 17, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",3,https://raw.githubusercontent.com/Sparkling-Flames/3D_Manhattan_label/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_fd10460fd2bc4c52af84e36e89357269.png,https://github.com/Sparkling-Flames/3D_Manhattan_label/blob/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_fd10460fd2bc4c52af84e36e89357269.png,6,True,6,True,8,True,8,True,15,True,15,True,19,True,19,True
G184,uNb9QFRL6hY,18,uNb9QFRL6hY_2ed0e171a7c34f17a85363923a26ab98,data/mp3d_layout/test/img/uNb9QFRL6hY_2ed0e171a7c34f17a85363923a26ab98.png,先审高历史价值组,优先审查目标（未选定）,待审,未定,50、60号均有23人；26、66、88各有5人，具备双源和低成本补齐条件。,67主空间与其余不同；排除67后的8图组仍待确认。原main_visual_alignment待定；高难度不自动等于OOS。,explicit_discussion,"这标注难度很高,我记得有标过. 67的标注空间和剩余的不一致,它是站在浴室里了,但是我记得也有人标了外面的空间",卫浴,早期争议复核导出.user_type,卫浴,卫浴,[],否,[],大主浴室,长梳妆台、浴缸、淋浴与台阶外门,透明玻璃、镜面和外门高差,0,0,0,0,0,0,0,19,19,19,[],[],"[1, 2, 6, 8, 10, 12, 13, 15, 17, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",0,https://raw.githubusercontent.com/Sparkling-Flames/3D_Manhattan_label/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_2ed0e171a7c34f17a85363923a26ab98.png,https://github.com/Sparkling-Flames/3D_Manhattan_label/blob/844a4694627e1eacc6bfb48911897335e48ecc17/data/mp3d_layout/test/img/uNb9QFRL6hY_2ed0e171a7c34f17a85363923a26ab98.png,6,True,6,True,8,True,8,True,15,True,15,True,19,True,19,True
