case_id,image_id,displayed_variant,displayed_source_id,gt_source,gt_task_id,gt_annotation_id,current_gt_file,displayed_points,source_points,raw_coordinate_sequence_equal,max_distance_in_min_sum_point_assignment_px,source_identity_does_not_establish_geometric_correctness
V01,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,reference_0,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302|public_import|test|0,export_label\groudTruth(prescreen时使用的).json,2731,2398,False,20,20,True,2.842170943040401e-14,True
V01,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,reference_0,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302|public_import|test|0,export_label\groudTruth.json,3552,5101,True,20,20,True,2.842170943040401e-14,True
V01,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,reference_0,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302|public_import|test|0,export_label\groudTruth_106错误.json,2731,2398,False,20,20,True,2.842170943040401e-14,True
V01,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,reference_0,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302|public_import|test|0,export_label\groudTruth_2(61_84_194双标注).json,2731,2398,False,20,20,True,2.842170943040401e-14,True
V01,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,reference_0,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302|public_import|test|0,export_label\groudTruth_gt100错误.json,3428,5089,False,20,20,True,2.842170943040401e-14,True
V01,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,reference_0,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302|public_import|test|0,export_label\人工精标\project-20-at-2026-03-24-16-24-a7e7c114.json,2731,2398,False,20,20,True,2.842170943040401e-14,True
V01,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,reference_0,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302|public_import|test|0,export_label\人工精标\project-20-at-2026-03-25-01-17-926f4b7f.json,2731,2398,False,20,20,True,2.842170943040401e-14,True
V01,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,reference_0,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302|public_import|test|0,export_label\人工精标\project-20-at-2026-03-27-10-01-6cfd5abe.json,2731,2398,False,20,20,True,2.842170943040401e-14,True
V01,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,reference_0,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302|public_import|test|0,export_label\人工精标\project-20-at-2026-03-27-14-57-e66c6481.json,2731,2398,False,20,20,True,2.842170943040401e-14,True
V04,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,reference_0,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f|public_import|test|0,export_label\groudTruth(prescreen时使用的).json,2507,2174,False,8,8,True,0.0,True
V04,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,reference_0,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f|public_import|test|0,export_label\groudTruth.json,3328,4877,True,8,8,True,0.0,True
V04,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,reference_0,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f|public_import|test|0,export_label\groudTruth_106错误.json,2507,2174,False,8,8,True,0.0,True
V04,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,reference_0,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f|public_import|test|0,export_label\groudTruth_2(61_84_194双标注).json,2507,2174,False,8,8,True,0.0,True
V04,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,reference_0,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f|public_import|test|0,export_label\groudTruth_gt100错误.json,3204,4865,False,8,8,True,0.0,True
V04,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,reference_0,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f|public_import|test|0,export_label\人工精标\project-20-at-2026-03-24-16-24-a7e7c114.json,2507,2174,False,8,8,True,0.0,True
V04,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,reference_0,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f|public_import|test|0,export_label\人工精标\project-20-at-2026-03-25-01-17-926f4b7f.json,2507,2174,False,8,8,True,0.0,True
V04,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,reference_0,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f|public_import|test|0,export_label\人工精标\project-20-at-2026-03-27-10-01-6cfd5abe.json,2507,2174,False,8,8,True,0.0,True
