partition_id,context_key,building_id,stage,condition,partition_status,top_support_tie,second_support_tie,raw_context_N,archived_member_N,current20_archived_N,original_clusters,current20_represented_clusters
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3,C1,manual,unique,False,True,23,23,20,3,3
extended73|C1|manual|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1|0|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|manual,rPc6DW4iMge,C1,manual,unique,False,False,23,23,20,2,2
extended73|C1|manual|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1|0|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd|manual,rPc6DW4iMge,C1,manual,unique,False,False,23,23,20,2,2
extended73|C1|manual|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1|0|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|manual,uNb9QFRL6hY,C1,manual,unique,False,False,23,23,20,2,2
extended73|C1|manual|uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,C1|0|uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622|manual,uNb9QFRL6hY,C1,manual,not_evaluable,False,False,23,0,0,0,0
extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1|0|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual,uNb9QFRL6hY,C1,manual,unique,False,False,23,23,20,4,4
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,uNb9QFRL6hY,C1,manual,unique,True,False,23,23,20,7,7
extended73|C1|manual|uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,C1|0|uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d|manual,uNb9QFRL6hY,C1,manual,not_evaluable,False,False,23,0,0,0,0
extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1|0|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,wc2JMjhGNzB,C1,manual,unique,True,False,23,23,20,7,7
extended73|C1|manual|wc2JMjhGNzB_dda6efcba51c40de8552408953719515,C1|0|wc2JMjhGNzB_dda6efcba51c40de8552408953719515|manual,wc2JMjhGNzB,C1,manual,unique,False,False,23,23,20,3,3
extended73|C1|manual|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,C1|0|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|manual,yqstnuAEVhm,C1,manual,unique,False,False,23,23,20,6,5
extended73|C1|manual|yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,C1|0|yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2|manual,yqstnuAEVhm,C1,manual,not_evaluable,False,False,23,0,0,0,0
extended73|C2-B|manual|S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,C2-B|0|S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e|manual,S9hNv5qa7GM,C2-B,manual,unique,False,True,20,19,19,4,4
