analysis_role,base_task_id,condition,building_id,corner_count_set,comparison,mixed_topology,A0_handling,A1_A2_cross_topology_status,A5_status,A5_selected_corner_count,coordinate_averaging_used
development_cross_fitted_retrospective_audit_opportunity_estimate,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,7y3sRwLe3Va,4;6;8,4 vs 6 vs 8,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,7y3sRwLe3Va,8,8,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,7y3sRwLe3Va,6;8;10,6 vs 8 vs 10,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,10,False
development_cross_fitted_retrospective_audit_opportunity_estimate,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,7y3sRwLe3Va,7;8;10,7 vs 8 vs 10,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,7y3sRwLe3Va,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,7y3sRwLe3Va,5;6,5 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,B6ByNegPMKs,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,B6ByNegPMKs,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,B6ByNegPMKs,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,B6ByNegPMKs,4;5,4 vs 5,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,B6ByNegPMKs,4;5,4 vs 5,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,5,False
development_cross_fitted_retrospective_audit_opportunity_estimate,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,B6ByNegPMKs,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,B6ByNegPMKs,4;9;10,4 vs 9 vs 10,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,10,False
development_cross_fitted_retrospective_audit_opportunity_estimate,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,B6ByNegPMKs,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,not_evaluable_training_support,,False
development_cross_fitted_retrospective_audit_opportunity_estimate,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,B6ByNegPMKs,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,UwV83HsGsw3,0;4;5;6,0 vs 4 vs 5 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,semi,UwV83HsGsw3,4;5;6,4 vs 5 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
