task_id,base_task_id,keep,selected_for_gate,final_role,priority_flag,review_note_flag,default_eligible,scope,keep_reason,drop_reason,reference_binding_status,adjudication_status,notes
459,b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,True,True,oos_gate,default,True,True,oos_open_boundary,Retained in the executable OOS gate because the latest scope label is OOS and no active low-priority uncertainty blocks default inclusion.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,"note_files=特别注意.md | 特别注意.md: 这张图片虽然有玻璃,但是它主要的问题可能还是这图片不闭合,图片右边还有个空间,但是看不太到,而且房间 不是规规矩矩的 曼哈顿图形,右边玻璃那是斜着的,我不确定该放在OOS 还是这个地方"
476,uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,True,True,oos_gate,default,False,True,oos_split_level,Retained in the executable OOS gate because the latest scope label is OOS and no active low-priority uncertainty blocks default inclusion.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
495,yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,True,True,oos_gate,special_review,True,True,oos_split_level,Retained in the executable OOS gate because the latest scope label is OOS and no active low-priority uncertainty blocks default inclusion.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,priority_annotation=不确定算不算错层
496,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,True,True,oos_gate,default,False,True,oos_split_level,Retained in the executable OOS gate because the latest scope label is OOS and no active low-priority uncertainty blocks default inclusion.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
526,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,True,True,oos_gate,default,True,True,oos_geometry,Retained in the executable OOS gate because the latest scope label is OOS and no active low-priority uncertainty blocks default inclusion.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,"note_files=特别注意.md | 特别注意.md: 这个场景有点复杂,有玻璃的干扰,同时玻璃的尽头好像是弧形的(我不太确定 这是否是拼接造成的弧形还是本来玻璃就是弧形的),我也好奇gt是怎么标注的"
529,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,True,True,oos_gate,default,True,True,oos_insufficient,Retained in the executable OOS gate because the latest scope label is OOS and no active low-priority uncertainty blocks default inclusion.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,"note_files=特别注意.md | 特别注意.md: 因为画面中间 偏右的墙挡住了太多东西,不太确定到底属于边界不可判断还是非曼哈顿(几何假设不成立),gt是怎么标的我也很好奇"
560,X7HyMhZNoso_215ab480f5084ac992c0d0e6b3e82268,True,False,audit_only,low_priority,True,False,oos_geometry,"Retained only as audit-only. This row remains registry-visible, but its explicit low-priority note means the current protocol does not auto-include it in the default OOS gate.",Excluded from the default executable OOS quota because its current low-priority note means the OOS status is still comparatively uncertain.,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,"priority_annotation=低优先,感觉可以标注"
575,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,True,True,oos_gate,default,False,True,oos_split_level,Retained in the executable OOS gate because the latest scope label is OOS and no active low-priority uncertainty blocks default inclusion.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
609,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,True,True,oos_gate,default,False,True,oos_open_boundary,Retained in the executable OOS gate because the latest scope label is OOS and no active low-priority uncertainty blocks default inclusion.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
661,q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,True,True,oos_gate,default,False,True,oos_split_level,Retained in the executable OOS gate because the latest scope label is OOS and no active low-priority uncertainty blocks default inclusion.,,working_consensus_reference_bound_not_final_gold,working_consensus_not_final_gold,
