task_id,base_task_id,trap_family_dir,priority_flag,review_note_flag,latest_verified_export,latest_verified_scope,latest_verified_model_issue_tags,latest_verified_issue_count,latest_verified_has_mixed_issue,project2_model_issue_tags,project2_issue_count,project2_has_mixed_issue,notes
474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,角点错位,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,underextend,1,False,corner_drift;corner_duplicate,2,True,project2_multi_issue_only
475,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,模型预标注失败,low_priority,True,project-20-at-2026-03-27-14-57-e66c6481.json,normal,fail,1,False,corner_drift;fail,2,True,project2_multi_issue_only
477,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,角点重复,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,corner_duplicate,1,False,corner_drift;corner_duplicate;fail,3,True,project2_multi_issue_only
492,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,模型标注质量好,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,acceptable,1,False,acceptable,1,False,
493,e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,跨门扩张,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,overextend_adjacent,1,False,overextend_adjacent;corner_duplicate,2,True,project2_multi_issue_only
499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,跨门扩张,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,corner_duplicate,1,False,corner_drift;corner_duplicate,2,True,project2_multi_issue_only
501,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,模型标注质量好,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,acceptable,1,False,overextend_adjacent,1,False,
505,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,过度解析,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,over_parsing,1,False,corner_drift;corner_duplicate,2,True,project2_multi_issue_only
568,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,模型标注质量好,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,acceptable,1,False,acceptable,1,False,
572,wc2JMjhGNzB_77962388887942148ee65c2892600e02,模型标注质量好,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,acceptable,1,False,acceptable,1,False,
573,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,模型标注质量好,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,acceptable,1,False,acceptable,1,False,
574,wc2JMjhGNzB_e7d38d204e374f6b8300c5a559a768e9,过度解析,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,over_parsing,1,False,over_parsing,1,False,
576,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,模型标注质量好,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,acceptable,1,False,acceptable,1,False,
577,wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,跨门扩张,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,overextend_adjacent,1,False,acceptable,1,False,
579,7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b,漏标,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,underextend,1,False,acceptable,1,False,
580,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,跨门扩张,special_review,True,project-20-at-2026-03-27-14-57-e66c6481.json,normal,overextend_adjacent;underextend;corner_duplicate,3,True,overextend_adjacent;corner_duplicate;over_parsing,3,True,latest_verified_multi_issue
625,b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,角点错位,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,corner_drift,1,False,corner_drift,1,False,
665,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,漏标,special_review,True,project-20-at-2026-03-27-14-57-e66c6481.json,normal,underextend,1,False,overextend_adjacent;corner_drift,2,True,project2_multi_issue_only
668,rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,跨门扩张,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,overextend_adjacent,1,False,corner_drift;corner_duplicate,2,True,project2_multi_issue_only
683,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,过度解析,default,False,project-20-at-2026-03-27-14-57-e66c6481.json,normal,over_parsing,1,False,corner_duplicate;over_parsing,2,True,project2_multi_issue_only
712,wc2JMjhGNzB_40ea4145b9e946aab5d56de3ce179c8e,漏标,low_priority,True,project-20-at-2026-03-27-14-57-e66c6481.json,normal,underextend,1,False,,0,False,
