image_id,condition,building,n_observed,n_excluded,min_sub80_jaccard,review_draft_grade,review_draft_reason,full_p_by_8,core10_p_by_19,full_tail_no_gate,core_tail_10,late_quarter_new,late_half_new,late_quarter_structure,late_quarter_repartition,half_tv_all,half_tv_core,grade_v1,status_v1,cut,source_split,scene_category,scene_source,main_space_raw,main_space_safe,main_space_source,main_space_basis,main_space_human,main_space_human_source,fine_human,fine_ai,doorway,room_id,room_status,floor_boundary,ceiling_boundary,corner_occlusion,connected_space,reflection_glass,low_contrast,floor_boundary_recheck,ceiling_boundary_recheck,corner_occlusion_recheck,connected_space_recheck,reflection_glass_recheck,low_contrast_recheck,resolution_rechecked,main_sleep,main_bathroom,main_kitchen,main_dining,main_living,main_work,main_circulation,main_storage,main_special,main_empty,position_entrance,position_window,position_edge,position_stair_landing,position_shower_interior,position_bath_tub,position_washing,position_mirrored,position_glass,position_fireplace,position_empty,position_shared_focus,main_semantic_key,main_function_primary,main_function_primary_source,review_status,reviewed_grade,full_requested8_exceeds_n,core_requested19_exceeds_n,n_valid,total_clusters,supported_clusters,singletons,doubletons,singleton_share,supported_share,largest_share,effective_modes_simpson,entropy_bits,point_count_disagreement,within_cluster_median,sizes_descending,good_turing_missing_mass_proxy,chao_coverage_proxy,isolated_singletons,assignment_singletons_with_compatible_peer,min_supported_loo_jaccard,max_cross_compatible_share,weakly_separated_supported_pair,supported_point_counts,support_modes_equal_count_strata,weak_geometry_separation
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,B6ByNegPMKs,24,0,0.866366366366,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,0,0.25,0.26,0.47,0.0475000000001,0.0520833333333,0.0425000000001,0.0118036942281,0.159583333333,0.109513347763,,singleton_support_unresolved,,test,通行与连接,早期争议复核导出.user_type,会议区入口走道为主,会议区入口走道为主,AI_new_spatial_review,carried_visual_record,,未有人工作答,,工作学习|通行,否,supported_component:B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,overlap_with_pending_or_unsupported,present,partial,absent,present,present,absent,present,partial,absent,present,present,absent,False,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,work+circulation,work,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,False,False,24,6,3,3,1,0.125,0.875,0.5,2.88,1.89033606476,0.0833333333333,0.0352443604896,12;7;2;1;1;1,0.125,0.878521126761,1,2,0.954545454545,0.666666666667,True,1,False,True
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,B6ByNegPMKs,5,0,1,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,0.535,0.375,0,0,0.0525,0.116666666667,0,0,0.22,0.22,,limited_horizon_or_order_sensitive,,test,工作与学习,早期争议复核导出.user_type,多人空置办公室为主,多人空置办公室为主,AI_new_spatial_review,carried_visual_record,,未有人工作答,,工作学习|通行,否,unresolved:B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,not_in_supported_component,partial,partial,present,present,present,absent,partial,partial,present,present,present,absent,False,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,work+empty,empty,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True,5,2,2,0,1,0,1,0.6,1.92307692308,0.970950594455,0,0.06549650016,3;2,0,1,0,0,1,0,False,1,False,False
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,UwV83HsGsw3,5,0,1,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,0.565,0.565,0,0,0.05,0.138333333333,0.05,0,0.2405,0.2405,,limited_horizon_or_order_sensitive,,test,卧室,早期争议复核导出.user_type,卧室为主,卧室为主,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室,否,supported_component:UwV83HsGsw3_1018c8753d68416e8f2d48a144282aeb,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sleep,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True,5,2,2,0,1,0,1,0.6,1.92307692308,0.970950594455,0.6,0.0440070008921,3;2,0,1,0,0,1,0,False,2,True,False
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,VFuaQ6m2Qom,7,0,1,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,0.585,0.565,0,0,0.165,0.22625,0.165,0,0.25,0.1775,,limited_horizon_or_order_sensitive,,valid,卫浴,早期争议复核导出.user_type,主卫浴缸窗侧,主卫浴缸窗侧,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卫浴,否,supported_component:VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,bathroom,bathroom,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True,7,3,2,1,1,0.142857142857,0.857142857143,0.571428571429,2.33333333333,1.37878349349,0.666666666667,0.0564633984323,4;2;1,0.142857142857,0.892857142857,1,0,1,0,False,2,True,False
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,VFuaQ6m2Qom,20,1,1,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,0,0.77,0.28,0.43,0.071,0.1075,0.071,0,0.202076023392,0.160873015873,,invalid_response_evidence,,valid,卫浴,早期争议复核导出.user_type,主卫近淋浴,主卫近淋浴,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卫浴,否,supported_component:VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bathroom,bathroom,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,False,False,19,6,4,2,2,0.105263157895,0.894736842105,0.421052631579,3.64646464646,2.16320959374,0.719298245614,0.0382801226227,8;5;2;2;1;1,0.105263157895,0.905263157895,1,1,1,0,False,4,True,False
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,semi,X7HyMhZNoso,24,0,1,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,0,0.705,0.54,0.81,0.125833333333,0.14625,0.0466666666668,0,0.11375,0.0430804473305,,singleton_support_unresolved,,test,复合／待定,早期争议复核导出.user_type,带内置衣柜的空房为主（可能卧室，未确认）,带内置衣柜的空房为主（可能卧室，未确认）,AI_new_spatial_review,new_original,,未有人工作答,,用途不明|通行,否,supported_component:X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,supported_component,present,present,absent,present,unknown,absent,present,present,absent,present,unknown,absent,False,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sleep+storage+empty,storage,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,False,False,24,5,2,3,1,0.125,0.875,0.791666666667,1.5652173913,1.13868655258,0.235507246377,0.00430640097743,19;2;1;1;1,0.125,0.878521126761,3,0,1,0,False,2,True,False
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,manual,X7HyMhZNoso,5,0,0.869333333333,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,0,0.175,0,0,0.215,0.258333333333,0.19,0.0675000000001,0.36,0.3025,,limited_horizon_or_order_sensitive,,test,厨房与用餐,早期争议复核导出.user_type,厨房与用餐共同为主,厨房与用餐共同为主,AI_new_spatial_review,carried_visual_record,,未有人工作答,,厨房|用餐|起居休闲,否,supported_component:X7HyMhZNoso_215ab480f5084ac992c0d0e6b3e82268,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,kitchen+dining,kitchen,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True,5,3,2,1,2,0.2,0.8,0.4,2.77777777778,1.52192809489,0.4,0.0411047156361,2;2;1,0.2,0.9,1,0,0.888888888889,0.5,False,1,False,False
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,semi,Z6MFQCViBuw,24,0,0.944807370184,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,0,0.255,0.76,0.5,0.00333333333334,0.0158333333333,0.000833333333335,0.00319744179483,0.126458333333,0.11256916996,,stable_outside_three_tier_limits,,test,复合／待定,早期争议复核导出.user_type,特殊用途为主,特殊用途为主,AI_new_spatial_review,new_original,,未有人工作答,,特殊用途,否,unresolved:Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,not_in_supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,special,special,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,False,False,24,4,3,1,0,0.0416666666667,0.958333333333,0.583333333333,2.42016806723,1.54693710975,0.289855072464,0.0273830999047,14;5;4;1,0.0416666666667,1,0,1,0.979166666667,0.1,False,2,False,False
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,b8cTxDM8gDG,6,0,0.898550724638,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,0,0,0,0,0.06,0.108333333333,0,0.0369166666667,0.206666666666,0.206666666666,,limited_horizon_or_order_sensitive,,test,卧室,早期争议复核导出.user_type,卧室为主,卧室为主,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室,确认,unresolved:b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,not_in_supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sleep,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True,6,3,3,0,3,0,1,0.333333333333,3,1.58496250072,0,0.0584549756715,2;2;2,0,1,0,0,0.916666666667,0.5,False,1,False,False
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,e9zR4mvMWw7,24,0,0.944024334734,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,0,0.485,0.7,0.7,0.0025,0.00833333333333,0.0025,0.0148080843206,0.08,0.08,,stable_outside_three_tier_limits,,test,卧室,早期争议复核导出.user_type,卧室为主,卧室为主,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室,否,supported_component:e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sleep,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,False,False,24,3,3,0,1,0,1,0.791666666667,1.54010695187,0.940566239988,0.228260869565,0.0226903944883,19;3;2,0,1,0,0,0.986842105263,0.684210526316,True,2,False,True
