project_id,runtime_task_id,base_task_id,condition,dataset_group,worker_id,annotation_id,raw_point_count,raw_valid,raw_reason,calculation_valid,calculation_reason,repair_applied,repair_status,dropped_point_index,orphan_candidate_count
66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,C1_anchor_all,27,5817,8,True,,True,,False,not_needed,,0
66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,C1_anchor_all,28,5763,8,True,,True,,False,not_needed,,0
66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,C1_anchor_all,29,6359,8,True,,True,,False,not_needed,,0
66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,C1_anchor_all,30,5998,8,True,,True,,False,not_needed,,0
66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,C1_anchor_all,31,5934,8,True,,True,,False,not_needed,,0
66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,C1_anchor_all,32,6347,8,True,,True,,False,not_needed,,0
66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,C1_anchor_all,33,5762,8,True,,True,,False,not_needed,,0
66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,C1_anchor_all,34,5875,8,True,,True,,False,not_needed,,0
66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,C1_anchor_all,35,5921,8,True,,True,,False,not_needed,,0
66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,C1_anchor_all,36,5861,8,True,,True,,False,not_needed,,0
66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,C1_anchor_all,37,5862,12,True,,True,,False,not_needed,,0
66,3183,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,C1_anchor_all,27,5842,10,True,,True,,False,not_needed,,0
66,3183,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,C1_anchor_all,28,5764,12,True,,True,,False,not_needed,,0
66,3183,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,C1_anchor_all,29,6419,10,True,,True,,False,not_needed,,0
66,3183,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,C1_anchor_all,30,6449,10,True,,True,,False,not_needed,,0
66,3183,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,C1_anchor_all,31,5937,10,True,,True,,False,not_needed,,0
66,3183,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,C1_anchor_all,32,6348,10,True,,True,,False,not_needed,,0
66,3183,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,C1_anchor_all,33,5803,12,True,,True,,False,not_needed,,0
66,3183,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,C1_anchor_all,34,6042,8,True,,True,,False,not_needed,,0
