projected_independent_building_count,projected_paired_task_count_if_current_tasks_per_building,observed_building_mean_sd,projected_standard_error,projected_95ci_half_width,approximate_80pct_minimum_detectable_absolute_effect,assumed_true_absolute_effect,approximate_two_sided_power,current_task_mean_effect,assumption,warning
9,25,0.27583512312427627,0.09194504104142542,0.18020896899825098,0.2575918678604477,0.0,0.04999999999999993,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
9,25,0.27583512312427627,0.09194504104142542,0.18020896899825098,0.2575918678604477,0.05,0.08450814984915112,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
9,25,0.27583512312427627,0.09194504104142542,0.18020896899825098,0.2575918678604477,0.1,0.1926601194093538,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
9,25,0.27583512312427627,0.09194504104142542,0.18020896899825098,0.2575918678604477,0.15,0.3714106426574131,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
9,25,0.27583512312427627,0.09194504104142542,0.18020896899825098,0.2575918678604477,0.2,0.5852309394180537,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
18,50,0.27583512312427627,0.06501496201686735,0.1274269840092996,0.18214495654263166,0.0,0.04999999999999993,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
18,50,0.27583512312427627,0.06501496201686735,0.1274269840092996,0.18214495654263166,0.05,0.1200205765357204,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
18,50,0.27583512312427627,0.06501496201686735,0.1274269840092996,0.18214495654263166,0.1,0.33679920091766025,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
18,50,0.27583512312427627,0.06501496201686735,0.1274269840092996,0.18214495654263166,0.15,0.6357883318867963,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
18,50,0.27583512312427627,0.06501496201686735,0.1274269840092996,0.18214495654263166,0.2,0.86784288145087,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
27,75,0.27583512312427627,0.05308449419591815,0.10404369676152511,0.14872073425028795,0.0,0.04999999999999993,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
27,75,0.27583512312427627,0.05308449419591815,0.10404369676152511,0.14872073425028795,0.05,0.1561772784124057,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
27,75,0.27583512312427627,0.05308449419591815,0.10404369676152511,0.14872073425028795,0.1,0.4697006287022548,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
27,75,0.27583512312427627,0.05308449419591815,0.10404369676152511,0.14872073425028795,0.15,0.8066789612121195,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
27,75,0.27583512312427627,0.05308449419591815,0.10404369676152511,0.14872073425028795,0.2,0.9646667477972821,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
36,100,0.27583512312427627,0.04597252052071271,0.09010448449912549,0.12879593393022384,0.0,0.04999999999999993,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
36,100,0.27583512312427627,0.04597252052071271,0.09010448449912549,0.12879593393022384,0.05,0.1926601194093538,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
36,100,0.27583512312427627,0.04597252052071271,0.09010448449912549,0.12879593393022384,0.1,0.5852309394180537,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
36,100,0.27583512312427627,0.04597252052071271,0.09010448449912549,0.12879593393022384,0.15,0.9036879061443415,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
36,100,0.27583512312427627,0.04597252052071271,0.09010448449912549,0.12879593393022384,0.2,0.9915863811016244,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
54,150,0.27583512312427627,0.03753640582179165,0.07357000351979125,0.10516143969142105,0.0,0.04999999999999993,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
54,150,0.27583512312427627,0.03753640582179165,0.07357000351979125,0.10516143969142105,0.05,0.26552430204793187,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
54,150,0.27583512312427627,0.03753640582179165,0.07357000351979125,0.10516143969142105,0.1,0.7593217174265614,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
54,150,0.27583512312427627,0.03753640582179165,0.07357000351979125,0.10516143969142105,0.15,0.9791326796178416,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
54,150,0.27583512312427627,0.03753640582179165,0.07357000351979125,0.10516143969142105,0.2,0.999621691964455,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
72,200,0.27583512312427627,0.032507481008433675,0.0637134920046498,0.09107247827131583,0.0,0.04999999999999993,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
72,200,0.27583512312427627,0.032507481008433675,0.0637134920046498,0.09107247827131583,0.05,0.33679920091766025,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
72,200,0.27583512312427627,0.032507481008433675,0.0637134920046498,0.09107247827131583,0.1,0.86784288145087,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
72,200,0.27583512312427627,0.032507481008433675,0.0637134920046498,0.09107247827131583,0.15,0.9960270319546274,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
72,200,0.27583512312427627,0.032507481008433675,0.0637134920046498,0.09107247827131583,0.2,0.9999862030759529,-0.010005349170248805,independent_future_buildings_with_current_building_level_variance_and_comparable_design,projection_not_guarantee;more_labels_on_same_image_do_not_create_independent_buildings
