base_task_id,building_id,condition,worker_id,annotation_id,cluster_rank,cluster_support,cluster_count,is_largest_mode,is_supported_minority_mode,n_pairs,task_centered_n_pairs,assignment_provenance,formal_use_allowed,worker_process_class
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,27,a3e7b70ed81a76c41c0f,1,4,2,True,False,4.0,0.0,original_assignment,False,standard_assignment
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,28,98fc2a900301cecb1f95,1,4,2,True,False,4.0,0.0,original_assignment,False,standard_assignment
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,10,bd14297e6f34d6705898,1,4,2,True,False,4.0,0.0,original_assignment,False,standard_assignment
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,6,9ba553c8c79977374da6,1,4,2,True,False,4.0,0.0,original_assignment,False,standard_assignment
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,30,d5c88ef7632f0c3ce88f,2,1,2,False,False,6.0,2.0,original_assignment,False,standard_assignment
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,27,4d53581ef39bae3bf5d1,1,3,2,True,False,6.0,0.0,original_assignment,False,standard_assignment
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,30,c89be364009b1fc0544e,1,3,2,True,False,6.0,0.0,original_assignment,False,standard_assignment
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,12,e7909355f0df5dd9276a,1,3,2,True,False,6.0,0.0,original_assignment,False,standard_assignment
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,35,b02aea4f86afbc5430f7,2,2,2,False,True,4.0,-2.0,original_assignment,False,standard_assignment
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,13,ec6c38a862059f07bf7f,2,2,2,False,True,4.0,-2.0,original_assignment,False,standard_assignment
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,31,6051dfca1aade85a07a8,1,3,3,True,False,4.0,0.0,original_assignment,False,standard_assignment
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,34,dec8403a4ddac6db3115,1,3,3,True,False,4.0,0.0,authorized_replacement_assignment,False,standard_assignment
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,8,74c45cde6e9ca313500c,1,3,3,True,False,4.0,0.0,original_assignment,False,standard_assignment
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,32,e6f01175aabbf9fcafe7,2,1,3,False,False,6.0,2.0,original_assignment,False,standard_assignment
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,18,c63d05f140fcc66be4df,3,1,3,False,False,8.0,4.0,original_assignment,False,standard_assignment
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,33,678fd1b3368b3c6302ad,1,4,1,True,False,8.0,0.0,original_assignment,False,standard_assignment
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,36,53cffa383a4d19c3e30e,1,4,1,True,False,8.0,0.0,original_assignment,False,standard_assignment
