stage,condition,base_task_id,worker_id,response_id,meta_group,label_set_json,label_cardinality,canonical_join_status,image_reference
C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,2,C1|69|3294|2|4843,other_choice,"[""normal""]",1,matched,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,2,C1|69|3294|2|4843,difficulty,"[""occlusion"", ""reflection_transparency""]",2,matched,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,8,C1|69|3294|8|6105,other_choice,"[""normal""]",1,matched,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,8,C1|69|3294|8|6105,difficulty,"[""occlusion""]",1,matched,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,10,C1|69|3294|10|6157,other_choice,"[""normal""]",1,matched,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,10,C1|69|3294|10|6157,difficulty,"[""occlusion""]",1,matched,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,17,C1|69|3294|17|6188,other_choice,"[""normal""]",1,matched,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,17,C1|69|3294|17|6188,difficulty,"[""occlusion""]",1,matched,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,13,C1|69|3294|13|6216,other_choice,"[""normal""]",1,matched,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,13,C1|69|3294|13|6216,difficulty,"[""occlusion""]",1,matched,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
