stage,condition,base_task_id,meta_group,response_count,worker_count,pair_count,pairwise_jaccard_mean,pairwise_jaccard_median,mean_label_entropy,maximum_label_entropy,mean_label_cardinality,sd_label_cardinality,label_union_count,label_prevalence_json,raw_or_canonical_mix,measurement_note
C1,manual,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,difficulty,5,5,10,0.8,1.0,0.25020121176909393,0.5004024235381879,1.2,0.4472135954999579,2,"{""occlusion"": 1.0, ""seam"": 0.2}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,other_choice,3,3,3,1.0,1.0,0.0,0.0,1.0,0.0,1,"{""normal"": 1.0}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,scope,2,2,1,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0,0.0,2,"{""oos_open_or_ambiguous_boundary"": 0.5, ""oos_other"": 0.5}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,difficulty,3,3,3,0.6666666666666666,0.5,0.3182570841474064,0.6365141682948128,1.3333333333333333,0.5773502691896257,2,"{""low_texture"": 1.0, ""occlusion"": 0.3333333333333333}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,other_choice,3,3,3,0.3333333333333333,0.5,0.6365141682948128,0.6365141682948128,1.3333333333333333,0.5773502691896257,2,"{""normal"": 0.6666666666666666, ""trivial"": 0.6666666666666666}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,scope,3,3,3,0.3333333333333333,0.0,0.6365141682948128,0.6365141682948128,1.0,0.0,2,"{""oos_open_or_ambiguous_boundary"": 0.6666666666666666, ""oos_other"": 0.3333333333333333}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,difficulty,5,5,10,0.6333333333333333,0.5,0.33360161569212526,0.5004024235381879,1.4,0.5477225575051661,3,"{""low_texture"": 0.2, ""occlusion"": 1.0, ""seam"": 0.2}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,other_choice,4,4,6,0.75,0.75,0.28116757230940415,0.5623351446188083,1.25,0.5,2,"{""normal"": 1.0, ""trivial"": 0.25}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,scope,2,2,1,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0,0.0,2,"{""oos_open_or_ambiguous_boundary"": 0.5, ""oos_other"": 0.5}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,difficulty,4,4,6,1.0,1.0,0.0,0.0,1.0,0.0,1,"{""occlusion"": 1.0}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,other_choice,6,6,15,0.7333333333333333,0.5,0.3182570841474064,0.6365141682948128,1.3333333333333333,0.5163977794943223,2,"{""normal"": 1.0, ""trivial"": 0.3333333333333333}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,difficulty,5,5,10,1.0,1.0,0.0,0.0,1.0,0.0,1,"{""occlusion"": 1.0}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,other_choice,4,4,6,0.5,0.5,0.5623351446188083,0.5623351446188083,1.0,0.0,2,"{""low_quality"": 0.25, ""normal"": 0.75}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,scope,2,2,1,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0,0.0,2,"{""oos_open_or_ambiguous_boundary"": 0.5, ""oos_other"": 0.5}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,other_choice,5,5,10,0.4666666666666666,0.5,0.557938838028544,0.6730116670092565,1.6,0.5477225575051661,3,"{""low_quality"": 0.2, ""normal"": 0.6, ""trivial"": 0.8}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,scope,2,2,1,1.0,1.0,0.0,0.0,1.0,0.0,1,"{""oos_split_or_multi_level"": 1.0}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,difficulty,4,4,6,0.75,0.75,0.28116757230940415,0.5623351446188083,1.25,0.5,2,"{""occlusion"": 1.0, ""seam"": 0.25}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,other_choice,5,5,10,0.8,1.0,0.25020121176909393,0.5004024235381879,1.2,0.4472135954999579,2,"{""normal"": 1.0, ""trivial"": 0.2}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,difficulty,5,5,10,1.0,1.0,0.0,0.0,1.0,0.0,1,"{""occlusion"": 1.0}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,other_choice,5,5,10,0.5,0.5,0.5867070452737222,0.6730116670092565,1.2,0.4472135954999579,2,"{""low_quality"": 0.4, ""normal"": 0.8}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,scope,1,1,0,,,0.0,0.0,1.0,0.0,1,"{""oos_other"": 1.0}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,difficulty,4,4,6,0.13888888888888887,0.0,0.6277411625893767,0.6931471805599453,1.5,0.5773502691896257,4,"{""low_texture"": 0.25, ""occlusion"": 0.5, ""reflection_transparency"": 0.25, ""seam"": 0.5}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,other_choice,4,4,6,0.75,0.75,0.28116757230940415,0.5623351446188083,1.25,0.5,2,"{""normal"": 1.0, ""trivial"": 0.25}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,scope,1,1,0,,,0.0,0.0,1.0,0.0,1,"{""oos_open_or_ambiguous_boundary"": 1.0}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,difficulty,4,4,6,0.75,0.75,0.28116757230940415,0.5623351446188083,1.25,0.5,2,"{""low_texture"": 0.25, ""occlusion"": 1.0}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,other_choice,5,5,10,0.8,1.0,0.25020121176909393,0.5004024235381879,1.2,0.4472135954999579,2,"{""normal"": 1.0, ""trivial"": 0.2}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,difficulty,4,4,6,0.3194444444444444,0.29166666666666663,0.5950381536040925,0.6931471805599453,1.75,0.9574271077563381,4,"{""low_texture"": 0.75, ""occlusion"": 0.25, ""reflection_transparency"": 0.5, ""seam"": 0.25}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,other_choice,6,6,15,0.3333333333333333,0.0,0.5745298484853101,0.6365141682948128,1.1666666666666667,0.408248290463863,3,"{""low_quality"": 0.16666666666666666, ""normal"": 0.6666666666666666, ""trivial"": 0.3333333333333333}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,scope,2,2,1,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0,0.0,2,"{""oos_open_or_ambiguous_boundary"": 0.5, ""oos_other"": 0.5}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,difficulty,4,4,6,0.4444444444444444,0.41666666666666663,0.5623351446188083,0.5623351446188083,1.75,0.5,3,"{""low_texture"": 0.75, ""occlusion"": 0.75, ""seam"": 0.25}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,other_choice,5,5,10,0.6,1.0,0.5004024235381879,0.5004024235381879,1.0,0.0,2,"{""normal"": 0.8, ""trivial"": 0.2}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,scope,1,1,0,,,0.0,0.0,1.0,0.0,1,"{""oos_open_or_ambiguous_boundary"": 1.0}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,difficulty,5,5,10,0.33333333333333337,0.41666666666666663,0.6154752525189003,0.6730116670092565,1.4,0.5477225575051661,3,"{""low_texture"": 0.6, ""reflection_transparency"": 0.2, ""seam"": 0.6}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,other_choice,6,6,15,0.5666666666666667,0.5,0.5435376885805587,0.6365141682948128,1.1666666666666667,0.408248290463863,2,"{""low_quality"": 0.3333333333333333, ""normal"": 0.8333333333333334}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,scope,1,1,0,,,0.0,0.0,1.0,0.0,1,"{""oos_open_or_ambiguous_boundary"": 1.0}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,difficulty,5,5,10,0.6833333333333333,0.6666666666666666,0.33360161569212526,0.5004024235381879,2.0,0.7071067811865476,3,"{""low_texture"": 0.2, ""occlusion"": 0.8, ""reflection_transparency"": 1.0}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,other_choice,5,5,10,1.0,1.0,0.0,0.0,1.0,0.0,1,"{""normal"": 1.0}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,difficulty,5,5,10,0.4,0.3333333333333333,0.6154752525189003,0.6730116670092565,1.8,1.0954451150103324,3,"{""occlusion"": 0.8, ""reflection_transparency"": 0.6, ""seam"": 0.4}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
C1,manual,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,other_choice,2,2,1,1.0,1.0,0.0,0.0,1.0,0.0,1,"{""normal"": 1.0}",matched,all_observed_response_versions_descriptive_not_independent_if_same_worker_revised
