canonical_id,stage,condition,dataset_group,source_file,project_id,runtime_task_id,base_task_id,worker_id,annotation_id,created_at,updated_at,raw_keypoint_count,raw_even_point_candidate,strict_valid,strict_reason,strict_vertical_boundary_count,pairing_method,seam_crossing_detected
C1|66|3182|27|5817,C1,manual,C1_anchor_all,export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,27,5817,2026-07-05T01:09:45.131888Z,2026-07-05T01:09:45.131905Z,8,True,True,,4,raw_order_pairing,True
C1|66|3182|28|5763,C1,manual,C1_anchor_all,export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,28,5763,2026-07-03T17:51:58.050714Z,2026-07-03T17:51:58.050733Z,8,True,True,,4,raw_order_pairing,True
C1|66|3182|29|6359,C1,manual,C1_anchor_all,export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,29,6359,2026-07-16T14:24:04.072435Z,2026-07-16T14:24:04.072449Z,8,True,True,,4,raw_order_pairing,True
C1|66|3182|30|5998,C1,manual,C1_anchor_all,export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,30,5998,2026-07-07T11:34:07.838343Z,2026-07-07T11:34:07.838359Z,8,True,True,,4,raw_order_pairing,True
C1|66|3182|31|5934,C1,manual,C1_anchor_all,export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,31,5934,2026-07-07T06:36:46.354566Z,2026-07-07T06:36:46.354581Z,8,True,True,,4,circular_x_pairing,True
C1|66|3182|32|6347,C1,manual,C1_anchor_all,export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,32,6347,2026-07-16T06:25:43.988410Z,2026-07-17T00:43:11.838652Z,8,True,True,,4,circular_x_pairing,True
C1|66|3182|33|5762,C1,manual,C1_anchor_all,export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,33,5762,2026-07-03T15:28:05.106555Z,2026-07-03T15:28:05.106572Z,8,True,True,,4,raw_order_pairing,True
C1|66|3182|34|5875,C1,manual,C1_anchor_all,export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,34,5875,2026-07-06T08:35:23.375236Z,2026-07-06T08:35:23.375254Z,8,True,True,,4,raw_order_pairing,True
C1|66|3182|35|5921,C1,manual,C1_anchor_all,export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,35,5921,2026-07-07T05:33:07.431450Z,2026-07-07T05:33:07.431464Z,8,True,True,,4,raw_order_pairing,True
C1|66|3182|36|5861,C1,manual,C1_anchor_all,export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3182,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,36,5861,2026-07-05T16:19:47.554530Z,2026-07-07T08:28:42.765632Z,8,True,True,,4,raw_order_pairing,True
