stage,condition,dataset_group,base_task_id,selected_support,distinct_workers,even_point_candidate_support,strict_valid_support,strict_invalid_support,all_selected_pair_count,strict_pair_count,boundary_metric_pair_count,wall_metric_pair_count,metric_pair_coverage_over_all_selected,boundary_distance_mean,boundary_distance_median,boundary_distance_q90,wall_distance_mean,wall_distance_median,wall_distance_q90,vertical_boundary_count_disagreement,selected_point_counts_json,strict_vertical_boundary_counts_json,strict_boundary_count_diverse
C1,manual,C1_core_all,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,5,5,5,5,0,10,10,10,10,1.0,0.0054493970895684194,0.006655069043631445,0.007122951988402626,0.015121251700088201,0.018462770758916003,0.02122591705905764,0.4,"[8, 8, 12, 8, 8]","[4, 4, 6, 4, 4]",True
C1,manual,C1_core_all,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,5,5,5,5,0,10,10,10,10,1.0,0.03886463371699152,0.03308547698822917,0.06742627618068209,0.07130940349973805,0.07068859798254346,0.10800269830004142,0.4,"[12, 8, 8, 8, 8]","[6, 4, 4, 4, 4]",True
C1,manual,C1_core_all,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,6,6,6,6,0,15,15,15,15,1.0,0.04316564706305545,0.04198480842520347,0.07134526056881813,0.06946449565288508,0.06075420032843826,0.14969662520051313,0.6,"[12, 12, 8, 8, 12, 8]","[6, 6, 4, 4, 6, 4]",True
C1,manual,C1_core_all,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,6,6,6,6,0,15,15,15,15,1.0,0.014422075042997166,0.020642793036908635,0.027177560895872088,0.017370492414335505,0.02332101787697538,0.03452648604029933,0.6,"[8, 12, 8, 8, 16, 8]","[4, 6, 4, 4, 8, 4]",True
C1,manual,C1_core_all,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,5,5,5,5,0,10,10,10,10,1.0,0.020693587549895455,0.014869833768971163,0.03543334230392555,0.00833478210363614,0.005837499270394175,0.014255829783820327,0.7,"[20, 12, 16, 20, 20]","[10, 6, 8, 10, 10]",True
C1,manual,C1_core_all,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,5,5,5,5,0,10,10,10,10,1.0,0.03557957978089874,0.0395648022078261,0.0612425832266553,0.06006509250861638,0.06835202256191508,0.11391366409735894,0.4,"[16, 8, 8, 8, 8]","[8, 4, 4, 4, 4]",True
C1,manual,C1_core_all,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,5,5,5,5,0,10,10,10,10,1.0,0.021647045098489304,0.01635420697009221,0.03899712668441774,0.021766961454019462,0.009150564321945553,0.04633815825176761,0.0,"[8, 8, 8, 8, 8]","[4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,5,5,5,5,0,10,10,10,10,1.0,0.012870915531018434,0.01353755767379533,0.01880997963177391,0.007421613903701263,0.008491527317089798,0.009966346114761491,0.4,"[12, 12, 10, 12, 12]","[6, 6, 5, 6, 6]",True
C1,manual,C1_core_all,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,5,5,5,5,0,10,10,10,10,1.0,0.026151876580603983,0.007163563472466494,0.05856898557938187,0.021907582540240157,0.012071513684639046,0.04758500145441517,0.4,"[8, 8, 12, 8, 8]","[4, 4, 6, 4, 4]",True
C1,manual,C1_core_all,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,5,5,5,5,0,10,10,10,10,1.0,0.011650089985680257,0.011997326013272802,0.016065037917529276,0.006191559875233265,0.0064900133266699855,0.007707248285320233,0.0,"[8, 8, 8, 8, 8]","[4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,6,6,6,6,0,15,15,15,15,1.0,0.03251429241446242,0.03634061037295577,0.04819679329240185,0.018219728179553855,0.021886818992245316,0.03157512650131712,0.3333333333333333,"[8, 8, 10, 8, 8, 8]","[4, 4, 5, 4, 4, 4]",True
C1,manual,C1_core_all,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,5,5,5,5,0,10,10,10,10,1.0,0.046519633606067715,0.027252677559042593,0.08691216035865303,0.03197198027527452,0.017300104549493878,0.059354724066133846,0.7,"[20, 8, 20, 18, 20]","[10, 4, 10, 9, 10]",True
C1,manual,C1_core_all,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,6,6,6,6,0,15,15,15,15,1.0,0.007917128791897484,0.006968915084364036,0.013508152121028849,0.005043887561102434,0.004431776559586265,0.008573734345747708,0.0,"[8, 8, 8, 8, 8, 8]","[4, 4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,5,5,5,5,0,10,10,10,10,1.0,0.021025286880571138,0.025682306438627345,0.03268379117425558,0.008457997544752715,0.006449804753777766,0.0144508627132371,0.0,"[8, 8, 8, 8, 8]","[4, 4, 4, 4, 4]",False
