image_id,building_id,historical_response_n,raw_n,usable_n,raw_unique_workers,usable_unique_workers,dense_ge16,raw_point_counts_json,effective_point_counts_json,raw_stage_counts_json,raw_condition_counts_json,raw_context_n,usable_context_n,raw_duplicate_workers_json,usable_duplicate_workers_json,empty_n,coordinate_invalid_n,confirmed_ambiguous_excluded_n,confirmed_point_removed_n,unconfirmed_odd_usable_n,raw_worker_ids_json,usable_worker_ids_json,usable_canonical_ids_json
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,3,3,3,3,3,False,"{""8"":3}","{""8"":3}","{""C2-A-RP"":3}","{""manual"":3}",2,2,{},{},0,0,0,0,0,"[""8"",""31"",""34""]","[""8"",""31"",""34""]","[""17be19782ab6f1fa54ca"",""3651a92290f6ddca5577"",""b7ad646fe3dc3b0d378e""]"
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,3,3,3,3,3,False,"{""8"":3}","{""8"":3}","{""C2-A-RP"":3}","{""manual"":3}",2,2,{},{},0,0,0,0,0,"[""8"",""31"",""34""]","[""8"",""31"",""34""]","[""022a2edfc36f1862ff6d"",""06925f70038be9cf6628"",""8bdb2a37829bea126cde""]"
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,1,1,1,1,1,False,"{""8"":1}","{""8"":1}","{""C2-A-RP"":1}","{""manual"":1}",1,1,{},{},0,0,0,0,0,"[""11""]","[""11""]","[""8768c3642fee588c06f4""]"
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,5,5,5,5,5,False,"{""8"":4,""12"":1}","{""8"":4,""12"":1}","{""C1"":5}","{""manual"":5}",1,1,{},{},0,0,0,0,0,"[""6"",""10"",""27"",""28"",""30""]","[""6"",""10"",""27"",""28"",""30""]","[""98fc2a900301cecb1f95"",""9ba553c8c79977374da6"",""a3e7b70ed81a76c41c0f"",""bd14297e6f34d6705898"",""d5c88ef7632f0c3ce88f""]"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,26,26,25,26,25,True,"{""0"":1,""8"":24,""12"":1}","{""8"":24,""12"":1}","{""P1"":26}","{""manual"":26}",1,1,{},{},1,0,0,0,0,"[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""13d54802362fd649"",""2099f09dd0969482"",""2c487c4855775399"",""3040d441f80810e4"",""4bfc0d70b116500c"",""59650fcf724f11bc"",""5f9c3715d22ae336"",""674ea0b8b27fa7c7"",""6a317a400188cb9b"",""6c26d77b8fe5e104"",""84b0461c974c6f08"",""9130e3a10b708f2c"",""922f49b7c63582f6"",""9bf982556e9845da"",""9c8a68204bbf22bf"",""9c964b13299f32cb"",""a73527487e1ba30e"",""b36f0dc2bb36d9b6"",""b86432f92a43add3"",""be7a92e1f36d2292"",""cbfa1db9b3b7ec4d"",""de8eb69ecb323323"",""e43b14b1a0c01b0f"",""f25bd8df99652c2b"",""f5958e31992e703a""]"
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,26,26,25,26,25,True,"{""0"":1,""6"":1,""8"":4,""12"":2,""14"":1,""16"":2,""18"":1,""20"":13,""22"":1}","{""6"":1,""8"":4,""12"":2,""14"":1,""16"":2,""18"":1,""20"":13,""22"":1}","{""P1"":26}","{""oos"":26}",1,1,{},{},1,0,0,0,0,"[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""03e01729807e10b2"",""1870bb9b73b8e731"",""255bcfbc04e42564"",""31ba2b8e12c0dae4"",""42cd5a13d2ad90e1"",""4785d000f2625c42"",""5dec5e1874a7a054"",""60bba1fdafe4c9bd"",""62350f1ba1f6f629"",""712e3eb9664c8fbc"",""8044ecb0849dfec0"",""85ae90c2f81b66df"",""8ada6a2e55916c35"",""8cd45265d79ac735"",""95c53ad8a5a96289"",""9e238cb62af7d82e"",""9f069c3bb68abdf2"",""b66bb9496c68e5be"",""c345eac5108fcf77"",""ced04aaa4e1efa7e"",""db928628d69b3f0a"",""dc2410f47b0ae7f6"",""dcf84084e2f4a4bf"",""e5a17929a8d3ddab"",""f7889df0393772a8""]"
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,26,26,25,26,25,True,"{""0"":1,""6"":1,""8"":13,""10"":2,""11"":1,""12"":3,""14"":2,""16"":3}","{""6"":1,""8"":13,""10"":2,""11"":1,""12"":3,""14"":2,""16"":3}","{""P1"":26}","{""oos"":26}",1,1,{},{},1,0,0,0,1,"[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""00a98959a0e8cc08"",""0425a943a10eec7b"",""075417b5f26b1723"",""1c503eddee825845"",""27dbf5c9cdf792b8"",""2cb026abc8f06cca"",""32eaa5e855ae90ee"",""3aa0bf741c4b39c3"",""4646bfc46dc3b9ce"",""4d3e4911d8f07aa2"",""58c295ccb812be32"",""628f11c0e0520639"",""7ed4383a08375303"",""81feb0e35cc60306"",""82fb1dbda549df08"",""925ff212fc8d9104"",""a3ab6a5900bc68ec"",""a800c13498de5044"",""b2e72f1eccfff1ce"",""bba1f0de8ac71831"",""bf04983c0e9d6481"",""bf182260d97e72b4"",""c16f76b61a0c2732"",""f227fac3913dbc27"",""ffa6a35684824582""]"
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,26,0,0,0,0,False,{},{},{},{},0,0,{},{},0,0,0,0,0,[],[],[]
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,5,5,5,5,5,False,"{""8"":4,""12"":1}","{""8"":4,""12"":1}","{""C1"":5}","{""manual"":5}",1,1,{},{},0,0,0,0,0,"[""6"",""10"",""11"",""17"",""33""]","[""6"",""10"",""11"",""17"",""33""]","[""02c17487f3c26175d06c"",""19f0ec5e2db5240ffd86"",""44137bda12cf49a72738"",""bc6afe53ebf4fa056431"",""fe51149470d295897000""]"
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,6,6,6,6,6,False,"{""8"":3,""12"":3}","{""8"":3,""12"":3}","{""C1"":6}","{""manual"":6}",1,1,{},{},0,0,0,0,0,"[""12"",""13"",""27"",""30"",""31"",""35""]","[""12"",""13"",""27"",""30"",""31"",""35""]","[""1c3df8c137a169fee41d"",""4d53581ef39bae3bf5d1"",""b02aea4f86afbc5430f7"",""c89be364009b1fc0544e"",""e7909355f0df5dd9276a"",""ec6c38a862059f07bf7f""]"
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,10,6,6,6,6,False,"{""8"":4,""12"":1,""16"":1}","{""8"":4,""12"":1,""16"":1}","{""C1"":6}","{""manual"":6}",1,1,{},{},0,0,0,0,0,"[""8"",""14"",""18"",""31"",""32"",""34""]","[""8"",""14"",""18"",""31"",""32"",""34""]","[""6051dfca1aade85a07a8"",""74c45cde6e9ca313500c"",""89f6eb36f9ae94e81adb"",""c63d05f140fcc66be4df"",""dec8403a4ddac6db3115"",""e6f01175aabbf9fcafe7""]"
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,9,5,5,5,5,False,"{""12"":1,""16"":1,""20"":3}","{""12"":1,""16"":1,""20"":3}","{""C1"":5}","{""manual"":5}",1,1,{},{},0,0,0,0,0,"[""1"",""2"",""33"",""34"",""37""]","[""1"",""2"",""33"",""34"",""37""]","[""517087c6def062efa361"",""8125fd4575ecfc155a63"",""84ac11f23b306b7457b4"",""a25753564e8d0fb8f8d6"",""d22e8df3dcff4100efb5""]"
