split,building_id,image_count
test,uNb9QFRL6hY,88
test,wc2JMjhGNzB,68
test,B6ByNegPMKs,51
test,e9zR4mvMWw7,41
test,yqstnuAEVhm,36
test,q9vSo1VnCiC,34
test,7y3sRwLe3Va,26
test,X7HyMhZNoso,26
test,UwV83HsGsw3,23
test,rPc6DW4iMge,22
test,b8cTxDM8gDG,19
test,x8F5xyUWy9e,11
test,Z6MFQCViBuw,10
test,kEZ7cmS4wCh,2
test,rqfALeAoiTq,1
validation,pa4otMbVnkk,49
validation,jtcxE69GiFV,34
validation,S9hNv5qa7GM,23
validation,pRbA3pwrgk9,20
validation,2t7WUuJeko7,17
validation,zsNo4HB9uLZ,16
validation,jh4fc5c5qoQ,15
validation,VFuaQ6m2Qom,11
validation,VLzqgDo317F,3
validation,ZMojNkEp431,2
