base_task_id,building_id,worker_id,canonical_annotation_id,model_issue_choice,tag_codes,acceptable_tag,corner_drift_reported,U_initial,U_final,delta_U,geometry_edit_rmse_px,edit_magnitude_band,topology_changed,material_edit,task_final_scope,image_reference
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,8,aa3b4f3365dda18b56bc,over_parsing,in_scope;occlusion;topology_issue,False,False,1.0,0.9802568312419374,-0.0197431687580625,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3.jpg
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,10,2aea8c4c7647e5dcbf4f,over_parsing,in_scope;occlusion;topology_issue,False,False,1.0,0.9802568312419374,-0.0197431687580625,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3.jpg
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,35,8f8a8cc073aa91a7c1c7,corner_drift,corner_issue;occlusion;oos_open_or_ambiguous_boundary,False,True,1.0,0.940742270169824,-0.0592577298301759,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3.jpg
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,1,456be942f0947a669713,acceptable,acceptable;in_scope;trivial,True,False,1.0,0.9255058562775856,-0.0744941437224143,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_7018ca302c584d0d85024187f3568460.jpg
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,10,70e8f5079c7b09c6af6d,over_parsing,in_scope;low_texture;reflection_transparency;topology_issue,False,False,1.0,0.9217725469364718,-0.0782274530635281,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37.jpg
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,27,a54fcd23c12204b62cba,corner_drift;over_parsing,corner_issue;in_scope;reflection_transparency;topology_issue,False,True,1.0,0.8291959485649764,-0.1708040514350236,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37.jpg
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,37,bb9ad0084abc09c47837,corner_drift;over_parsing,corner_issue;in_scope;seam;topology_issue,False,True,1.0,0.9125201918328744,-0.0874798081671256,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37.jpg
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,29,e33b39ba56ff49c56427,acceptable,acceptable;in_scope;occlusion,True,False,1.0,0.8203601256814459,-0.1796398743185541,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de.jpg
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,34,013253d9bc0db4d66615,acceptable,acceptable;in_scope;occlusion,True,False,1.0,0.8422372795194746,-0.1577627204805254,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de.jpg
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,37,fcb7e53adf42c4422ae7,over_parsing,in_scope;occlusion;topology_issue,False,False,1.0,0.9124795991698624,-0.0875204008301374,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de.jpg
