canonical_annotation_id,worker_id,base_task_id,condition,geometry_pool_eligible,geometry_pool_exclusion_reason
0f006ad814591f20f1d7,27,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,True,
a5582527e1e55759fca4,28,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,True,
ddc38d03eaf0ed686dbe,29,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,True,
762aad63d41c0473582f,30,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,True,
944fc693a5243b08b5ee,31,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,True,
d37f314fba3b67c55956,32,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,True,
9e082eaf47377454a352,33,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,True,
779f777343654b55ad95,34,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,True,
3e053dc275632e30f220,35,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,True,
beebb1979f052693f701,36,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,True,
1623fbedf957f0be9421,37,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,True,
3c91745dff848ace0009,27,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,True,
0f5e3fb0af36b839fed2,28,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,True,
9fe10525cafa9b114fa8,29,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,True,
4bee42371b5ecdf799ee,30,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,True,
169fc30c432425281989,31,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,True,
e4c35e7a0869954598a0,32,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,True,
f4fb215d725bea31d572,33,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,True,
a56ee6d45d0f25f3eed8,34,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,True,
a7cd831fc464ecea2892,35,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,True,
f52f3c5633b4d227b132,36,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,True,
7ac0106c722944ffcdb5,37,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,True,
78dc36e89fc34111fd75,27,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,True,
036f0b79fcb891d33e1d,28,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,True,
e4af7c47e67b1c37bb93,29,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,True,
ad2a6827eaaf625d72c4,30,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,True,
f2617cc49b4c3cd19938,31,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,True,
27d6bc8646fb2b446424,32,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,True,
48a03efd0568d764b14c,33,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,True,
23f6609f87c66a85d17b,34,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,True,
9971c6aae0055fa67213,35,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,True,
f447db699b5c09a195ce,36,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,True,
4f044fa1f2070a2eeaa3,37,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,True,
d9c1add75dab8315cd34,27,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,True,
