image_id,condition,grade,room_fold,other_source_statuses,status
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,simple,,[],no_supported_room_fold
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,difficult_candidate,view:7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,"[{""image_id"": ""7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9"", ""status"": ""no_history_in_this_condition""}]",no_assigned_same_condition_neighbor
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,simple,,[],no_supported_room_fold
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,simple,,[],no_supported_room_fold
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,difficult_candidate,,[],no_supported_room_fold
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,medium,view:S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,"[{""image_id"": ""S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""S9hNv5qa7GM_dbcf0a37c275473094e1160770291679"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""S9hNv5qa7GM_e5e6c99e38014827b50ad33cd22e3c9d"", ""status"": ""no_history_in_this_condition""}]",no_assigned_same_condition_neighbor
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,difficult_candidate,,[],no_supported_room_fold
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,semi,simple,,[],no_supported_room_fold
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,difficult_candidate,view:b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,"[{""image_id"": ""b8cTxDM8gDG_8316e9313299447bb1f574aaf8cbec73"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""b8cTxDM8gDG_b15db460058c41e8aa0c0720344daa30"", ""status"": ""no_history_in_this_condition""}]",no_assigned_same_condition_neighbor
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,simple,view:e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,"[{""image_id"": ""e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""e9zR4mvMWw7_d88c41884dc24efbb5c1b7dcf97998e9"", ""status"": ""no_history_in_this_condition""}]",no_assigned_same_condition_neighbor
