image_id,condition,building,cut,n_observed,n_excluded,n_reviewed_retained,n_imputed_retained,n_valid,total_clusters,supported_clusters,singletons,doubletons,singleton_share,supported_share,largest_share,effective_modes_simpson,entropy_bits,point_count_disagreement,within_cluster_median,sizes_descending,good_turing_missing_mass_proxy,chao_coverage_proxy,isolated_singletons,assignment_singletons_with_compatible_peer,min_supported_loo_jaccard,max_cross_compatible_share,weakly_separated_supported_pair,supported_point_counts,orders,actual_n,full_p_any,full_onset_median_conditional,full_p_by_2,full_requested_2_exceeds_observation,full_p_by_3,full_requested_3_exceeds_observation,full_p_by_4,full_requested_4_exceeds_observation,full_p_by_5,full_requested_5_exceeds_observation,full_p_by_6,full_requested_6_exceeds_observation,full_p_by_7,full_requested_7_exceeds_observation,full_p_by_8,full_requested_8_exceeds_observation,full_p_by_10,full_requested_10_exceeds_observation,full_p_by_12,full_requested_12_exceeds_observation,full_p_by_15,full_requested_15_exceeds_observation,full_p_by_18,full_requested_18_exceeds_observation,full_p_by_19,full_requested_19_exceeds_observation,core10_p_any,core10_onset_median_conditional,core10_p_by_2,core10_requested_2_exceeds_observation,core10_p_by_3,core10_requested_3_exceeds_observation,core10_p_by_4,core10_requested_4_exceeds_observation,core10_p_by_5,core10_requested_5_exceeds_observation,core10_p_by_6,core10_requested_6_exceeds_observation,core10_p_by_7,core10_requested_7_exceeds_observation,core10_p_by_8,core10_requested_8_exceeds_observation,core10_p_by_10,core10_requested_10_exceeds_observation,core10_p_by_12,core10_requested_12_exceeds_observation,core10_p_by_15,core10_requested_15_exceeds_observation,core10_p_by_18,core10_requested_18_exceeds_observation,core10_p_by_19,core10_requested_19_exceeds_observation,core15_p_any,core15_onset_median_conditional,core15_p_by_2,core15_requested_2_exceeds_observation,core15_p_by_3,core15_requested_3_exceeds_observation,core15_p_by_4,core15_requested_4_exceeds_observation,core15_p_by_5,core15_requested_5_exceeds_observation,core15_p_by_6,core15_requested_6_exceeds_observation,core15_p_by_7,core15_requested_7_exceeds_observation,core15_p_by_8,core15_requested_8_exceeds_observation,core15_p_by_10,core15_requested_10_exceeds_observation,core15_p_by_12,core15_requested_12_exceeds_observation,core15_p_by_15,core15_requested_15_exceeds_observation,core15_p_by_18,core15_requested_18_exceeds_observation,core15_p_by_19,core15_requested_19_exceeds_observation,core20_p_any,core20_onset_median_conditional,core20_p_by_2,core20_requested_2_exceeds_observation,core20_p_by_3,core20_requested_3_exceeds_observation,core20_p_by_4,core20_requested_4_exceeds_observation,core20_p_by_5,core20_requested_5_exceeds_observation,core20_p_by_6,core20_requested_6_exceeds_observation,core20_p_by_7,core20_requested_7_exceeds_observation,core20_p_by_8,core20_requested_8_exceeds_observation,core20_p_by_10,core20_requested_10_exceeds_observation,core20_p_by_12,core20_requested_12_exceeds_observation,core20_p_by_15,core20_requested_15_exceeds_observation,core20_p_by_18,core20_requested_18_exceeds_observation,core20_p_by_19,core20_requested_19_exceeds_observation,full_tail_no_gate,core_tail_10,core_tail_15,core_tail_20,late_quarter_new,late_half_new,late_quarter_structure,late_quarter_repartition,half_tv_all,half_tv_core,expert_tag,comment_json,selection_record_json,display_group,group_comment,source,use,previous_grade,previous_status,previous_cdf_by19,previous_any,scene_category,main_function_primary,room_id,room_status,draft_grade,draft_reason,strict_process_grade,strict_process_reason,singleton_count_limit,valid_only,semantic_status,evidence_qualifier,nearby_cuts_evaluated,nearby_all_same_grade,nearby_grade_pattern,nearby_same_assigned_grade,user_final_grade,user_decision_reason,user_cluster_semantics,user_singleton_assessment
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,2t7WUuJeko7,0.1,3,0,0,0,3,1,1,0,0,0,1,1,1,-0,0,0.0179958424951,3,0,1,0,0,1,0,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_people,0,0,通行与连接,unknown,supported_component:2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,supported_component,,too_few_valid_people,,too_few_valid_people,0,False,not_adjudicated,short_observed_pool,,,,,,,,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,2t7WUuJeko7,0.1,3,0,0,0,3,1,1,0,0,0,1,1,1,-0,0,0.065568976242,3,0,1,0,0,1,0,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_people,0,0,卧室,sleep,supported_component:2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,supported_component,,too_few_valid_people,,too_few_valid_people,0,False,not_adjudicated,short_observed_pool,,,,,,,,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,2t7WUuJeko7,0.1,1,0,0,0,1,1,0,1,0,1,0,1,1,-0,,,1,1,1,1,0,,0,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_people,0,0,卧室,sleep,supported_component:2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,supported_component,,too_few_valid_people,,too_few_valid_people,0,False,not_adjudicated,short_observed_pool,,,,,,,,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va,0.1,5,0,0,0,5,2,1,1,0,0.2,0.8,0.8,1.47058823529,0.721928094887,0.4,0.0626401137484,4;1,0.2,1,1,0,1,0,False,1,200,5,0.82,4,0,False,0,False,0.82,False,0.82,True,0.82,True,0.82,True,0.82,True,0.82,True,0.82,True,0.82,True,0.82,True,0.82,True,1,2,0.505,False,0.855,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,2,0.505,False,0.855,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,2,0.505,False,0.855,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,0,0.505,0.505,0.505,0.1775,0.21,0.1775,0,0.237,0,,,,,,,,,limited_horizon_or_order_sensitive,0,0,开放复合空间,kitchen,supported_component:7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,overlap_with_pending_or_unsupported,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,1,False,not_adjudicated,short_observed_pool,,,,,,,,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,0.1,24,0,0,0,24,1,1,0,0,0,1,1,1,-0,0,0.022511757592,24,0,1,0,0,1,0,False,1,200,24,1,2,0.825,False,0.895,False,0.99,False,0.995,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,2,0.875,False,0.91,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,2,0.875,False,0.91,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,2,0.875,False,0.91,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,1,1,1,0,0,0,0,0,0,,,,,,,,simple,assigned_observed_early,1,1,复合／待定,unknown,unresolved:7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,not_in_supported_component,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,3,False,not_adjudicated,none_of_these_flags,3,True,simple_candidate;simple_candidate;simple_candidate,True,,,,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,0.1,24,0,0,0,24,7,2,5,1,0.208333333333,0.791666666667,0.708333333333,1.93288590604,1.60634298817,0.235507246377,0.0227007242427,17;2;1;1;1;1;1,0.208333333333,0.795227920228,5,0,1,0,False,2,200,24,0.67,22,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.08,False,0.14,False,0.92,17,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.03,False,0.155,False,0.35,False,0.56,False,0.61,False,0.92,17,0,False,0,False,0,False,0,False,0,False,0,False,0.01,False,0.135,False,0.235,False,0.35,False,0.56,False,0.61,False,0.92,17,0,False,0,False,0,False,0,False,0,False,0.01,False,0.035,False,0.155,False,0.24,False,0.35,False,0.56,False,0.61,False,0.315,0.765,0.765,0.765,0.228333333333,0.239166666667,0.0450000000001,0,0.16625,0.0561540309106,,,,,,,,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,通行与连接,sleep,supported_component:7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,supported_component,,singleton_rich_boundary;not_automatically_difficult,,singleton_rich_boundary;not_automatically_difficult,3,False,requires_local_review,none_of_these_flags,3,True,;;,False,,,,
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.1,5,0,0,0,5,4,1,3,1,0.6,0.4,0.4,3.57142857143,1.92192809489,0.4,0,2;1;1;1,0.6,0.485714285714,3,0,1,0,False,1,200,5,0,,0,False,0,False,0,False,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0.635,3,0.075,False,0.325,False,0.635,False,0.635,True,0.635,True,0.635,True,0.635,True,0.635,True,0.635,True,0.635,True,0.635,True,0.635,True,0.635,3,0.075,False,0.325,False,0.635,False,0.635,True,0.635,True,0.635,True,0.635,True,0.635,True,0.635,True,0.635,True,0.635,True,0.635,True,0.635,3,0.075,False,0.325,False,0.635,False,0.635,True,0.635,True,0.635,True,0.635,True,0.635,True,0.635,True,0.635,True,0.635,True,0.635,True,0,0.075,0.075,0.075,0.6625,0.691666666667,0.2175,0,0.471,0.28,,,,,,,,,limited_horizon_or_order_sensitive,0,0,通行与连接,circulation,supported_component:7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,supported_component,,short_horizon_or_unconfirmed_multi_pattern,,short_horizon_or_unconfirmed_multi_pattern,1,False,not_adjudicated,short_observed_pool,,,,,,,,
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.1,6,0,0,0,6,5,1,4,1,0.666666666667,0.333333333333,0.333333333333,4.5,2.25162916739,0.6,0.0871720435997,2;1;1;1;1,0.666666666667,0.393939393939,4,0,1,0,False,1,200,6,0,,0,False,0,False,0,False,0,False,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0.695,4,0.075,False,0.21,False,0.435,False,0.695,False,0.695,True,0.695,True,0.695,True,0.695,True,0.695,True,0.695,True,0.695,True,0.695,True,0.695,4,0.075,False,0.21,False,0.435,False,0.695,False,0.695,True,0.695,True,0.695,True,0.695,True,0.695,True,0.695,True,0.695,True,0.695,True,0.695,4,0.075,False,0.21,False,0.435,False,0.695,False,0.695,True,0.695,True,0.695,True,0.695,True,0.695,True,0.695,True,0.695,True,0.695,True,0,0.21,0.21,0.21,0.7175,0.736666666667,0,0,0.4025,0.205,,,,,,,,,limited_horizon_or_order_sensitive,0,0,开放复合空间,dining,unresolved:7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,not_in_supported_component,,short_horizon_or_unconfirmed_multi_pattern,,short_horizon_or_unconfirmed_multi_pattern,1,False,not_adjudicated,short_observed_pool,,,,,,,,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,7y3sRwLe3Va,0.1,6,0,0,0,6,3,1,2,0,0.333333333333,0.666666666667,0.666666666667,2,1.25162916739,0.6,0.0177253478985,4;1;1,0.333333333333,0.761904761905,2,0,1,0,False,1,200,6,0.665,5,0,False,0,False,0,False,0.665,False,0.665,True,0.665,True,0.665,True,0.665,True,0.665,True,0.665,True,0.665,True,0.665,True,1,3,0.43,False,0.86,False,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,3,0.43,False,0.86,False,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,3,0.43,False,0.86,False,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,0,0.86,0.86,0.86,0.345,0.368333333333,0.345,0,0.230833333333,0,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f"", ""number"": 19, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,limited_horizon_or_order_sensitive,0,0,开放复合空间,living,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,,short_horizon_or_unconfirmed_multi_pattern,,short_horizon_or_unconfirmed_multi_pattern,1,False,not_adjudicated,short_observed_pool,3,True,;;,False,,,,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,7y3sRwLe3Va,0.1,4,0,0,0,4,1,1,0,0,0,1,1,1,-0,0,0,4,0,1,0,0,1,0,False,1,200,4,1,2,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,2,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,2,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,2,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,1,1,1,0,0,0,0,0,0,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f"", ""number"": 19, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,simple,assigned_observed_early,1,1,开放复合空间,living,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,1,False,not_adjudicated,short_observed_pool,,,,,,,,
