image_id,condition,k,grade,n_valid,cut
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,2,,3,0.1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,3,,3,0.1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,4,,3,0.1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,5,,3,0.1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,6,,3,0.1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,7,,3,0.1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,8,,3,0.1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,2,,3,0.1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,,3,0.1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,4,,3,0.1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,5,,3,0.1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,6,,3,0.1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,7,,3,0.1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,8,,3,0.1
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,2,,1,0.1
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,3,,1,0.1
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,4,,1,0.1
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,5,,1,0.1
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,6,,1,0.1
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,7,,1,0.1
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,8,,1,0.1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,2,,5,0.1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,3,,5,0.1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,4,simple_candidate,5,0.1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,simple_candidate,5,0.1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,6,simple_candidate,5,0.1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7,simple_candidate,5,0.1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,8,simple_candidate,5,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,2,simple_candidate,24,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,3,simple_candidate,24,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,4,simple_candidate,24,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,5,simple_candidate,24,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,6,simple_candidate,24,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7,simple_candidate,24,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,8,simple_candidate,24,0.1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,2,,24,0.1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,3,,24,0.1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,4,,24,0.1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,5,,24,0.1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,6,,24,0.1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7,,24,0.1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,8,,24,0.1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,2,,5,0.1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,3,,5,0.1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,4,,5,0.1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,5,,5,0.1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,6,,5,0.1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7,,5,0.1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,8,,5,0.1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,2,,6,0.1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,3,,6,0.1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,4,,6,0.1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,5,,6,0.1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,6,,6,0.1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7,,6,0.1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,8,,6,0.1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,2,,6,0.1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,3,,6,0.1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,4,,6,0.1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,5,,6,0.1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,6,,6,0.1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,7,,6,0.1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,8,,6,0.1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,2,simple_candidate,4,0.1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,3,simple_candidate,4,0.1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,4,simple_candidate,4,0.1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,5,simple_candidate,4,0.1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,6,simple_candidate,4,0.1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,7,simple_candidate,4,0.1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,8,simple_candidate,4,0.1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,2,,5,0.1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,3,,5,0.1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,4,,5,0.1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,5,,5,0.1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,6,,5,0.1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,7,,5,0.1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,8,,5,0.1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,2,,4,0.1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,3,,4,0.1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,4,,4,0.1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,5,,4,0.1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,6,,4,0.1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,7,,4,0.1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,8,,4,0.1
