image_id,condition,h,grade,n_valid,cut,requested_h_exceeds_observation
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,10,,3,0.1,True
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,12,,3,0.1,True
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,15,,3,0.1,True
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,18,,3,0.1,True
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,19,,3,0.1,True
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,10,,3,0.1,True
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,12,,3,0.1,True
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,15,,3,0.1,True
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,18,,3,0.1,True
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,19,,3,0.1,True
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,10,,1,0.1,True
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,12,,1,0.1,True
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,15,,1,0.1,True
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,18,,1,0.1,True
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,19,,1,0.1,True
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,10,simple_candidate,5,0.1,True
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,12,simple_candidate,5,0.1,True
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,15,simple_candidate,5,0.1,True
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,18,simple_candidate,5,0.1,True
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,19,simple_candidate,5,0.1,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,10,simple_candidate,24,0.1,False
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,12,simple_candidate,24,0.1,False
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,15,simple_candidate,24,0.1,False
