scenario,base_task_id,building_id,candidate_rows,unique_workers,normalizer_valid_k,normalizer_invalid_k,support_k_ge_5
all_completed_combined,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,26,26,25,1,true
all_completed_combined,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,26,26,25,1,true
all_completed_combined,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,26,26,24,2,true
all_completed_combined,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,26,26,25,1,true
all_completed_combined,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,26,26,25,1,true
all_completed_combined,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,26,26,25,1,true
all_completed_combined,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,26,26,25,1,true
all_completed_combined,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,26,26,24,2,true
all_completed_combined,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,26,26,25,1,true
all_completed_combined,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,26,26,25,1,true
all_completed_combined,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,26,26,25,1,true
all_completed_combined,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,26,26,25,1,true
all_completed_combined,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,26,26,25,1,true
all_completed_combined,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,26,26,25,1,true
all_completed_combined,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,26,26,25,1,true
all_completed_combined,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,26,26,23,3,true
all_completed_combined,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,uNb9QFRL6hY,26,26,25,1,true
all_completed_combined,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,uNb9QFRL6hY,25,25,25,0,true
all_completed_combined,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,26,26,25,1,true
all_completed_combined,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,uNb9QFRL6hY,26,26,25,1,true
all_completed_combined,uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,uNb9QFRL6hY,26,26,25,1,true
all_completed_combined,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,26,26,25,1,true
all_completed_combined,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,26,26,25,1,true
all_completed_combined,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,wc2JMjhGNzB,26,26,25,1,true
all_completed_combined,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,x8F5xyUWy9e,26,26,25,1,true
all_completed_combined,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,26,26,25,1,true
all_completed_combined,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm,26,26,24,2,true
all_completed_combined,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,yqstnuAEVhm,26,26,26,0,true
all_completed_combined,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,yqstnuAEVhm,26,26,25,1,true
c1_eligible_chinese,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,12,12,12,0,true
c1_eligible_chinese,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,12,12,12,0,true
