image_id,condition,building,cut,n_observed,n_excluded,n_reviewed_retained,n_imputed_retained,n_valid,total_clusters,supported_clusters,singletons,doubletons,singleton_share,supported_share,largest_share,effective_modes_simpson,entropy_bits,point_count_disagreement,within_cluster_median,sizes_descending,good_turing_missing_mass_proxy,chao_coverage_proxy,isolated_singletons,assignment_singletons_with_compatible_peer,min_supported_loo_jaccard,max_cross_compatible_share,weakly_separated_supported_pair,supported_point_counts,orders_x,actual_n,full_p_any,full_onset_median_conditional,full_p_by_2,full_requested_2_exceeds_observation,full_p_by_3,full_requested_3_exceeds_observation,full_p_by_4,full_requested_4_exceeds_observation,full_p_by_5,full_requested_5_exceeds_observation,full_p_by_6,full_requested_6_exceeds_observation,full_p_by_7,full_requested_7_exceeds_observation,full_p_by_8,full_requested_8_exceeds_observation,full_p_by_10,full_requested_10_exceeds_observation,full_p_by_12,full_requested_12_exceeds_observation,full_p_by_15,full_requested_15_exceeds_observation,full_p_by_18,full_requested_18_exceeds_observation,full_p_by_19,full_requested_19_exceeds_observation,core10_p_any,core10_onset_median_conditional,core10_p_by_2,core10_requested_2_exceeds_observation,core10_p_by_3,core10_requested_3_exceeds_observation,core10_p_by_4,core10_requested_4_exceeds_observation,core10_p_by_5,core10_requested_5_exceeds_observation,core10_p_by_6,core10_requested_6_exceeds_observation,core10_p_by_7,core10_requested_7_exceeds_observation,core10_p_by_8,core10_requested_8_exceeds_observation,core10_p_by_10,core10_requested_10_exceeds_observation,core10_p_by_12,core10_requested_12_exceeds_observation,core10_p_by_15,core10_requested_15_exceeds_observation,core10_p_by_18,core10_requested_18_exceeds_observation,core10_p_by_19,core10_requested_19_exceeds_observation,core15_p_any,core15_onset_median_conditional,core15_p_by_2,core15_requested_2_exceeds_observation,core15_p_by_3,core15_requested_3_exceeds_observation,core15_p_by_4,core15_requested_4_exceeds_observation,core15_p_by_5,core15_requested_5_exceeds_observation,core15_p_by_6,core15_requested_6_exceeds_observation,core15_p_by_7,core15_requested_7_exceeds_observation,core15_p_by_8,core15_requested_8_exceeds_observation,core15_p_by_10,core15_requested_10_exceeds_observation,core15_p_by_12,core15_requested_12_exceeds_observation,core15_p_by_15,core15_requested_15_exceeds_observation,core15_p_by_18,core15_requested_18_exceeds_observation,core15_p_by_19,core15_requested_19_exceeds_observation,core20_p_any,core20_onset_median_conditional,core20_p_by_2,core20_requested_2_exceeds_observation,core20_p_by_3,core20_requested_3_exceeds_observation,core20_p_by_4,core20_requested_4_exceeds_observation,core20_p_by_5,core20_requested_5_exceeds_observation,core20_p_by_6,core20_requested_6_exceeds_observation,core20_p_by_7,core20_requested_7_exceeds_observation,core20_p_by_8,core20_requested_8_exceeds_observation,core20_p_by_10,core20_requested_10_exceeds_observation,core20_p_by_12,core20_requested_12_exceeds_observation,core20_p_by_15,core20_requested_15_exceeds_observation,core20_p_by_18,core20_requested_18_exceeds_observation,core20_p_by_19,core20_requested_19_exceeds_observation,full_tail_no_gate,core_tail_10,core_tail_15,core_tail_20,late_quarter_new,late_half_new,late_quarter_structure,late_quarter_repartition,half_tv_all,half_tv_core,expert_tag,comment_json,selection_record_json,display_group,group_comment,source,use,previous_grade,previous_status,previous_cdf_by19,previous_any,scene_category,main_function_primary,room_id,room_status,draft_grade,draft_reason,strict_process_grade,strict_process_reason,singleton_count_limit,valid_only,semantic_status,evidence_qualifier,nearby_cuts_evaluated,nearby_all_same_grade,nearby_grade_pattern,nearby_same_assigned_grade,user_final_grade,user_decision_reason,user_cluster_semantics,user_singleton_assessment,requested_h,observed_k,horizon_shorter_than_requested,orders_y,n_orders_supported_at_k,p_all_modes_seen_twice_exact,p_all_modes_seen_twice_replay,p_stable_core10_unconditional,p_stable_core10_given_support,p_stable_core15_unconditional,p_stable_core15_given_support,p_stable_core20_unconditional,p_stable_core20_given_support,rare_mode_adjusted_medium,min_sub80_jaccard,min_sub80_prob_retains_two,review_draft_grade,review_draft_reason,near_order_fraction_boundary
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,7y3sRwLe3Va,0.1,6,0,0,0,6,3,1,2,0,0.333333333333,0.666666666667,0.666666666667,2,1.25162916739,0.6,0.0177253478985,4;1;1,0.333333333333,0.761904761905,2,0,1,0,False,1,200,6,0.665,5,0,False,0,False,0,False,0.665,False,0.665,True,0.665,True,0.665,True,0.665,True,0.665,True,0.665,True,0.665,True,0.665,True,1,3,0.43,False,0.86,False,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,3,0.43,False,0.86,False,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,3,0.43,False,0.86,False,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,0,0.86,0.86,0.86,0.345,0.368333333333,0.345,0,0.230833333333,0,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f"", ""number"": 19, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,limited_horizon_or_order_sensitive,0,0,开放复合空间,living,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,,short_horizon_or_unconfirmed_multi_pattern,,short_horizon_or_unconfirmed_multi_pattern,1,False,not_adjudicated,short_observed_pool,3,True,;;,False,,,,,19,5,True,200,200,1,1,1,1,1,1,1,1,False,1,1,,short_horizon_or_unconfirmed_multi_pattern,False
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,7y3sRwLe3Va,0.1,4,0,0,0,4,1,1,0,0,0,1,1,1,-0,0,0,4,0,1,0,0,1,0,False,1,200,4,1,2,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,2,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,2,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,2,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,1,1,1,0,0,0,0,0,0,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f"", ""number"": 19, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,simple,assigned_observed_early,1,1,开放复合空间,living,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,1,False,not_adjudicated,short_observed_pool,,,,,,,,,19,3,True,200,200,1,1,1,1,1,1,1,1,False,1,1,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,False
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,VFuaQ6m2Qom,0.1,2,0,0,0,2,2,0,2,0,1,0,0.5,2,1,1,,1;1,1,0.666666666667,2,0,,0,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,困难,"{""note"": """"}","{""group"": ""G057"", ""image_id"": ""VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a"", ""number"": 1, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""16–20人"", ""difficulty"": ""困难"", ""note"": """", ""legacy_review"": null}",G057,"这房间较难,出现不同标法的情况多见",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,insufficient_people,0,0,卫浴,bathroom,supported_component:VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,overlap_with_pending_or_unsupported,,too_few_valid_people,,too_few_valid_people,0,False,not_adjudicated,short_observed_pool,,,,,,,,,,,,,,,,,,,,,,False,,,,too_few_valid_people,False
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,VFuaQ6m2Qom,0.1,7,0,0,0,7,3,2,1,1,0.142857142857,0.857142857143,0.571428571429,2.33333333333,1.37878349349,0.666666666667,0.0564633984323,4;2;1,0.142857142857,0.892857142857,1,0,1,0,False,2,200,7,0.585,6,0,False,0,False,0,False,0,False,0.585,False,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.565,6,0,False,0,False,0,False,0.14,False,0.565,False,0.565,True,0.565,True,0.565,True,0.565,True,0.565,True,0.565,True,0.565,True,0.565,6,0,False,0,False,0,False,0.14,False,0.565,False,0.565,True,0.565,True,0.565,True,0.565,True,0.565,True,0.565,True,0.565,True,0.565,6,0,False,0,False,0.075,False,0.28,False,0.565,False,0.565,True,0.565,True,0.565,True,0.565,True,0.565,True,0.565,True,0.565,True,0,0,0,0.075,0.165,0.22625,0.165,0,0.25,0.1775,困难,"{""note"": """"}","{""group"": ""G057"", ""image_id"": ""VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85"", ""number"": 4, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""16–20人"", ""difficulty"": ""困难"", ""note"": """", ""legacy_review"": null}",G057,"这房间较难,出现不同标法的情况多见",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,limited_horizon_or_order_sensitive,0,0,卫浴,bathroom,supported_component:VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,overlap_with_pending_or_unsupported,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,few_reproducible_clusters_but_process_not_confirmed,1,False,requires_local_review,short_observed_pool,3,False,;medium_candidate;medium_candidate,False,,,,,19,6,True,200,145,0.714285714286,0.725,0.565,0.779310344828,0.565,0.779310344828,0.565,0.779310344828,False,1,0.465,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,False
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,VFuaQ6m2Qom,0.1,20,1,0,0,19,6,4,2,2,0.105263157895,0.894736842105,0.421052631579,3.64646464646,2.16320959374,0.719298245614,0.0382801226227,8;5;2;2;1;1,0.105263157895,0.905263157895,1,1,1,0,False,4,200,19,0.71,17,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.165,False,0.71,False,0.71,True,0.77,16,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.015,False,0.245,False,0.77,False,0.77,True,0.77,16,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.07,False,0.3,False,0.77,False,0.77,True,0.77,16,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.015,False,0.11,False,0.33,False,0.77,False,0.77,True,0.28,0.43,0.495,0.495,0.071,0.1075,0.071,0,0.202076023392,0.160873015873,困难,"{""note"": ""这张图历史的分歧都有点大""}","{""group"": ""G057"", ""image_id"": ""VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d"", ""number"": 7, ""selection"": ""采用"", ""collection"": ""仅复用历史"", ""role"": ""待定"", ""target_band"": ""未定"", ""difficulty"": ""困难"", ""note"": ""这张图历史的分歧都有点大"", ""legacy_review"": null}",G057,"这房间较难,出现不同标法的情况多见",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,invalid_response_evidence,0,0,卫浴,bathroom,supported_component:VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,overlap_with_pending_or_unsupported,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,few_reproducible_clusters_but_process_not_confirmed,3,True,requires_local_review,none_of_these_flags,3,True,medium_candidate;medium_candidate;medium_candidate,True,,,,,19,18,True,200,154,0.789473684211,0.77,0.77,1,0.77,1,0.77,1,True,1,0.56,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,True
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,VFuaQ6m2Qom,0.1,5,0,0,0,5,4,1,3,1,0.6,0.4,0.4,3.57142857143,1.92192809489,0.9,0.0794784990697,2;1;1;1,0.6,0.485714285714,3,0,1,0,False,1,200,5,0,,0,False,0,False,0,False,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0.585,4,0.095,False,0.29,False,0.585,False,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,4,0.095,False,0.29,False,0.585,False,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,4,0.095,False,0.29,False,0.585,False,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0.585,True,0,0.095,0.095,0.095,0.645,0.698333333334,0.645,0,0.479,0.3,困难,"{""note"": """"}","{""group"": ""G057"", ""image_id"": ""VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8"", ""number"": 10, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""16–20人"", ""difficulty"": ""困难"", ""note"": """", ""legacy_review"": null}",G057,"这房间较难,出现不同标法的情况多见",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,limited_horizon_or_order_sensitive,0,0,卫浴,bathroom,supported_component:VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,overlap_with_pending_or_unsupported,,short_horizon_or_unconfirmed_multi_pattern,,short_horizon_or_unconfirmed_multi_pattern,1,False,not_adjudicated,short_observed_pool,,,,,,,,,19,4,True,200,117,0.6,0.585,0.585,1,0.585,1,0.585,1,False,1,0.62,,short_horizon_or_unconfirmed_multi_pattern,False
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,jtcxE69GiFV,0.1,6,0,0,0,6,2,2,0,0,0,1,0.5,2,1,0,0.0610239239447,3;3,0,1,0,0,0.75,0.888888888889,True,1,200,6,0.525,5,0,False,0,False,0.13,False,0.525,False,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0.525,5,0,False,0,False,0.13,False,0.525,False,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0.525,5,0,False,0,False,0.13,False,0.525,False,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0.525,5,0,False,0,False,0.13,False,0.525,False,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0.525,True,0,0,0,0,0,0,0,0.21925,0.2,0.2,中等,"{""note"": """"}","{""group"": ""G109"", ""image_id"": ""jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037"", ""number"": 5, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G109,"这图semi标的不好,而且人工标 部分地方他们可能会忽略,造成歧义",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,limited_horizon_or_order_sensitive,0.54,0.54,卧室,sleep,supported_component:jtcxE69GiFV_001ad2ad14234e06b2d996d71bb96fc4,supported_component,,short_horizon_or_unconfirmed_multi_pattern,,short_horizon_or_unconfirmed_multi_pattern,1,False,requires_local_review,short_observed_pool,3,False,medium_candidate;;simple_candidate,False,,,,,19,5,True,200,200,1,1,0.525,0.525,0.525,0.525,0.525,0.525,False,0.662903225806,0.775,,short_horizon_or_unconfirmed_multi_pattern,False
jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,manual,jtcxE69GiFV,0.1,1,0,0,0,1,1,0,1,0,1,0,1,1,-0,,,1,1,1,1,0,,0,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中等,"{""note"": """"}","{""group"": ""G109"", ""image_id"": ""jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99"", ""number"": 17, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G109,"这图semi标的不好,而且人工标 部分地方他们可能会忽略,造成歧义",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,insufficient_people,0,0,卧室,sleep,supported_component:jtcxE69GiFV_001ad2ad14234e06b2d996d71bb96fc4,supported_component,,too_few_valid_people,,too_few_valid_people,0,False,not_adjudicated,short_observed_pool,,,,,,,,,,,,,,,,,,,,,,False,,,,too_few_valid_people,False
pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,manual,pa4otMbVnkk,0.1,3,0,0,0,3,2,1,1,1,0.333333333333,0.666666666667,0.666666666667,1.8,0.918295834054,0.666666666667,0.0429611475528,2;1,0.333333333333,0.833333333333,1,0,1,0,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中等,"{""note"": """"}","{""group"": ""G141"", ""image_id"": ""pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a"", ""number"": 17, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G141,"中等难度,突出的墙体这有很多人会忽略",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,insufficient_people,0,0,起居与休闲,living,supported_component:pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,supported_component,,too_few_valid_people,,too_few_valid_people,0,False,not_adjudicated,short_observed_pool,,,,,,,,,,,,,,,,,,,,,,False,,,,too_few_valid_people,False
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,uNb9QFRL6hY,0.1,23,0,0,0,23,4,3,1,2,0.0434782608696,0.95652173913,0.782608695652,1.58858858859,1.08622934623,0,0.0305360896987,18;2;2;1,0.0434782608696,0.963210702341,1,0,0.915065441381,0.972222222222,True,1,200,23,0.64,21,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.115,False,0.165,False,0.695,21,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.015,False,0.17,False,0.22,False,0.695,21,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.025,False,0.17,False,0.22,False,0.695,21,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.025,False,0.17,False,0.22,False,0.245,0.315,0.315,0.315,0.0458333333334,0.0404166666667,0,0.0209163415632,0.109604743083,0.0853636363636,中等,"{""note"": """"}","{""group"": ""G179"", ""image_id"": ""uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e"", ""number"": 8, ""selection"": ""采用"", ""collection"": ""仅复用历史"", ""role"": ""待定"", ""target_band"": ""未定"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G179,10优先级稍低,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,order_sensitive_or_other_trajectory,0.26,0.73,卧室,sleep,supported_component:uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,overlap_with_pending_or_unsupported,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,,few_reproducible_clusters_but_process_not_confirmed,3,False,requires_local_review,weak_same_point_cluster_separation,3,False,;medium_candidate;medium_candidate,False,,,,,19,19,False,200,83,0.437718802936,0.415,0.22,0.530120481928,0.22,0.530120481928,0.22,0.530120481928,False,0.672481843416,0.595,,cluster_recovery_under_80pct_subsets_insufficient;not_automatically_difficult,False
