image_id,expert_tag,comment_json,selection_record_json,display_group,group_comment,source,use,condition,building,cut,n_observed,n_excluded,n_reviewed_retained,n_imputed_retained,n_valid,total_clusters,supported_clusters,singletons,doubletons,singleton_share,supported_share,largest_share,effective_modes_simpson,entropy_bits,point_count_disagreement,within_cluster_median,sizes_descending,good_turing_missing_mass_proxy,chao_coverage_proxy,isolated_singletons,assignment_singletons_with_compatible_peer,min_supported_loo_jaccard,max_cross_compatible_share,weakly_separated_supported_pair,supported_point_counts,orders,actual_n,full_p_any,full_onset_median_conditional,full_p_by_2,full_requested_2_exceeds_observation,full_p_by_3,full_requested_3_exceeds_observation,full_p_by_4,full_requested_4_exceeds_observation,full_p_by_5,full_requested_5_exceeds_observation,full_p_by_6,full_requested_6_exceeds_observation,full_p_by_7,full_requested_7_exceeds_observation,full_p_by_8,full_requested_8_exceeds_observation,full_p_by_10,full_requested_10_exceeds_observation,full_p_by_12,full_requested_12_exceeds_observation,full_p_by_15,full_requested_15_exceeds_observation,full_p_by_18,full_requested_18_exceeds_observation,full_p_by_19,full_requested_19_exceeds_observation,core10_p_any,core10_onset_median_conditional,core10_p_by_2,core10_requested_2_exceeds_observation,core10_p_by_3,core10_requested_3_exceeds_observation,core10_p_by_4,core10_requested_4_exceeds_observation,core10_p_by_5,core10_requested_5_exceeds_observation,core10_p_by_6,core10_requested_6_exceeds_observation,core10_p_by_7,core10_requested_7_exceeds_observation,core10_p_by_8,core10_requested_8_exceeds_observation,core10_p_by_10,core10_requested_10_exceeds_observation,core10_p_by_12,core10_requested_12_exceeds_observation,core10_p_by_15,core10_requested_15_exceeds_observation,core10_p_by_18,core10_requested_18_exceeds_observation,core10_p_by_19,core10_requested_19_exceeds_observation,core15_p_any,core15_onset_median_conditional,core15_p_by_2,core15_requested_2_exceeds_observation,core15_p_by_3,core15_requested_3_exceeds_observation,core15_p_by_4,core15_requested_4_exceeds_observation,core15_p_by_5,core15_requested_5_exceeds_observation,core15_p_by_6,core15_requested_6_exceeds_observation,core15_p_by_7,core15_requested_7_exceeds_observation,core15_p_by_8,core15_requested_8_exceeds_observation,core15_p_by_10,core15_requested_10_exceeds_observation,core15_p_by_12,core15_requested_12_exceeds_observation,core15_p_by_15,core15_requested_15_exceeds_observation,core15_p_by_18,core15_requested_18_exceeds_observation,core15_p_by_19,core15_requested_19_exceeds_observation,core20_p_any,core20_onset_median_conditional,core20_p_by_2,core20_requested_2_exceeds_observation,core20_p_by_3,core20_requested_3_exceeds_observation,core20_p_by_4,core20_requested_4_exceeds_observation,core20_p_by_5,core20_requested_5_exceeds_observation,core20_p_by_6,core20_requested_6_exceeds_observation,core20_p_by_7,core20_requested_7_exceeds_observation,core20_p_by_8,core20_requested_8_exceeds_observation,core20_p_by_10,core20_requested_10_exceeds_observation,core20_p_by_12,core20_requested_12_exceeds_observation,core20_p_by_15,core20_requested_15_exceeds_observation,core20_p_by_18,core20_requested_18_exceeds_observation,core20_p_by_19,core20_requested_19_exceeds_observation,full_tail_no_gate,core_tail_10,core_tail_15,core_tail_20,late_quarter_new,late_half_new,late_quarter_structure,late_quarter_repartition,half_tv_all,half_tv_core,expert_tag_replay,comment_json_replay,selection_record_json_replay,display_group_replay,group_comment_replay,source_replay,use_replay,previous_grade,previous_status,previous_cdf_by19,previous_any,scene_category,main_function_primary,room_id,room_status,draft_grade,draft_reason,strict_process_grade,strict_process_reason,singleton_count_limit,valid_only,semantic_status,evidence_qualifier,nearby_cuts_evaluated,nearby_all_same_grade,nearby_grade_pattern,nearby_same_assigned_grade,user_final_grade,user_decision_reason,user_cluster_semantics,user_singleton_assessment
2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,简单,"{""note"": """"}","{""group"": ""G002"", ""image_id"": ""2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59"", ""number"": 2, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""0–8人"", ""difficulty"": ""简单"", ""note"": """", ""legacy_review"": null}",G002,,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,简单,"{""note"": """"}","{""group"": ""G002"", ""image_id"": ""2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94"", ""number"": 3, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""0–8人"", ""difficulty"": ""简单"", ""note"": """", ""legacy_review"": null}",G002,,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,中等,"{""note"": ""这个视角下难标""}","{""group"": ""G002"", ""image_id"": ""2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e"", ""number"": 5, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": ""这个视角下难标"", ""legacy_review"": null}",G002,,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,中等,"{""note"": ""这个视角下难标""}","{""group"": ""G002"", ""image_id"": ""2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371"", ""number"": 10, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": ""这个视角下难标"", ""legacy_review"": null}",G002,,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881,中等,"{""note"": """"}","{""group"": ""G002"", ""image_id"": ""2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881"", ""number"": 17, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G002,,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040"", ""number"": 9, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861"", ""number"": 11, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b"", ""number"": 16, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f"", ""number"": 19, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,manual,7y3sRwLe3Va,0.1,6,0,0,0,6,3,1,2,0,0.333333333333,0.666666666667,0.666666666667,2,1.25162916739,0.6,0.0177253478985,4;1;1,0.333333333333,0.761904761905,2,0,1,0,False,1,200,6,0.665,5,0,False,0,False,0,False,0.665,False,0.665,True,0.665,True,0.665,True,0.665,True,0.665,True,0.665,True,0.665,True,0.665,True,1,3,0.43,False,0.86,False,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,3,0.43,False,0.86,False,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,3,0.43,False,0.86,False,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,0,0.86,0.86,0.86,0.345,0.368333333333,0.345,0,0.230833333333,0,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f"", ""number"": 19, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,,limited_horizon_or_order_sensitive,0,0,开放复合空间,living,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,,short_horizon_or_unconfirmed_multi_pattern,,short_horizon_or_unconfirmed_multi_pattern,1,False,not_adjudicated,short_observed_pool,3,True,;;,False,,,,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f"", ""number"": 19, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,semi,7y3sRwLe3Va,0.1,4,0,0,0,4,1,1,0,0,0,1,1,1,-0,0,0,4,0,1,0,0,1,0,False,1,200,4,1,2,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,2,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,2,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,2,1,False,1,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,1,1,1,0,0,0,0,0,0,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f"", ""number"": 19, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,simple,assigned_observed_early,1,1,开放复合空间,living,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,1,False,not_adjudicated,short_observed_pool,,,,,,,,
