dataset_group,base_task_id,building_id,strict_valid_support,task_boundary_dispersion,active_time_observed_count,active_time_median,active_time_mean,difficulty_response_count,difficulty_nontrivial_rate,difficulty_trivial_rate,difficulty_nontrivial_tag_count_mean,difficulty_occlusion_rate,difficulty_low_texture_rate,difficulty_seam_rate,difficulty_reflection_rate,difficulty_low_quality_rate
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,23,0.011003371092163238,0,,,23,0.782608695652174,0.21739130434782608,0.9565217391304348,0.782608695652174,0.0,0.0,0.17391304347826086,0.0
C1_anchor_all,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,23,0.009226610127568827,0,,,23,0.34782608695652173,0.6521739130434783,0.391304347826087,0.34782608695652173,0.0,0.0,0.043478260869565216,0.0
C1_anchor_all,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,23,0.011999526280647457,0,,,23,0.8695652173913043,0.13043478260869565,0.9130434782608695,0.8695652173913043,0.0,0.0,0.043478260869565216,0.0
C1_anchor_all,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,23,0.011540258453763436,0,,,23,0.8695652173913043,0.13043478260869565,0.9130434782608695,0.8695652173913043,0.0,0.0,0.043478260869565216,0.0
C1_anchor_all,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,23,0.036798460070723495,0,,,23,0.9130434782608695,0.08695652173913043,1.6521739130434783,0.9130434782608695,0.0,0.30434782608695654,0.43478260869565216,0.0
C1_anchor_all,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,23,0.013674322151365721,0,,,23,0.6956521739130435,0.30434782608695654,0.782608695652174,0.6521739130434783,0.0,0.0,0.13043478260869565,0.0
C1_anchor_all,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY,23,0.036241555973036944,0,,,23,0.782608695652174,0.08695652173913043,1.173913043478261,0.782608695652174,0.0,0.21739130434782608,0.17391304347826086,0.0
C1_anchor_all,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY,23,0.024060186067406737,0,,,23,0.8260869565217391,0.17391304347826086,1.2608695652173914,0.7391304347826086,0.0,0.0,0.5217391304347826,0.0
C1_anchor_all,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,23,0.04645215951350244,0,,,23,1.0,0.0,1.434782608695652,0.8260869565217391,0.0,0.30434782608695654,0.30434782608695654,0.0
C1_anchor_all,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,wc2JMjhGNzB,23,0.01689309404085887,0,,,23,0.9565217391304348,0.043478260869565216,1.0,0.9565217391304348,0.0,0.043478260869565216,0.0,0.0
C1_anchor_all,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,yqstnuAEVhm,23,0.054450597443030824,0,,,23,0.7391304347826086,0.2608695652173913,1.0869565217391304,0.21739130434782608,0.0,0.30434782608695654,0.5652173913043478,0.0
C1_anchor_all,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,23,0.027807321626530837,0,,,23,0.9565217391304348,0.043478260869565216,1.3478260869565217,0.9130434782608695,0.0,0.13043478260869565,0.30434782608695654,0.0
C1_core_all,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,5,0.0054493970895684194,0,,,5,1.0,0.0,1.2,1.0,0.0,0.2,0.0,0.0
C1_core_all,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,5,0.03886463371699152,0,,,5,0.2,0.4,0.2,0.2,0.0,0.0,0.0,0.0
C1_core_all,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,6,0.04316564706305545,0,,,6,0.8333333333333334,0.16666666666666666,1.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0
