dry_run_only,no_C2_freeze_yet,tau_d_not_final,not_thesis_facing_artifact,do_not_use_for_split,task_id,base_task_id,image_path,image_url,render_status,prediction_status,prediction_model_version,keypoint_count,polygon_point_count,polygon_area_pct2,duplicate_corner_pair_count,g_score_raw,g_bucket,g_hard_failure_flag,g_complexity_flag,g_reason_codes,legacy_risk_score,legacy_primary_bucket,manual_review_label,manual_review_notes
true,true,true,true,true,460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,D:\Work\HOHONET\data\mp3d_layout\test\img\X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.png,ok,ok,HoHoNet_v1,24,222,2738.722426,2,14,hard_prediction_failure,true,true,topology_pairing_failure;high_keypoint_count;high_polygon_point_count;duplicated_corner_cluster;oversegmentation_candidate,4,topology_pairing_failure,,
true,true,true,true,true,473,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,D:\Work\HOHONET\data\mp3d_layout\test\img\q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9.png,ok,ok,HoHoNet_v1,20,182,3399.638297,2,14,hard_prediction_failure,true,true,topology_pairing_failure;high_keypoint_count;high_polygon_point_count;duplicated_corner_cluster;oversegmentation_candidate,4,topology_pairing_failure,,
true,true,true,true,true,482,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,D:\Work\HOHONET\data\mp3d_layout\test\img\uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d.png,ok,ok,HoHoNet_v1,28,262,2867.978582,2,14,hard_prediction_failure,true,true,topology_pairing_failure;high_keypoint_count;high_polygon_point_count;duplicated_corner_cluster;oversegmentation_candidate,4,topology_pairing_failure,,
true,true,true,true,true,509,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,D:\Work\HOHONET\data\mp3d_layout\test\img\wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e.png,ok,ok,HoHoNet_v1,16,142,4199.871475,2,14,hard_prediction_failure,true,true,topology_pairing_failure;high_keypoint_count;high_polygon_point_count;duplicated_corner_cluster;oversegmentation_candidate,4,topology_pairing_failure,,
true,true,true,true,true,542,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,D:\Work\HOHONET\data\mp3d_layout\test\img\wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd.png,ok,ok,HoHoNet_v1,24,222,3816.650008,2,14,hard_prediction_failure,true,true,topology_pairing_failure;high_keypoint_count;high_polygon_point_count;duplicated_corner_cluster;oversegmentation_candidate,4,topology_pairing_failure,,
true,true,true,true,true,548,b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e,D:\Work\HOHONET\data\mp3d_layout\test\img\b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e.png,ok,ok,HoHoNet_v1,16,142,4013.920464,2,14,hard_prediction_failure,true,true,topology_pairing_failure;high_keypoint_count;high_polygon_point_count;duplicated_corner_cluster;oversegmentation_candidate,4,topology_pairing_failure,,
true,true,true,true,true,580,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,D:\Work\HOHONET\data\mp3d_layout\test\img\wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6.png,ok,ok,HoHoNet_v1,28,262,4847.689954,4,14,hard_prediction_failure,true,true,topology_pairing_failure;high_keypoint_count;high_polygon_point_count;duplicated_corner_cluster;oversegmentation_candidate,4,topology_pairing_failure,,
true,true,true,true,true,652,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,D:\Work\HOHONET\data\mp3d_layout\test\img\yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d.png,ok,ok,HoHoNet_v1,36,342,3530.083883,4,14,hard_prediction_failure,true,true,topology_pairing_failure;high_keypoint_count;high_polygon_point_count;duplicated_corner_cluster;oversegmentation_candidate,4,topology_pairing_failure,,
true,true,true,true,true,687,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,D:\Work\HOHONET\data\mp3d_layout\test\img\B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086.png,ok,ok,HoHoNet_v1,16,142,2620.449698,3,14,hard_prediction_failure,true,true,topology_pairing_failure;high_keypoint_count;high_polygon_point_count;duplicated_corner_cluster;oversegmentation_candidate,4,topology_pairing_failure,,
true,true,true,true,true,696,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,D:\Work\HOHONET\data\mp3d_layout\test\img\b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15.png,ok,ok,HoHoNet_v1,16,142,4529.995741,2,14,hard_prediction_failure,true,true,topology_pairing_failure;high_keypoint_count;high_polygon_point_count;duplicated_corner_cluster;oversegmentation_candidate,4,topology_pairing_failure,,
true,true,true,true,true,698,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,D:\Work\HOHONET\data\mp3d_layout\test\img\7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e.png,ok,ok,HoHoNet_v1,16,142,1510.051064,2,14,hard_prediction_failure,true,true,topology_pairing_failure;high_keypoint_count;high_polygon_point_count;duplicated_corner_cluster;oversegmentation_candidate,4,topology_pairing_failure,,
