project_id,ls_runtime_task_id,task_id,base_task_id,condition,inventory_review_status,scope_source,task_outcome_status,gt_reference_present,pending_reason
66,3182,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,latest_human_reviewed,expert_adjudicated,resolved,True,
66,3183,621,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,latest_human_reviewed,expert_adjudicated,resolved,True,
66,3184,683,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,latest_human_reviewed,expert_adjudicated,resolved,True,
66,3185,474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,latest_human_reviewed,expert_adjudicated,resolved,True,
66,3186,547,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,manual,latest_human_reviewed,expert_adjudicated,resolved,True,
66,3187,518,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,manual,latest_human_reviewed,expert_adjudicated,resolved,True,
66,3188,626,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,latest_human_reviewed,expert_adjudicated,resolved,True,
66,3189,482,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,manual,latest_human_reviewed,expert_adjudicated,resolved,True,
66,3190,580,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,manual,latest_human_reviewed,expert_adjudicated,resolved,True,
66,3191,563,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,latest_human_reviewed,expert_adjudicated,resolved,True,
66,3192,557,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,manual,latest_human_reviewed,expert_adjudicated,resolved,True,
66,3193,558,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,latest_human_reviewed,expert_adjudicated,resolved,True,
67,3194,460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,latest_human_reviewed,expert_adjudicated,resolved,True,
67,3195,473,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,manual,latest_human_reviewed,expert_adjudicated,resolved,True,
67,3196,487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,manual,legacy_labeled_proxy,legacy_human_label_frozen,resolved,True,
67,3197,700,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,manual,legacy_labeled_proxy,legacy_human_label_frozen,resolved,True,
67,3198,701,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,manual,legacy_labeled_proxy,legacy_human_label_frozen,resolved,True,
67,3199,542,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,manual,legacy_labeled_proxy,legacy_human_label_frozen,resolved,True,
