project_id,ls_runtime_task_id,task_id,base_task_id,worker_id,annotation_id,canonical_annotation_id,condition,dataset_group,iou_to_gt,quality_evaluable,structurally_valid,independence_status,failure_attribution,outside_assignment_submission,duplicate_worker_task_submission,worker_caused_structural_failure,task_outcome_status,reference_identity,reference_sha256,score_reason
66,3182,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,27,5817,0f006ad814591f20f1d7,manual,Calibration_anchor,0.9873820696058762,True,True,not_evaluable,not_evaluable,false,false,false,resolved,gt:70:3408:4957,9d52216d9bd2d96f9d51bb34ca459a6f3f27b16c95c0024fee88e36000e826ef,
66,3182,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,28,5763,a5582527e1e55759fca4,manual,Calibration_anchor,0.978424038145347,True,True,not_evaluable,not_evaluable,false,false,false,resolved,gt:70:3408:4957,9d52216d9bd2d96f9d51bb34ca459a6f3f27b16c95c0024fee88e36000e826ef,
66,3182,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,29,6359,ddc38d03eaf0ed686dbe,manual,Calibration_anchor,0.9619589482695766,True,True,not_evaluable,not_evaluable,false,false,false,resolved,gt:70:3408:4957,9d52216d9bd2d96f9d51bb34ca459a6f3f27b16c95c0024fee88e36000e826ef,
66,3182,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,30,5998,762aad63d41c0473582f,manual,Calibration_anchor,0.9796884431251602,True,True,not_evaluable,not_evaluable,false,false,false,resolved,gt:70:3408:4957,9d52216d9bd2d96f9d51bb34ca459a6f3f27b16c95c0024fee88e36000e826ef,
66,3182,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,31,5934,944fc693a5243b08b5ee,manual,Calibration_anchor,0.9638308752506108,True,True,not_evaluable,not_evaluable,false,false,false,resolved,gt:70:3408:4957,9d52216d9bd2d96f9d51bb34ca459a6f3f27b16c95c0024fee88e36000e826ef,
66,3182,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,32,6347,d37f314fba3b67c55956,manual,Calibration_anchor,0.9655486708301998,True,True,not_evaluable,not_evaluable,false,false,false,resolved,gt:70:3408:4957,9d52216d9bd2d96f9d51bb34ca459a6f3f27b16c95c0024fee88e36000e826ef,
66,3182,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,33,5762,9e082eaf47377454a352,manual,Calibration_anchor,0.9807280337145899,True,True,not_evaluable,not_evaluable,false,false,false,resolved,gt:70:3408:4957,9d52216d9bd2d96f9d51bb34ca459a6f3f27b16c95c0024fee88e36000e826ef,
66,3182,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,34,5875,779f777343654b55ad95,manual,Calibration_anchor,0.975634672499516,True,True,not_evaluable,not_evaluable,false,false,false,resolved,gt:70:3408:4957,9d52216d9bd2d96f9d51bb34ca459a6f3f27b16c95c0024fee88e36000e826ef,
66,3182,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,35,5921,3e053dc275632e30f220,manual,Calibration_anchor,0.9727538750317626,True,True,not_evaluable,not_evaluable,false,false,false,resolved,gt:70:3408:4957,9d52216d9bd2d96f9d51bb34ca459a6f3f27b16c95c0024fee88e36000e826ef,
66,3182,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,36,5861,beebb1979f052693f701,manual,Calibration_anchor,0.8420532582382293,True,True,not_evaluable,not_evaluable,false,false,false,resolved,gt:70:3408:4957,9d52216d9bd2d96f9d51bb34ca459a6f3f27b16c95c0024fee88e36000e826ef,
66,3182,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,37,5862,1623fbedf957f0be9421,manual,Calibration_anchor,0.8964294586598613,True,True,not_evaluable,not_evaluable,false,false,false,resolved,gt:70:3408:4957,9d52216d9bd2d96f9d51bb34ca459a6f3f27b16c95c0024fee88e36000e826ef,
66,3183,621,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,27,5842,3c91745dff848ace0009,manual,Calibration_anchor,0.9522907435261596,True,True,not_evaluable,not_evaluable,false,false,false,resolved,gt:70:3468:5017,65194d0594fcb1c5653ee3cb77df09f20535ed9f4681d931be1a78041b563f0d,
66,3183,621,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,28,5764,0f5e3fb0af36b839fed2,manual,Calibration_anchor,0.9260542228985623,True,True,not_evaluable,not_evaluable,false,false,false,resolved,gt:70:3468:5017,65194d0594fcb1c5653ee3cb77df09f20535ed9f4681d931be1a78041b563f0d,
