round_id,project_id,ls_runtime_task_id,worker_id,task_id,base_task_id,condition,dataset_group,annotation_id,canonical_annotation_id,response_hash,source_export_sha256,annotation_version_id,assigned_expected,outside_assignment_submission,canonical_eligibility_status,eligible_independent_evidence,r_u_evidence_classification,r_u_evidence_included,r_u_evidence_exclusion_reason,task_final_scope,task_outcome_adjudication_status,duplicate_review_status,duplicate_decision,independence_status,process_evaluable,process_failure_observed,geometry_valid,scope_reference_mode,geometry_reference_mode,reference_identity,reference_worker_excluded,geometry_reference_status,reference_evidence_status,r_u_metric_name,r_u_metric_value,r_u_metric_direction,r_u_normalization_rule,r_u_score_status,r_u_score_source,r_u_score_or_outcome,r_u_reference_mode,r_u_reference_identity,r_u_reference_sha256,r_u_reference_excludes_worker,r_u_reference_support
C1,66,3182,27,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,5817,0f006ad814591f20f1d7,87b7708c93768aa1ce19a77d82e82aa9e843fd2b78dc8da5316a8c4fce29e13d,9f8b6051f52a44a3e1a3bfdb9ce94d7b670f959a35e4c6fb4d3a7deb192f2954,4da9a65005c50fc33e1f218f,true,false,invalid,false,excluded,false,not_protocol_r_u_candidate,in_scope,resolved,not_required,,not_evaluable,false,false,true,expert_adjudicated,expert_hard_gt,gt:70:3408:4957,false,expert_hard_single,evaluable,,,,,,,,,,,,
C1,66,3182,28,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,5763,a5582527e1e55759fca4,fcafb50b599418f384752d2a30d41a25a40a0984642d47db6f299a52d7c264cd,9f8b6051f52a44a3e1a3bfdb9ce94d7b670f959a35e4c6fb4d3a7deb192f2954,95393206eda24b49c34ba5b7,true,false,invalid,false,excluded,false,not_protocol_r_u_candidate,in_scope,resolved,not_required,,not_evaluable,false,false,true,expert_adjudicated,expert_hard_gt,gt:70:3408:4957,false,expert_hard_single,evaluable,,,,,,,,,,,,
C1,66,3182,29,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,6359,ddc38d03eaf0ed686dbe,2bdac840c1e331c5afbf959d6a842cff26292aec288cc7b05cbc788e57bb2485,9f8b6051f52a44a3e1a3bfdb9ce94d7b670f959a35e4c6fb4d3a7deb192f2954,11fdf22258a870ccc4cc1d40,true,false,invalid,false,excluded,false,not_protocol_r_u_candidate,in_scope,resolved,not_required,,not_evaluable,false,false,true,expert_adjudicated,expert_hard_gt,gt:70:3408:4957,false,expert_hard_single,evaluable,,,,,,,,,,,,
C1,66,3182,30,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,5998,762aad63d41c0473582f,8611b7d69a8d2994d3e7388287bcf064381d58d2b0614d044511df8be103cb8a,9f8b6051f52a44a3e1a3bfdb9ce94d7b670f959a35e4c6fb4d3a7deb192f2954,85851824a297be05624b2ab6,true,false,invalid,false,excluded,false,not_protocol_r_u_candidate,in_scope,resolved,not_required,,not_evaluable,false,false,true,expert_adjudicated,expert_hard_gt,gt:70:3408:4957,false,expert_hard_single,evaluable,,,,,,,,,,,,
C1,66,3182,31,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,5934,944fc693a5243b08b5ee,fda780b9da62665b0277549da508db9fa32a3dec5825c20a56e6cc77b4e3c808,9f8b6051f52a44a3e1a3bfdb9ce94d7b670f959a35e4c6fb4d3a7deb192f2954,adf645e871be6f61dc9dc5d1,true,false,invalid,false,excluded,false,not_protocol_r_u_candidate,in_scope,resolved,not_required,,not_evaluable,false,false,true,expert_adjudicated,expert_hard_gt,gt:70:3408:4957,false,expert_hard_single,evaluable,,,,,,,,,,,,
C1,66,3182,32,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,6347,d37f314fba3b67c55956,02915ff57cda8869886e1c7d1cd396f6bfa0934f55827a9a59511ff13ce90220,9f8b6051f52a44a3e1a3bfdb9ce94d7b670f959a35e4c6fb4d3a7deb192f2954,4efe79aa6b759284e42200d9,true,false,invalid,false,excluded,false,not_protocol_r_u_candidate,in_scope,resolved,not_required,,not_evaluable,false,false,true,expert_adjudicated,expert_hard_gt,gt:70:3408:4957,false,expert_hard_single,evaluable,,,,,,,,,,,,
C1,66,3182,33,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,5762,9e082eaf47377454a352,7f40a8c54243cc3c5b3be4d034d4511c1869ae8cc26cd048f9a4ac3ec38b5650,9f8b6051f52a44a3e1a3bfdb9ce94d7b670f959a35e4c6fb4d3a7deb192f2954,f5ec207a2200730ccf75e898,true,false,invalid,false,excluded,false,not_protocol_r_u_candidate,in_scope,resolved,not_required,,not_evaluable,false,false,true,expert_adjudicated,expert_hard_gt,gt:70:3408:4957,false,expert_hard_single,evaluable,,,,,,,,,,,,
C1,66,3182,34,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,5875,779f777343654b55ad95,5e57e9f96aa0a40a10f332d1d1b4350257a05a0f3141689508c2edd560f0b024,9f8b6051f52a44a3e1a3bfdb9ce94d7b670f959a35e4c6fb4d3a7deb192f2954,7b173462554fd6453d2a8da5,true,false,invalid,false,excluded,false,not_protocol_r_u_candidate,in_scope,resolved,not_required,,not_evaluable,false,false,true,expert_adjudicated,expert_hard_gt,gt:70:3408:4957,false,expert_hard_single,evaluable,,,,,,,,,,,,
C1,66,3182,35,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,5921,3e053dc275632e30f220,b4b8f6fe3c120bafa1b9bbe529a645c80f254a32a7fb5dc54e8e706afa560ddd,9f8b6051f52a44a3e1a3bfdb9ce94d7b670f959a35e4c6fb4d3a7deb192f2954,5c06804a7f262765fcdab631,true,false,invalid,false,excluded,false,not_protocol_r_u_candidate,in_scope,resolved,not_required,,not_evaluable,false,false,true,expert_adjudicated,expert_hard_gt,gt:70:3408:4957,false,expert_hard_single,evaluable,,,,,,,,,,,,
C1,66,3182,36,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Calibration_anchor,5861,beebb1979f052693f701,8a12c7769b250f953c0fc7bc011110c97269a7281f439e60ed96db1b746f6204,9f8b6051f52a44a3e1a3bfdb9ce94d7b670f959a35e4c6fb4d3a7deb192f2954,30a15264a29f6983a75c5e94,true,false,invalid,false,excluded,false,not_protocol_r_u_candidate,in_scope,resolved,not_required,,not_evaluable,false,false,true,expert_adjudicated,expert_hard_gt,gt:70:3408:4957,false,expert_hard_single,evaluable,,,,,,,,,,,,
